topic,word,weight
TOPIC_0,nunavut,2310.556609583542
TOPIC_0,inuit,1521.6041214449897
TOPIC_0,canada,922.3639019889447
TOPIC_0,communities,701.9871725936217
TOPIC_0,community,663.7138438647889
TOPIC_0,arctic,631.7115410733961
TOPIC_0,food,602.4661224265056
TOPIC_0,government,570.3873996524894
TOPIC_0,people,389.8942620212871
TOPIC_0,canadian,372.98751818621855
TOPIC_0,health,336.8739458187958
TOPIC_0,iqaluit,317.4885876366333
TOPIC_0,territory,308.4857934815002
TOPIC_0,bay,301.0744872562082
TOPIC_0,walrus,288.97091061537833
TOPIC_0,northern,271.1696554741933
TOPIC_0,land,269.3626496140637
TOPIC_0,north,258.3972954881216
TOPIC_0,traditional,248.53517035456576
TOPIC_0,change,244.28934668424728
TOPIC_0,high,239.0541168946437
TOPIC_0,hunting,235.7002265153886
TOPIC_0,said,231.2271725912541
TOPIC_0,indigenous,227.88384881396271
TOPIC_0,development,216.2935064320453
TOPIC_1,shall,0.9193124468054333
TOPIC_1,arctic,0.8794655044327578
TOPIC_1,001,0.8311736914914079
TOPIC_1,developing,0.6170003703052461
TOPIC_1,convention,0.5942027556149216
TOPIC_1,canada,0.5203220522354044
TOPIC_1,marine,0.5000335303184551
TOPIC_1,international,0.49385499850341386
TOPIC_1,including,0.48627426007824753
TOPIC_1,government,0.48303001933332607
TOPIC_1,indigenous,0.4680509397815942
TOPIC_1,parties,0.4569955424621348
TOPIC_1,world,0.4454608898027344
TOPIC_1,article,0.4250528322203361
TOPIC_1,environmental,0.42075704107554035
TOPIC_1,development,0.4153416059424501
TOPIC_1,climate,0.39646906059604403
TOPIC_1,use,0.38504823558132745
TOPIC_1,activities,0.3776971137168572
TOPIC_1,region,0.37618381252677563
TOPIC_1,northern,0.3757371147110715
TOPIC_1,maritime,0.3663915639065055
TOPIC_1,days,0.3592797316389164
TOPIC_1,measures,0.3588080473900377
TOPIC_1,security,0.3573271373810396
TOPIC_2,vary,288.6253954055641
TOPIC_2,according,282.4260334799746
TOPIC_2,geographical,276.1304250763205
TOPIC_2,environmental,273.6792312838107
TOPIC_2,scientists,270.1456186068526
TOPIC_2,cultural,265.68767837157674
TOPIC_2,scientific,260.6810642485456
TOPIC_2,political,252.1410006084721
TOPIC_2,perspectives,251.58689306875775
TOPIC_2,define,246.7600812381158
TOPIC_2,arctic,243.80446688035187
TOPIC_2,interact,212.953995880964
TOPIC_2,having,212.4194613259128
TOPIC_2,areas,209.32696140122403
TOPIC_2,read,198.54322381735474
TOPIC_2,latitude,193.92472322455498
TOPIC_2,long,189.58295840224875
TOPIC_2,cool,186.92074168117887
TOPIC_2,summers,185.3940644787494
TOPIC_2,high,184.57806209728403
TOPIC_2,short,184.5360924763435
TOPIC_2,winters,183.41314129084716
TOPIC_2,news,167.71256691865864
TOPIC_2,station,129.72203674529985
TOPIC_2,field,69.1416504419834
TOPIC_3,arctic,1.4882056468932279
TOPIC_3,canada,1.2367359109017466
TOPIC_3,indigenous,1.126279382733879
TOPIC_3,northern,1.001236725948575
TOPIC_3,shall,0.9086235417236634
TOPIC_3,development,0.8791420177543291
TOPIC_3,government,0.8550511340787503
TOPIC_3,including,0.8190399043448251
TOPIC_3,region,0.812264548806493
TOPIC_3,section,0.7200168920233677
TOPIC_3,north,0.7098745147313026
TOPIC_3,environmental,0.6806941546373823
TOPIC_3,security,0.6792643252780179
TOPIC_3,gn,0.6764506766180326
TOPIC_3,communities,0.6743442453001526
TOPIC_3,change,0.6576676810989707
TOPIC_3,inuit,0.6255402504109081
TOPIC_3,agreement,0.6110396337398125
TOPIC_3,climate,0.5964821921864276
TOPIC_3,federal,0.571814501934434
TOPIC_3,nunavut,0.5527734413125526
TOPIC_3,provide,0.5505179308616232
TOPIC_3,international,0.5477140901009948
TOPIC_3,peoples,0.5425271756558078
TOPIC_3,gc,0.5406708606464652
TOPIC_4,ice,1182.2865748474185
TOPIC_4,arctic,1146.7767564716003
TOPIC_4,sea,725.8306600860132
TOPIC_4,ocean,374.19715396672666
TOPIC_4,climate,358.42044753262286
TOPIC_4,data,263.900600928853
TOPIC_4,change,223.63258942559975
TOPIC_4,warming,172.48578163198064
TOPIC_4,changes,148.0175043225359
TOPIC_4,year,142.52497675712067
TOPIC_4,extent,138.3549363724923
TOPIC_4,earth,129.17400396490564
TOPIC_4,summer,126.45577663969313
TOPIC_4,satellite,124.57811125637932
TOPIC_4,global,121.38552955556511
TOPIC_4,temperatures,121.326254843044
TOPIC_4,et,117.07788021175905
TOPIC_4,temperature,116.44324933692359
TOPIC_4,north,115.30024087496962
TOPIC_4,polar,110.04415643400476
TOPIC_4,al,109.71045425215709
TOPIC_4,average,109.66016458174889
TOPIC_4,greenland,109.60618203848864
TOPIC_4,snow,109.50155097980912
TOPIC_4,surface,106.90518206656645
TOPIC_5,arctic,177.97295300227813
TOPIC_5,said,95.18211307305604
TOPIC_5,world,65.12387123410183
TOPIC_5,china,60.28279032315427
TOPIC_5,sea,54.54773645504311
TOPIC_5,space,50.90130790695385
TOPIC_5,ice,37.868163424792485
TOPIC_5,climate,34.243741000779686
TOPIC_5,passage,32.60146182058864
TOPIC_5,ocean,32.366328558802
TOPIC_5,like,30.460366498791732
TOPIC_5,year,30.38349725074776
TOPIC_5,global,30.097417508329453
TOPIC_5,women,28.951231603321006
TOPIC_5,iceland,27.98381026213702
TOPIC_5,countries,26.876439888533643
TOPIC_5,according,26.823774747228327
TOPIC_5,just,26.650980316163345
TOPIC_5,people,25.40894648984822
TOPIC_5,route,25.2396059763254
TOPIC_5,chinese,25.116582166988984
TOPIC_5,north,23.815968997324664
TOPIC_5,change,22.821589403983566
TOPIC_5,circle,22.8023305441429
TOPIC_5,new,22.378398874303358
TOPIC_6,glaciers,165.6716538472604
TOPIC_6,diamonds,157.78771540358392
TOPIC_6,ice,131.0729995227853
TOPIC_6,area,127.32477011113602
TOPIC_6,reference,108.70368751439736
TOPIC_6,glacier,97.21163148927452
TOPIC_6,northern,51.83094494559889
TOPIC_6,loss,46.44697371437507
TOPIC_6,island,46.036993859109
TOPIC_6,http,41.58426190118097
TOPIC_6,2015,41.49083679528595
TOPIC_6,surface,37.87502044271653
TOPIC_6,10,37.68292248914723
TOPIC_6,canada,36.31264266557369
TOPIC_6,land,33.69045347041749
TOPIC_6,small,33.47495124716138
TOPIC_6,study,32.42172379640954
TOPIC_6,km,28.62921174715506
TOPIC_6,year,26.887392951335283
TOPIC_6,canadian,26.235019044891345
TOPIC_6,2000,25.667113134940884
TOPIC_6,period,24.69296331531202
TOPIC_6,total,24.234713882420976
TOPIC_6,org,23.203043902127718
TOPIC_6,doi,22.202498877390077
TOPIC_7,food,179.28717987915596
TOPIC_7,think,103.64025166173968
TOPIC_7,going,64.32027135009974
TOPIC_7,like,56.63999845482358
TOPIC_7,just,56.52570986733215
TOPIC_7,security,54.8072923239832
TOPIC_7,circular,51.07186526748446
TOPIC_7,economy,50.453086853543994
TOPIC_7,know,48.572581976004415
TOPIC_7,nunavut,47.29934877035752
TOPIC_7,ve,42.693432979514014
TOPIC_7,arctic,41.82212525453882
TOPIC_7,canada,41.56804756119928
TOPIC_7,development,39.03087209927035
TOPIC_7,work,38.686920617301666
TOPIC_7,time,35.41582636824263
TOPIC_7,new,33.02808819442962
TOPIC_7,look,30.027792390397906
TOPIC_7,research,28.87830003497332
TOPIC_7,coast,28.02511819243801
TOPIC_7,things,27.62521391117725
TOPIC_7,ice,26.888773212456044
TOPIC_7,north,26.24451991083538
TOPIC_7,regulatory,26.121542506225747
TOPIC_7,don,25.596316043453246
TOPIC_8,emissions,1023.0386717566381
TOPIC_8,ranked,699.2567819457844
TOPIC_8,water,604.3880077426146
TOPIC_8,gas,385.80962359537
TOPIC_8,pollution,345.14425471318145
TOPIC_8,united,339.22706050284813
TOPIC_8,co2,330.32261542667516
