topic,word,weight
TOPIC_0,marginal,1084.482629933059
TOPIC_0,note,1082.6454329193648
TOPIC_0,project,853.0128346217153
TOPIC_0,subsection,712.9122578388394
TOPIC_0,minister,554.1145365472173
TOPIC_0,board,524.5209480190814
TOPIC_0,section,416.7132485655592
TOPIC_0,commission,375.4794736200997
TOPIC_0,paragraph,337.83154257332075
TOPIC_0,respect,324.28685275774
TOPIC_0,referred,319.04485310659476
TOPIC_0,claim,306.27918655488725
TOPIC_0,act,284.9338980593116
TOPIC_0,land,264.2713699922146
TOPIC_0,designated,258.2804664498108
TOPIC_0,use,257.3129010906697
TOPIC_0,area,239.36625574523595
TOPIC_0,responsible,235.48429102309822
TOPIC_0,plan,235.46036450290438
TOPIC_0,federal,218.36529784441302
TOPIC_0,panel,200.2524695800264
TOPIC_0,assessment,198.86547430705775
TOPIC_0,proponent,196.2110391474772
TOPIC_0,public,193.06506906356225
TOPIC_0,review,190.4992293724254
TOPIC_1,ranked,18.963034323017105
TOPIC_1,adjusted,5.873641670728419
TOPIC_1,canada,4.683323996096906
TOPIC_1,savings,4.164260144838596
TOPIC_1,arctic,4.130464400642206
TOPIC_1,climate,2.6670738772369713
TOPIC_1,ice,2.4344662950214437
TOPIC_1,eu,2.34394253855032
TOPIC_1,development,2.329506050317951
TOPIC_1,total,2.2535693060185493
TOPIC_1,services,2.164724162994303
TOPIC_1,area,2.061751996877833
TOPIC_1,environment,1.9939120526343066
TOPIC_1,glaciers,1.904656814833501
TOPIC_1,northern,1.7062293256441399
TOPIC_1,indigenous,1.6444127559593495
TOPIC_1,sustainable,1.6364763167188925
TOPIC_1,economic,1.5747062594122117
TOPIC_1,international,1.5722040988760198
TOPIC_1,change,1.569795868502171
TOPIC_1,energy,1.5133952014657348
TOPIC_1,north,1.4915745327813112
TOPIC_1,water,1.4219504478526708
TOPIC_1,land,1.3894588115913418
TOPIC_1,region,1.3892207715195237
TOPIC_2,energy,1892.879206384459
TOPIC_2,sustainability,1648.1758837771258
TOPIC_2,sustainable,1520.4426113401296
TOPIC_2,environmental,1325.8180164812427
TOPIC_2,business,981.7898749391611
TOPIC_2,climate,885.0377909611741
TOPIC_2,environment,839.2084619279257
TOPIC_2,development,812.2591383506856
TOPIC_2,change,744.3165219238164
TOPIC_2,health,713.1574165718812
TOPIC_2,new,645.792571290864
TOPIC_2,green,579.8447671261004
TOPIC_2,social,547.2815878027628
TOPIC_2,food,526.4162103650233
TOPIC_2,systems,522.0789542682245
TOPIC_2,management,517.2217077081492
TOPIC_2,global,514.3325333056889
TOPIC_2,use,513.0967887249001
TOPIC_2,world,500.38056661986695
TOPIC_2,special,476.0234496904876
TOPIC_2,impact,470.64865047840783
TOPIC_2,work,470.28304081959675
TOPIC_2,research,449.8480426272339
TOPIC_2,help,448.22048236984295
TOPIC_2,renewable,438.429442249823
TOPIC_3,arctic,1912.924514925903
TOPIC_3,ice,1415.8706607314887
TOPIC_3,svalbard,1252.5321309484348
TOPIC_3,polar,889.8757024318303
TOPIC_3,sea,666.4162539372212
TOPIC_3,bears,400.46557460981893
TOPIC_3,north,382.6314872435557
TOPIC_3,longyearbyen,334.73062420875755
TOPIC_3,summer,330.6073318172719
TOPIC_3,climate,327.59184237081774
TOPIC_3,expedition,298.61856769198596
TOPIC_3,time,295.49332864275107
TOPIC_3,world,286.2948658889111
TOPIC_3,year,273.9074855958042
TOPIC_3,glaciers,272.8128299906263
TOPIC_3,greenland,264.86943200648403
TOPIC_3,days,259.01855036299673
TOPIC_3,snow,258.48459794814715
TOPIC_3,people,256.38479630177045
TOPIC_3,change,252.915561308369
TOPIC_3,like,250.67141997700807
TOPIC_3,years,246.64836716523126
TOPIC_3,winter,241.1871522030171
TOPIC_3,bear,240.97405356795434
TOPIC_3,just,234.3947022131825
TOPIC_4,project,111.62271979889005
TOPIC_4,arctic,99.6055832963463
TOPIC_4,research,86.6774023864325
TOPIC_4,section,72.00339692273592
TOPIC_4,english,63.54312195369105
TOPIC_4,information,60.73766842152293
TOPIC_4,note,53.73063067637266
TOPIC_4,program,53.55623562910534
TOPIC_4,proposal,50.59116332543262
TOPIC_4,support,49.63668492495794
TOPIC_4,additional,48.956365707852484
TOPIC_4,review,46.58520593975475
TOPIC_4,marginal,40.1259525664116
TOPIC_4,free,37.80474456165449
TOPIC_4,funding,37.130620061534074
TOPIC_4,federal,35.51547209268493
TOPIC_4,number,35.0284526717076
TOPIC_4,activities,33.92978996068513
TOPIC_4,projects,33.43327723204273
TOPIC_4,work,31.714609718278155
TOPIC_4,including,31.603600113232083
TOPIC_4,development,31.34121511036953
TOPIC_4,act,30.916551543713396
TOPIC_4,plan,30.63749857732391
TOPIC_4,respect,29.010640078528724
TOPIC_5,website,107.46943050171257
TOPIC_5,use,29.9016895274286
TOPIC_5,site,29.269414443966912
TOPIC_5,information,19.38199712200771
TOPIC_5,policy,17.729732574624496
TOPIC_5,necessary,15.723679496559233
TOPIC_5,improve,14.921107380291078
TOPIC_5,visit,12.362317009472715
TOPIC_5,used,12.180387235418916
TOPIC_5,performance,9.859063385336913
TOPIC_5,help,8.62821115770288
TOPIC_5,data,8.145026698154583
TOPIC_5,essential,8.030202884114363
TOPIC_5,relevant,7.593598264602386
TOPIC_5,time,7.586196558300967
TOPIC_5,experience,7.3825324928700065
TOPIC_5,session,7.239654387139165
TOPIC_5,security,6.60014663629955
TOPIC_5,provide,6.548947218608006
TOPIC_5,arctic,6.4258928013470795
TOPIC_5,party,6.209875991181001
TOPIC_5,agreement,6.176419318840509
TOPIC_5,continue,5.957929380998613
TOPIC_5,make,5.936373835466051
TOPIC_5,year,5.882379605346754
TOPIC_6,nordic,78.23883892980052
TOPIC_6,programme,24.658888303872104
TOPIC_6,arctic,16.79580018429209
TOPIC_6,council,16.265320975005764
TOPIC_6,norwegian,12.831481943586427
TOPIC_6,based,12.313515527280734
TOPIC_6,sustainable,10.76361059792468
TOPIC_6,region,10.013184729249367
TOPIC_6,products,9.163445414069612
TOPIC_6,development,8.228018098829722
TOPIC_6,operation,7.231438351317656
TOPIC_6,svalbard,7.18319375138391
TOPIC_6,company,6.778540318233874
TOPIC_6,2018,6.596195961024153
TOPIC_6,research,6.143663635089387
TOPIC_6,marine,5.936490163259533
TOPIC_6,unique,5.701737473389154
TOPIC_6,applications,5.664086640011173
TOPIC_6,norway,5.117031607563831
TOPIC_6,developing,4.6034890911626665
TOPIC_6,business,4.456085619770158
TOPIC_6,world,4.273907972922172
TOPIC_6,2021,4.256201069209932
TOPIC_6,people,4.101181587224783
TOPIC_6,local,4.051470607857053
TOPIC_7,emissions,1321.5633014803968
TOPIC_7,water,1225.9206761878502
TOPIC_7,climate,926.7922467556078
TOPIC_7,pollution,755.7370705294948
TOPIC_7,ranked,749.0576360766601
TOPIC_7,change,623.0605892402131
TOPIC_7,gas,465.04612806642393
TOPIC_7,united,461.8967160322477
TOPIC_7,world,458.75375321281797
TOPIC_7,carbon,458.7482998722699
TOPIC_7,energy,453.3853410781831
TOPIC_7,population,419.33777319801897
TOPIC_7,co2,398.0205457571601
TOPIC_7,total,382.7023573310833
TOPIC_7,air,382.37865767039006
TOPIC_7,canada,358.58885615756446
TOPIC_7,million,327.0579557440198
TOPIC_7,greenhouse,320.06381724657666
TOPIC_7,countries,312.0530516585684
TOPIC_7,states,308.0610413981963
TOPIC_7,year,293.7815520793615
TOPIC_7,waste,291.1136215244577
TOPIC_7,national,276.99832649229546
TOPIC_7,organic,275.34805448415256
TOPIC_7,global,271.02084869697455
TOPIC_8,line,3439.4123772709786
TOPIC_8,array,2967.0104739280982
TOPIC_8,core,1830.544391158017
TOPIC_8,render,1652.7568018864754
TOPIC_8,object,1569.745907540728
TOPIC_8,handle,544.3863774124516
TOPIC_8,html,505.77041750935916
TOPIC_8,theme,326.84098556685603
TOPIC_8,arcticnet,326.49126562653896
TOPIC_8,195,260.3614606957617
TOPIC_8,themes,259.9433427635496
TOPIC_8,437,259.4738009409597
TOPIC_8,view,235.72680126284382
TOPIC_8,component,203.53531629366373
TOPIC_8,null,200.54493203770215
TOPIC_8,display,195.9631786617107
TOPIC_8,64,192.65579941658257
TOPIC_8,490,192.24188794224338
TOPIC_8,384,191.45935888135543
TOPIC_8,template,191.3794125940954
TOPIC_8,432,191.26994507153077
TOPIC_8,403,191.11705799750249
TOPIC_8,templates,191.06210994524537
TOPIC_8,411,190.80778511196394
TOPIC_8,block,170.03363121355852
TOPIC_9,market,923.301204247558
TOPIC_9,environmental,753.5318330375038
TOPIC_9,monitoring,732.2389902278602
TOPIC_9,table,538.0913800885337
TOPIC_9,million,496.36834729147677
TOPIC_9,2017,426.1293307419385
TOPIC_9,size,409.32222053941484
TOPIC_9,salmon,362.6416396549979
TOPIC_9,al,356.89420085117257
TOPIC_9,et,352.37923400403224
TOPIC_9,2025,333.5791421744697
TOPIC_9,2018,270.0458307124062
TOPIC_9,figure,257.14397486837106
TOPIC_9,2019,221.8203213990617
TOPIC_9,fish,219.25434843105083
TOPIC_9,global,205.1555442317375
TOPIC_9,wild,203.51985675045196
TOPIC_9,key,171.2332051727668
TOPIC_9,product,167.02878621898515
TOPIC_9,norwegian,164.44085231228942
TOPIC_9,green,159.2645346911982
TOPIC_9,2016,158.52197881696725
TOPIC_9,sensors,142.92817946855732
TOPIC_9,type,123.90631801695578
TOPIC_9,application,122.68772903935741
TOPIC_10,arctic,2186.3640884282067
TOPIC_10,research,355.57790058682076
TOPIC_10,ice,219.16569042900971
TOPIC_10,climate,213.2250542214879
TOPIC_10,science,202.70207353102666
TOPIC_10,china,176.2171865115833
TOPIC_10,region,156.19231816001928
TOPIC_10,polar,152.17688750342742
TOPIC_10,read,150.84318337835117
TOPIC_10,sea,146.56906784631286
TOPIC_10,change,143.73920835687866
TOPIC_10,university,135.94999527321784
TOPIC_10,energy,130.44172700645274
TOPIC_10,new,127.47622857339353
TOPIC_10,security,127.23810155225645
TOPIC_10,environmental,124.64264498590128
TOPIC_10,greenland,121.6548378919298
TOPIC_10,tundra,117.44818817560467
TOPIC_10,development,113.43770113337754
TOPIC_10,national,110.41675569095514
TOPIC_10,alaska,105.41797337875076
TOPIC_10,report,104.70966910381732
TOPIC_10,scientific,101.82650933787576
TOPIC_10,policy,101.08808140596926
TOPIC_10,cooperation,100.07905927165508
TOPIC_11,regulations,218.7624810500779
TOPIC_11,use,191.6978019033749
TOPIC_11,act,186.22274772402713
TOPIC_11,shall,186.05377353182033
TOPIC_11,land,176.92934535533757
TOPIC_11,management,170.10341500017012
TOPIC_11,activities,162.6849902503087
TOPIC_11,area,161.4838853148848
TOPIC_11,information,157.68099953886323
TOPIC_11,government,156.54140777234971
TOPIC_11,areas,142.34625199921496
TOPIC_11,law,134.77372221677436
TOPIC_11,protection,129.55642574273082
TOPIC_11,environment,126.21064709540126
TOPIC_11,arctic,124.53967685902181
TOPIC_11,svalbard,116.89652865632947
TOPIC_11,project,115.27532446380386
TOPIC_11,marine,112.70823529442892
TOPIC_11,canada,111.42039856000207
TOPIC_11,environmental,111.27892668430968
TOPIC_11,article,109.2713983417108
TOPIC_11,pollution,107.91174857712272
TOPIC_11,including,104.27353309919548
TOPIC_11,walrus,103.35819375508189
TOPIC_11,protected,98.09622090709769
TOPIC_12,mining,292.6611505371492
TOPIC_12,company,216.20172618484068
TOPIC_12,gold,206.54311512005208
TOPIC_12,new,202.63182627809127
