doc,topic,weight
fas,TOPIC_0,0.06666666666666668
fas,TOPIC_1,0.06666666666666668
fas,TOPIC_2,0.06666666666666668
fas,TOPIC_3,0.06666666666666668
fas,TOPIC_4,0.06666666666666668
fas,TOPIC_5,0.06666666666666668
fas,TOPIC_6,0.06666666666666668
fas,TOPIC_7,0.06666666666666668
fas,TOPIC_8,0.06666666666666668
fas,TOPIC_9,0.06666666666666668
fas,TOPIC_10,0.06666666666666668
fas,TOPIC_11,0.06666666666666668
fas,TOPIC_12,0.06666666666666668
fas,TOPIC_13,0.06666666666666668
fas,TOPIC_14,0.06666666666666668
foreignpolicy,TOPIC_0,5.355192196237801e-06
foreignpolicy,TOPIC_1,5.355191311117692e-06
foreignpolicy,TOPIC_2,5.355191568362948e-06
foreignpolicy,TOPIC_3,5.355190939202564e-06
foreignpolicy,TOPIC_4,5.355195752749084e-06
foreignpolicy,TOPIC_5,5.355189327056843e-06
foreignpolicy,TOPIC_6,5.355195761503164e-06
foreignpolicy,TOPIC_7,5.3551880007401066e-06
foreignpolicy,TOPIC_8,5.3551899017274544e-06
foreignpolicy,TOPIC_9,5.355188370973555e-06
foreignpolicy,TOPIC_10,5.355196435596168e-06
foreignpolicy,TOPIC_11,0.9999250273139257
foreignpolicy,TOPIC_12,5.355190532402478e-06
foreignpolicy,TOPIC_13,5.355196419537765e-06
foreignpolicy,TOPIC_14,5.355189557197607e-06
europa,TOPIC_0,1.655084748701032e-05
europa,TOPIC_1,1.655084163343166e-05
europa,TOPIC_2,1.655083179631237e-05
europa,TOPIC_3,1.6550834552416657e-05
europa,TOPIC_4,0.16455605721287347
europa,TOPIC_5,1.655083598780057e-05
europa,TOPIC_6,1.6550837749406846e-05
europa,TOPIC_7,1.655082943762508e-05
europa,TOPIC_8,1.65508347439744e-05
europa,TOPIC_9,1.6550831766008556e-05
europa,TOPIC_10,1.655085599732876e-05
europa,TOPIC_11,0.8352174356879367
europa,TOPIC_12,1.6550848350966762e-05
europa,TOPIC_13,2.789703185483923e-05
europa,TOPIC_14,1.6550837832842396e-05
weforum,TOPIC_0,4.623215457549433e-05
weforum,TOPIC_1,4.623218098858812e-05
weforum,TOPIC_2,4.62321477289197e-05
weforum,TOPIC_3,4.623216295125982e-05
weforum,TOPIC_4,0.9524733162076534
weforum,TOPIC_5,4.623215396439966e-05
weforum,TOPIC_6,4.6232161408235844e-05
weforum,TOPIC_7,4.62321364193734e-05
weforum,TOPIC_8,4.623216786545953e-05
weforum,TOPIC_9,4.623213783049199e-05
weforum,TOPIC_10,4.623219626435079e-05
weforum,TOPIC_11,0.04692566562209597
weforum,TOPIC_12,4.623217401352028e-05
weforum,TOPIC_13,4.623224602468683e-05
weforum,TOPIC_14,4.6232150215900544e-05
harvard,TOPIC_0,2.2104381198464193e-05
harvard,TOPIC_1,2.2104375099078626e-05
harvard,TOPIC_2,2.2104366711609247e-05
harvard,TOPIC_3,2.2104370786928854e-05
harvard,TOPIC_4,0.10841410258126376
harvard,TOPIC_5,2.2104364621172814e-05
harvard,TOPIC_6,2.2104386513536797e-05
harvard,TOPIC_7,2.2104358780323322e-05
harvard,TOPIC_8,2.2104372525387844e-05
harvard,TOPIC_9,2.2104359978664848e-05
harvard,TOPIC_10,2.21043857925992e-05
harvard,TOPIC_11,0.8872570210416334
harvard,TOPIC_12,2.2104383484381034e-05
harvard,TOPIC_13,0.004063623905420387
harvard,TOPIC_14,2.2104366190383308e-05
rcinet,TOPIC_0,7.84316217323652e-05
rcinet,TOPIC_1,7.843153174988621e-05
rcinet,TOPIC_2,7.843147471644222e-05
rcinet,TOPIC_3,7.843148538993438e-05
rcinet,TOPIC_4,0.23090159845314293
rcinet,TOPIC_5,7.843149669358216e-05
rcinet,TOPIC_6,7.84315521896872e-05
rcinet,TOPIC_7,7.843147014000243e-05
rcinet,TOPIC_8,7.84315104845473e-05
rcinet,TOPIC_9,7.843147021373021e-05
rcinet,TOPIC_10,0.14532937924948963
rcinet,TOPIC_11,0.595348255692693
rcinet,TOPIC_12,7.843157885968532e-05
rcinet,TOPIC_13,0.02755801989798357
rcinet,TOPIC_14,7.843151452108959e-05
nasa,TOPIC_0,1.920677570851703e-05
nasa,TOPIC_1,1.9206811140847566e-05
nasa,TOPIC_2,1.9206778647196283e-05
nasa,TOPIC_3,1.9206803673962373e-05
nasa,TOPIC_4,0.9997311048835581
nasa,TOPIC_5,1.9206778295092408e-05
nasa,TOPIC_6,1.9206788663237265e-05
nasa,TOPIC_7,1.920677481471642e-05
nasa,TOPIC_8,1.9206788522086613e-05
nasa,TOPIC_9,1.9206776520331152e-05
nasa,TOPIC_10,1.9206787581940734e-05
nasa,TOPIC_11,1.9206792750390037e-05
nasa,TOPIC_12,1.920679051798293e-05
nasa,TOPIC_13,1.920689022324823e-05
nasa,TOPIC_14,1.9206779382315175e-05
investingnews,TOPIC_0,0.00010649635055244599
investingnews,TOPIC_1,0.0001064964728704948
investingnews,TOPIC_2,0.0001064964019896564
investingnews,TOPIC_3,0.00010649644761720497
investingnews,TOPIC_4,0.2950763564641234
investingnews,TOPIC_5,0.0001064964482882789
investingnews,TOPIC_6,0.08725003394752627
investingnews,TOPIC_7,0.00010649642608542446
investingnews,TOPIC_8,0.00010649648395135858
investingnews,TOPIC_9,0.00010649639869861242
investingnews,TOPIC_10,0.00010649652004503426
investingnews,TOPIC_11,0.6029997016652928
investingnews,TOPIC_12,0.00010649645562458302
investingnews,TOPIC_13,0.013502447090543962
investingnews,TOPIC_14,0.00010649642679038936
wwf,TOPIC_0,0.00014981276080097602
wwf,TOPIC_1,0.00014981300453216641
wwf,TOPIC_2,0.00014981282567498285
wwf,TOPIC_3,0.00014981298110377608
wwf,TOPIC_4,0.9863339653369767
wwf,TOPIC_5,0.00014981289092172475
wwf,TOPIC_6,0.00014981290765335673
wwf,TOPIC_7,0.0001498128318001029
wwf,TOPIC_8,0.00014981294563327655
wwf,TOPIC_9,0.00014981284175711543
wwf,TOPIC_10,0.00014981302121214694
wwf,TOPIC_11,0.0001498131006336602
wwf,TOPIC_12,0.0001498128811042397
wwf,TOPIC_13,0.011718466742799976
wwf,TOPIC_14,0.00014981292739577918
panda,TOPIC_0,0.00012746975462404105
panda,TOPIC_1,0.00012746989856329472
panda,TOPIC_2,0.00012746986266287257
panda,TOPIC_3,0.00012746985950471863
panda,TOPIC_4,0.921248055863315
panda,TOPIC_5,0.00012746990806389834
panda,TOPIC_6,0.00012746996024975578
panda,TOPIC_7,0.00012746988792717022
panda,TOPIC_8,0.00012746995377190969
panda,TOPIC_9,0.0001274698655293742
panda,TOPIC_10,0.0001274700094270226
panda,TOPIC_11,0.07709483536087824
panda,TOPIC_12,0.0001274700088580565
panda,TOPIC_13,0.00012746990838851687
panda,TOPIC_14,0.00012746989823602105
um,TOPIC_0,5.437740569657415e-05
um,TOPIC_1,5.437747990326934e-05
um,TOPIC_2,5.437744086868974e-05
um,TOPIC_3,5.437744397573137e-05
um,TOPIC_4,5.4377502073347955e-05
um,TOPIC_5,5.437746058113715e-05
um,TOPIC_6,5.437744869916384e-05
um,TOPIC_7,5.4377437133558854e-05
um,TOPIC_8,5.4377459078676486e-05
um,TOPIC_9,5.437743761100128e-05
um,TOPIC_10,0.029956564878937237
um,TOPIC_11,0.9693365280508837
um,TOPIC_12,5.437753268693579e-05
um,TOPIC_13,5.43775541675986e-05
um,TOPIC_14,5.4377467703478815e-05
defensenews,TOPIC_0,4.050233471335906e-05
defensenews,TOPIC_1,4.050230885364768e-05
defensenews,TOPIC_2,4.050228744686753e-05
defensenews,TOPIC_3,4.05022830784335e-05
defensenews,TOPIC_4,0.003425164313138697
defensenews,TOPIC_5,4.050228291461695e-05
defensenews,TOPIC_6,4.050229297222986e-05
defensenews,TOPIC_7,4.0502268915992555e-05
defensenews,TOPIC_8,4.050228824707831e-05
defensenews,TOPIC_9,4.0502271323236976e-05
defensenews,TOPIC_10,0.25751489036739467
defensenews,TOPIC_11,0.7385739177365606
defensenews,TOPIC_12,4.050233542409106e-05
defensenews,TOPIC_13,4.050235109023095e-05
defensenews,TOPIC_14,4.050227792626254e-05
worldwildlife,TOPIC_0,0.00017873104923460566
worldwildlife,TOPIC_1,0.00017873118169537777
worldwildlife,TOPIC_2,0.00017873121787573057
worldwildlife,TOPIC_3,0.0001787311678686745
worldwildlife,TOPIC_4,0.6585376529390196
worldwildlife,TOPIC_5,0.0001787312351480824
worldwildlife,TOPIC_6,0.00017873143755438244
worldwildlife,TOPIC_7,0.00017873117602649224
worldwildlife,TOPIC_8,0.00017873134428317966
worldwildlife,TOPIC_9,0.00017873118344142268
worldwildlife,TOPIC_10,0.0001787313918134683
worldwildlife,TOPIC_11,0.33913884093217245
worldwildlife,TOPIC_12,0.0001787312625031273
worldwildlife,TOPIC_13,0.00017873118644661678
worldwildlife,TOPIC_14,0.000178731294916578
maritime-executive,TOPIC_0,3.6449807173964084e-05
maritime-executive,TOPIC_1,3.644986655161479e-05
maritime-executive,TOPIC_2,3.6449841589619536e-05
maritime-executive,TOPIC_3,3.644984378691121e-05
maritime-executive,TOPIC_4,0.5281062685507982
maritime-executive,TOPIC_5,3.644984013044196e-05
maritime-executive,TOPIC_6,3.644986281100244e-05
maritime-executive,TOPIC_7,3.6449831399809515e-05
maritime-executive,TOPIC_8,3.644984532991371e-05
maritime-executive,TOPIC_9,3.644983032524615e-05
maritime-executive,TOPIC_10,3.6449877926489485e-05
maritime-executive,TOPIC_11,0.4714198834257179
maritime-executive,TOPIC_12,3.6449868700108256e-05
maritime-executive,TOPIC_13,3.644987025990173e-05
maritime-executive,TOPIC_14,3.644983749893047e-05
arcticwwf,TOPIC_0,3.112356849002637e-05
arcticwwf,TOPIC_1,3.112362168475473e-05
arcticwwf,TOPIC_2,3.112359251937767e-05
arcticwwf,TOPIC_3,3.112359506832135e-05
arcticwwf,TOPIC_4,0.8483743286123794
arcticwwf,TOPIC_5,3.11236059444982e-05
arcticwwf,TOPIC_6,3.112360538422255e-05
arcticwwf,TOPIC_7,3.112359250356698e-05
arcticwwf,TOPIC_8,3.112360655278984e-05
arcticwwf,TOPIC_9,3.112359286014921e-05
arcticwwf,TOPIC_10,3.112363727759828e-05
arcticwwf,TOPIC_11,0.15122106448306177
arcticwwf,TOPIC_12,3.112362035251405e-05
arcticwwf,TOPIC_13,3.112365912011042e-05
arcticwwf,TOPIC_14,3.1123606800881006e-05
uwyo,TOPIC_0,0.0035244022391629753
uwyo,TOPIC_1,7.285988936827143e-05
uwyo,TOPIC_2,7.285982047330307e-05
uwyo,TOPIC_3,7.285988286554388e-05
uwyo,TOPIC_4,0.9877338531006923
uwyo,TOPIC_5,7.285983263503288e-05
uwyo,TOPIC_6,7.285991015769813e-05
uwyo,TOPIC_7,7.285980967952365e-05
uwyo,TOPIC_8,7.285984285738718e-05
uwyo,TOPIC_9,7.28598208063728e-05
uwyo,TOPIC_10,7.285985057904947e-05
uwyo,TOPIC_11,7.28598886207952e-05
uwyo,TOPIC_12,7.285986745517783e-05
uwyo,TOPIC_13,0.007867426419288195
uwyo,TOPIC_14,7.285982535827379e-05
gia,TOPIC_0,1.2075116404704828e-05
