Id,urls,discourse: Climate change,discourse: Environment,discourse: Green growth,discourse: Sustainability,discourse: UN SDGs,area: Arctic,area: Arctic Norway,area: Extended Arctic,area: Faroed Islands,area: Greenland,area: Iceland,area: Nunavut,area: Sami,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
fas,https://fas.org/sgp/crs/misc/R41153.pdf https://fas.org/sgp/crs/misc/R41153.pdf https://fas.org/sgp/crs/misc/R41153.pdf https://fas.org/sgp/crs/misc/R41153.pdf https://fas.org/sgp/crs/misc/R41153.pdf ,True,True,True,True,False,True,False,False,False,False,False,False,False,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668
foreignpolicy,https://foreignpolicy.com/2020/12/07/forget-greenland-faroe-islands-new-strategic-gateway-to-the-arctic/ https://foreignpolicy.com/2020/10/13/arctic-competition-resources-governance-critical-minerals-shipping-climate-change-power-map/ https://foreignpolicy.com/2020/12/07/forget-greenland-faroe-islands-new-strategic-gateway-to-the-arctic/ https://foreignpolicy.com/2020/10/13/arctic-competition-resources-governance-critical-minerals-shipping-climate-change-power-map/ ,True,True,False,False,False,True,False,False,False,False,False,False,False,5.355192196237801e-06,5.355191311117692e-06,5.355191568362948e-06,5.355190939202564e-06,5.355195752749084e-06,5.355189327056843e-06,5.355195761503164e-06,5.3551880007401066e-06,5.3551899017274544e-06,5.355188370973555e-06,5.355196435596168e-06,0.9999250273139257,5.355190532402478e-06,5.355196419537765e-06,5.355189557197607e-06
europa,https://ec.europa.eu/environment/international_issues/arctic_en.htm https://eeas.europa.eu/headquarters/headquarters-homepage_en/20952/Sustainable%20Development%20in%20the%20Arctic https://s3platform.jrc.ec.europa.eu/arctic https://eeas.europa.eu/arctic-policy/eu-arctic-policy_en https://ec.europa.eu/environment/international_issues/arctic_en.htm https://ec.europa.eu/environment/international_issues/arctic_en.htm https://ec.europa.eu/environment/international_issues/arctic_en.htm ,True,True,True,True,True,True,False,False,False,False,False,False,False,1.655084748701032e-05,1.655084163343166e-05,1.655083179631237e-05,1.6550834552416657e-05,0.16455605721287347,1.655083598780057e-05,1.6550837749406846e-05,1.655082943762508e-05,1.65508347439744e-05,1.6550831766008556e-05,1.655085599732876e-05,0.8352174356879367,1.6550848350966762e-05,2.789703185483923e-05,1.6550837832842396e-05
weforum,https://www.weforum.org/agenda/2020/01/arctic-ice-melting-climate-change-global-impact/ https://www.weforum.org/agenda/archive/arctic https://www.weforum.org/agenda/2019/04/homes-like-parkas-shivering-arctic-dwellers-may-need-housing-rethink/ https://www.weforum.org/agenda/2015/09/3-industries-hit-by-arctic-change/ https://www.weforum.org/agenda/2020/01/arctic-ice-melting-climate-change-global-impact/ https://www.weforum.org/agenda/2020/01/arctic-ice-melting-climate-change-global-impact/ https://www.weforum.org/agenda/archive/arctic ,True,True,True,True,True,True,False,False,False,False,False,False,False,4.623215457549433e-05,4.623218098858812e-05,4.62321477289197e-05,4.623216295125982e-05,0.9524733162076534,4.623215396439966e-05,4.6232161408235844e-05,4.62321364193734e-05,4.623216786545953e-05,4.623213783049199e-05,4.623219626435079e-05,0.04692566562209597,4.623217401352028e-05,4.623224602468683e-05,4.6232150215900544e-05
harvard,https://www.hsph.harvard.edu/news/press-releases/arctic-rivers-toxic-mercury/ https://eelp.law.harvard.edu/2017/09/arctic-national-wildlife-refuge-oil-and-gas-development/ https://hir.harvard.edu/the-arctic-circle/ https://hir.harvard.edu/the-arctic-circle/ https://sitn.hms.harvard.edu/flash/2018/arctic-apples-fresh-new-take-genetic-engineering/ ,True,True,True,False,False,True,False,False,False,False,False,False,False,2.2104381198464193e-05,2.2104375099078626e-05,2.2104366711609247e-05,2.2104370786928854e-05,0.10841410258126376,2.2104364621172814e-05,2.2104386513536797e-05,2.2104358780323322e-05,2.2104372525387844e-05,2.2104359978664848e-05,2.21043857925992e-05,0.8872570210416334,2.2104383484381034e-05,0.004063623905420387,2.2104366190383308e-05
rcinet,https://www.rcinet.ca/eye-on-the-arctic/2021/03/23/arctic-canada-needs-better-waste-management-says-report/ https://www.rcinet.ca/eye-on-the-arctic/ https://www.rcinet.ca/eye-on-the-arctic/2020/06/23/can-climate-adaptation-be-culturally-sustainable-in-the-arctic/ https://www.rcinet.ca/eye-on-the-arctic/ https://www.rcinet.ca/eye-on-the-arctic/2021/03/22/arctic-council-finalizes-plans-for-largely-virtual-ministerial-in-may/ ,False,True,True,True,True,True,False,False,False,False,False,False,False,7.84316217323652e-05,7.843153174988621e-05,7.843147471644222e-05,7.843148538993438e-05,0.23090159845314293,7.843149669358216e-05,7.84315521896872e-05,7.843147014000243e-05,7.84315104845473e-05,7.843147021373021e-05,0.14532937924948963,0.595348255692693,7.843157885968532e-05,0.02755801989798357,7.843151452108959e-05
nasa,https://climate.nasa.gov/blog/2861/arctic-and-antarctic-sea-ice-how-are-they-different/ https://earthobservatory.nasa.gov/images/147746/the-long-decline-of-arctic-sea-ice https://earthobservatory.nasa.gov/images/147049/phytoplankton-surge-in-arctic-waters https://climate.nasa.gov/news/2902/nasa-studies-how-arctic-wildfires-change-the-world/ https://climate.nasa.gov/blog/2861/arctic-and-antarctic-sea-ice-how-are-they-different/ https://earthobservatory.nasa.gov/images/147746/the-long-decline-of-arctic-sea-ice https://earthobservatory.nasa.gov/images/147049/phytoplankton-surge-in-arctic-waters https://climate.nasa.gov/news/3023/2020-arctic-sea-ice-minimum-at-second-lowest-on-record/ https://www.nasa.gov/feature/goddard/2016/nasa-studies-details-of-a-greening-arctic/ https://www.nasa.gov/feature/goddard/2016/nasa-studies-details-of-a-greening-arctic/ https://www.nasa.gov/feature/goddard/2020/2020-arctic-sea-ice-minimum-at-second-lowest-on-record/ https://climate.nasa.gov/blog/2861/arctic-and-antarctic-sea-ice-how-are-they-different/ https://earthobservatory.nasa.gov/images/147049/phytoplankton-surge-in-arctic-waters https://www.nasa.gov/feature/goddard/2016/nasa-studies-details-of-a-greening-arctic/ https://climate.nasa.gov/news/3023/2020-arctic-sea-ice-minimum-at-second-lowest-on-record/ https://earthobservatory.nasa.gov/Features/WorldOfChange/sea_ice.php https://climate.nasa.gov/blog/2861/arctic-and-antarctic-sea-ice-how-are-they-different/ https://climate.nasa.gov/news/3023/2020-arctic-sea-ice-minimum-at-second-lowest-on-record/ ,True,True,True,True,False,True,False,False,False,False,False,False,False,1.920677570851703e-05,1.9206811140847566e-05,1.9206778647196283e-05,1.9206803673962373e-05,0.9997311048835581,1.9206778295092408e-05,1.9206788663237265e-05,1.920677481471642e-05,1.9206788522086613e-05,1.9206776520331152e-05,1.9206787581940734e-05,1.9206792750390037e-05,1.920679051798293e-05,1.920689022324823e-05,1.9206779382315175e-05
investingnews,https://investingnews.com/daily/resource-investing/mining-in-the-arctic/ ,False,True,False,False,False,True,False,False,False,False,False,False,False,0.00010649635055244599,0.0001064964728704948,0.0001064964019896564,0.00010649644761720497,0.2950763564641234,0.0001064964482882789,0.08725003394752627,0.00010649642608542446,0.00010649648395135858,0.00010649639869861242,0.00010649652004503426,0.6029997016652928,0.00010649645562458302,0.013502447090543962,0.00010649642679038936
wwf,https://www.wwf.org.uk/where-we-work/arctic https://www.wwf.org.uk/where-we-work/arctic https://www.wwf.org.uk/where-we-work/arctic https://www.wwf.org.uk/where-we-work/arctic ,True,True,True,True,False,True,False,False,False,False,False,False,False,0.00014981276080097602,0.00014981300453216641,0.00014981282567498285,0.00014981298110377608,0.9863339653369767,0.00014981289092172475,0.00014981290765335673,0.0001498128318001029,0.00014981294563327655,0.00014981284175711543,0.00014981302121214694,0.0001498131006336602,0.0001498128811042397,0.011718466742799976,0.00014981292739577918
panda,https://wwf.panda.org/wwf_news/?199975/Saving-the-Arctic https://wwf.panda.org/wwf_news/?199975/Saving-the-Arctic ,True,True,False,False,False,True,False,False,False,False,False,False,False,0.00012746975462404105,0.00012746989856329472,0.00012746986266287257,0.00012746985950471863,0.921248055863315,0.00012746990806389834,0.00012746996024975578,0.00012746988792717022,0.00012746995377190969,0.0001274698655293742,0.0001274700094270226,0.07709483536087824,0.0001274700088580565,0.00012746990838851687,0.00012746989823602105
