Id,urls,discourse: Climate change,discourse: Environment,discourse: Green growth,discourse: Sustainability,discourse: UN SDGs,area: Arctic,area: Arctic Norway,area: Extended Arctic,area: Faroed Islands,area: Greenland,area: Iceland,area: Nunavut,area: Sami,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,X-UMAP,Y-UMAP
fas,https://fas.org/sgp/crs/misc/R41153.pdf https://fas.org/sgp/crs/misc/R41153.pdf https://fas.org/sgp/crs/misc/R41153.pdf https://fas.org/sgp/crs/misc/R41153.pdf https://fas.org/sgp/crs/misc/R41153.pdf ,True,True,True,True,False,True,False,False,False,False,False,False,False,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,7.417605876922607,13.516983032226562
foreignpolicy,https://foreignpolicy.com/2020/12/07/forget-greenland-faroe-islands-new-strategic-gateway-to-the-arctic/ https://foreignpolicy.com/2020/10/13/arctic-competition-resources-governance-critical-minerals-shipping-climate-change-power-map/ https://foreignpolicy.com/2020/12/07/forget-greenland-faroe-islands-new-strategic-gateway-to-the-arctic/ https://foreignpolicy.com/2020/10/13/arctic-competition-resources-governance-critical-minerals-shipping-climate-change-power-map/ ,True,True,False,False,False,True,False,False,False,False,False,False,False,5.355192196237801e-06,5.355191311117692e-06,5.355191568362948e-06,5.355190939202564e-06,5.355195752749084e-06,5.355189327056843e-06,5.355195761503164e-06,5.3551880007401066e-06,5.3551899017274544e-06,5.355188370973555e-06,5.355196435596168e-06,0.9999250273139256,5.355190532402478e-06,5.355196419537765e-06,5.355189557197607e-06,5.099753379821777,13.731163024902344
europa,https://ec.europa.eu/environment/international_issues/arctic_en.htm https://eeas.europa.eu/headquarters/headquarters-homepage_en/20952/Sustainable%20Development%20in%20the%20Arctic https://s3platform.jrc.ec.europa.eu/arctic https://eeas.europa.eu/arctic-policy/eu-arctic-policy_en https://ec.europa.eu/environment/international_issues/arctic_en.htm https://ec.europa.eu/environment/international_issues/arctic_en.htm https://ec.europa.eu/environment/international_issues/arctic_en.htm ,True,True,True,True,True,True,False,False,False,False,False,False,False,1.655084748701032e-05,1.655084163343166e-05,1.655083179631237e-05,1.6550834552416657e-05,0.1645560572128734,1.655083598780057e-05,1.6550837749406846e-05,1.655082943762508e-05,1.65508347439744e-05,1.6550831766008556e-05,1.655085599732876e-05,0.8352174356879367,1.6550848350966762e-05,2.789703185483923e-05,1.6550837832842396e-05,6.567697048187256,10.618535995483398
weforum,https://www.weforum.org/agenda/2020/01/arctic-ice-melting-climate-change-global-impact/ https://www.weforum.org/agenda/archive/arctic https://www.weforum.org/agenda/2019/04/homes-like-parkas-shivering-arctic-dwellers-may-need-housing-rethink/ https://www.weforum.org/agenda/2015/09/3-industries-hit-by-arctic-change/ https://www.weforum.org/agenda/2020/01/arctic-ice-melting-climate-change-global-impact/ https://www.weforum.org/agenda/2020/01/arctic-ice-melting-climate-change-global-impact/ https://www.weforum.org/agenda/archive/arctic ,True,True,True,True,True,True,False,False,False,False,False,False,False,4.623215457549433e-05,4.623218098858812e-05,4.62321477289197e-05,4.623216295125982e-05,0.9524733162076534,4.623215396439966e-05,4.623216140823584e-05,4.62321364193734e-05,4.623216786545953e-05,4.623213783049199e-05,4.623219626435079e-05,0.0469256656220959,4.623217401352028e-05,4.623224602468683e-05,4.6232150215900544e-05,5.983278274536133,4.031637668609619
harvard,https://www.hsph.harvard.edu/news/press-releases/arctic-rivers-toxic-mercury/ https://eelp.law.harvard.edu/2017/09/arctic-national-wildlife-refuge-oil-and-gas-development/ https://hir.harvard.edu/the-arctic-circle/ https://hir.harvard.edu/the-arctic-circle/ https://sitn.hms.harvard.edu/flash/2018/arctic-apples-fresh-new-take-genetic-engineering/ ,True,True,True,False,False,True,False,False,False,False,False,False,False,2.2104381198464196e-05,2.2104375099078623e-05,2.2104366711609247e-05,2.210437078692885e-05,0.1084141025812637,2.210436462117281e-05,2.21043865135368e-05,2.210435878032332e-05,2.2104372525387844e-05,2.2104359978664848e-05,2.21043857925992e-05,0.8872570210416334,2.2104383484381037e-05,0.0040636239054203,2.2104366190383308e-05,6.309537887573242,11.225956916809082
rcinet,https://www.rcinet.ca/eye-on-the-arctic/2021/03/23/arctic-canada-needs-better-waste-management-says-report/ https://www.rcinet.ca/eye-on-the-arctic/ https://www.rcinet.ca/eye-on-the-arctic/2020/06/23/can-climate-adaptation-be-culturally-sustainable-in-the-arctic/ https://www.rcinet.ca/eye-on-the-arctic/ https://www.rcinet.ca/eye-on-the-arctic/2021/03/22/arctic-council-finalizes-plans-for-largely-virtual-ministerial-in-may/ ,False,True,True,True,True,True,False,False,False,False,False,False,False,7.84316217323652e-05,7.843153174988621e-05,7.843147471644222e-05,7.843148538993438e-05,0.2309015984531429,7.843149669358216e-05,7.84315521896872e-05,7.843147014000243e-05,7.84315104845473e-05,7.843147021373021e-05,0.1453293792494896,0.595348255692693,7.843157885968532e-05,0.0275580198979835,7.843151452108959e-05,5.300585746765137,10.778900146484375
nasa,https://climate.nasa.gov/blog/2861/arctic-and-antarctic-sea-ice-how-are-they-different/ https://earthobservatory.nasa.gov/images/147746/the-long-decline-of-arctic-sea-ice https://earthobservatory.nasa.gov/images/147049/phytoplankton-surge-in-arctic-waters https://climate.nasa.gov/news/2902/nasa-studies-how-arctic-wildfires-change-the-world/ https://climate.nasa.gov/blog/2861/arctic-and-antarctic-sea-ice-how-are-they-different/ https://earthobservatory.nasa.gov/images/147746/the-long-decline-of-arctic-sea-ice https://earthobservatory.nasa.gov/images/147049/phytoplankton-surge-in-arctic-waters https://climate.nasa.gov/news/3023/2020-arctic-sea-ice-minimum-at-second-lowest-on-record/ https://www.nasa.gov/feature/goddard/2016/nasa-studies-details-of-a-greening-arctic/ https://www.nasa.gov/feature/goddard/2016/nasa-studies-details-of-a-greening-arctic/ https://www.nasa.gov/feature/goddard/2020/2020-arctic-sea-ice-minimum-at-second-lowest-on-record/ https://climate.nasa.gov/blog/2861/arctic-and-antarctic-sea-ice-how-are-they-different/ https://earthobservatory.nasa.gov/images/147049/phytoplankton-surge-in-arctic-waters https://www.nasa.gov/feature/goddard/2016/nasa-studies-details-of-a-greening-arctic/ https://climate.nasa.gov/news/3023/2020-arctic-sea-ice-minimum-at-second-lowest-on-record/ https://earthobservatory.nasa.gov/Features/WorldOfChange/sea_ice.php https://climate.nasa.gov/blog/2861/arctic-and-antarctic-sea-ice-how-are-they-different/ https://climate.nasa.gov/news/3023/2020-arctic-sea-ice-minimum-at-second-lowest-on-record/ ,True,True,True,True,False,True,False,False,False,False,False,False,False,1.920677570851703e-05,1.9206811140847566e-05,1.9206778647196283e-05,1.9206803673962373e-05,0.999731104883558,1.9206778295092408e-05,1.9206788663237265e-05,1.920677481471642e-05,1.9206788522086613e-05,1.9206776520331152e-05,1.9206787581940734e-05,1.920679275039004e-05,1.920679051798293e-05,1.920689022324823e-05,1.920677938231517e-05,5.300235748291016,3.6223549842834473
investingnews,https://investingnews.com/daily/resource-investing/mining-in-the-arctic/ ,False,True,False,False,False,True,False,False,False,False,False,False,False,0.0001064963505524,0.0001064964728704,0.0001064964019896,0.0001064964476172,0.2950763564641234,0.0001064964482882,0.0872500339475262,0.0001064964260854,0.0001064964839513,0.0001064963986986,0.000106496520045,0.6029997016652928,0.0001064964556245,0.0135024470905439,0.0001064964267903,6.706953048706055,9.699134826660156
wwf,https://www.wwf.org.uk/where-we-work/arctic https://www.wwf.org.uk/where-we-work/arctic https://www.wwf.org.uk/where-we-work/arctic https://www.wwf.org.uk/where-we-work/arctic ,True,True,True,True,False,True,False,False,False,False,False,False,False,0.0001498127608009,0.0001498130045321,0.0001498128256749,0.0001498129811037,0.9863339653369768,0.0001498128909217,0.0001498129076533,0.0001498128318001,0.0001498129456332,0.0001498128417571,0.0001498130212121,0.0001498131006336,0.0001498128811042,0.0117184667427999,0.0001498129273957,6.128457069396973,3.266528844833374
panda,https://wwf.panda.org/wwf_news/?199975/Saving-the-Arctic https://wwf.panda.org/wwf_news/?199975/Saving-the-Arctic ,True,True,False,False,False,True,False,False,False,False,False,False,False,0.000127469754624,0.0001274698985632,0.0001274698626628,0.0001274698595047,0.921248055863315,0.0001274699080638,0.0001274699602497,0.0001274698879271,0.0001274699537719,0.0001274698655293,0.000127470009427,0.0770948353608782,0.000127470008858,0.0001274699083885,0.000127469898236,6.198464870452881,4.171630382537842
