topic,word,weight
TOPIC_0,covid,6.856292462229249
TOPIC_0,health,4.70277764753598
TOPIC_0,university,4.592292984607278
TOPIC_0,energy,4.190395146413412
TOPIC_0,19,3.7381799531894084
TOPIC_0,sustainability,3.5313058240957744
TOPIC_0,people,3.4772809707090913
TOPIC_0,study,3.290576980012149
TOPIC_0,school,3.131598824141872
TOPIC_0,business,3.1131044158368364
TOPIC_0,special,2.787683452648913
TOPIC_0,environmental,2.672615445349866
TOPIC_0,air,2.5892012111227953
TOPIC_0,world,2.5302491722111466
TOPIC_0,research,2.486303744835124
TOPIC_0,international,2.3813421577053853
TOPIC_0,reduction,2.260380921179885
TOPIC_0,science,2.189147057250002
TOPIC_0,positive,2.1683523753152265
TOPIC_0,year,2.159995336072876
TOPIC_0,environment,2.064588504642481
TOPIC_0,technology,2.032853183025543
TOPIC_0,new,1.9951775609390037
TOPIC_0,power,1.9948856334067342
TOPIC_0,renewable,1.9743388775810329
TOPIC_1,yukon,8.06520863159847
TOPIC_1,number,5.035427235655434
TOPIC_1,wildlife,3.0238892332762495
TOPIC_1,provides,2.7379889190941675
TOPIC_1,water,2.567973732610535
TOPIC_1,management,2.4310823501895813
TOPIC_1,environmental,2.252688760633365
TOPIC_1,energy,2.228680511868961
TOPIC_1,change,2.098728422731139
TOPIC_1,climate,1.9906205771624141
TOPIC_1,health,1.9745290861235192
TOPIC_1,policy,1.7136616297058256
TOPIC_1,government,1.6706047356314975
TOPIC_1,fish,1.630001482564605
TOPIC_1,monitoring,1.6070044838762647
TOPIC_1,2021,1.5891262119023295
TOPIC_1,environment,1.5639472196461068
TOPIC_1,animal,1.5482827724968602
TOPIC_1,public,1.520868081455901
TOPIC_1,sustainability,1.5164751740942888
TOPIC_1,issue,1.4910802114430206
TOPIC_1,chief,1.4815497131247994
TOPIC_1,special,1.4175382319805394
TOPIC_1,programs,1.412722042272015
TOPIC_1,executive,1.397038020355178
TOPIC_2,norway,6.874833539656791
TOPIC_2,environmental,6.571939074633414
TOPIC_2,business,4.61465465085629
TOPIC_2,sustainable,4.508444262228066
TOPIC_2,21,4.445292175976878
TOPIC_2,development,4.076828303434591
TOPIC_2,water,3.6200235334999946
TOPIC_2,new,3.439048024003607
TOPIC_2,green,3.3380967285913274
TOPIC_2,health,2.933412379407773
TOPIC_2,economy,2.927089578588251
TOPIC_2,sustainability,2.8901354192706488
TOPIC_2,community,2.889813908077334
TOPIC_2,air,2.7068343070026697
TOPIC_2,awareness,2.681729956816496
TOPIC_2,energy,2.592009911877307
TOPIC_2,use,2.5474671401574662
TOPIC_2,company,2.494746684970045
TOPIC_2,region,2.4394087175863284
TOPIC_2,public,2.298812332144433
TOPIC_2,quality,2.2644103509012674
TOPIC_2,issue,2.1785029378272345
