doc,topic,weight
unep,TOPIC_0,0.06666666666666668
unep,TOPIC_1,0.06666666666666668
unep,TOPIC_2,0.06666666666666668
unep,TOPIC_3,0.06666666666666668
unep,TOPIC_4,0.06666666666666668
unep,TOPIC_5,0.06666666666666668
unep,TOPIC_6,0.06666666666666668
unep,TOPIC_7,0.06666666666666668
unep,TOPIC_8,0.06666666666666668
unep,TOPIC_9,0.06666666666666668
unep,TOPIC_10,0.06666666666666668
unep,TOPIC_11,0.06666666666666668
unep,TOPIC_12,0.06666666666666668
unep,TOPIC_13,0.06666666666666668
unep,TOPIC_14,0.06666666666666668
aecom,TOPIC_0,0.00025157270713466374
aecom,TOPIC_1,0.000251572695950427
aecom,TOPIC_2,0.0002515727406163914
aecom,TOPIC_3,0.0002515726721078516
aecom,TOPIC_4,0.8475622867000884
aecom,TOPIC_5,0.0002515729433461625
aecom,TOPIC_6,0.00025157290973704615
aecom,TOPIC_7,0.14916726726320556
aecom,TOPIC_8,0.00025157265498855106
aecom,TOPIC_9,0.00025157285397256517
aecom,TOPIC_10,0.00025157281696767345
aecom,TOPIC_11,0.0002515729389668967
aecom,TOPIC_12,0.0002515726435815612
aecom,TOPIC_13,0.00025157271668067757
aecom,TOPIC_14,0.0002515727426556409
ducksters,TOPIC_0,0.0006230538481359158
ducksters,TOPIC_1,0.0006230535571620453
ducksters,TOPIC_2,0.0006230537879427679
ducksters,TOPIC_3,0.0006230538038985089
ducksters,TOPIC_4,0.15416231985027717
ducksters,TOPIC_5,0.8377379783444262
ducksters,TOPIC_6,0.0006230545863973093
ducksters,TOPIC_7,0.0006230547890288866
ducksters,TOPIC_8,0.0006230536112782879
ducksters,TOPIC_9,0.0006230541296695706
ducksters,TOPIC_10,0.0006230541942790672
ducksters,TOPIC_11,0.0006230544739951322
ducksters,TOPIC_12,0.0006230535708117778
ducksters,TOPIC_13,0.0006230536870745668
ducksters,TOPIC_14,0.000623053765622712
worldbank,TOPIC_0,0.00039215759495295796
worldbank,TOPIC_1,0.0003921573777306855
worldbank,TOPIC_2,0.0003921575109400672
worldbank,TOPIC_3,0.00039215738344581033
worldbank,TOPIC_4,0.9267262570593812
worldbank,TOPIC_5,0.0003921579845265708
worldbank,TOPIC_6,0.06817569425827358
worldbank,TOPIC_7,0.00039215784299268425
worldbank,TOPIC_8,0.00039215736726794497
worldbank,TOPIC_9,0.0003921575766379213
worldbank,TOPIC_10,0.0003921575263635521
worldbank,TOPIC_11,0.0003921578808973411
worldbank,TOPIC_12,0.00039215745496443653
worldbank,TOPIC_13,0.0003921574412257703
worldbank,TOPIC_14,0.00039215774039927923
un,TOPIC_0,3.9777311105854534e-05
un,TOPIC_1,3.97772945259982e-05
un,TOPIC_2,3.9777322263648196e-05
un,TOPIC_3,3.97773034338949e-05
un,TOPIC_4,0.9994431174727398
un,TOPIC_5,3.9777342261952e-05
un,TOPIC_6,3.977736976005552e-05
un,TOPIC_7,3.9777378261215165e-05
un,TOPIC_8,3.977729470659234e-05
un,TOPIC_9,3.9777319896345716e-05
un,TOPIC_10,3.977732033017223e-05
un,TOPIC_11,3.9777331546537256e-05
un,TOPIC_12,3.9777297370135144e-05
un,TOPIC_13,3.977731047160413e-05
un,TOPIC_14,3.9777331326154645e-05
au,TOPIC_0,0.0001731604394200033
au,TOPIC_1,0.00017316041283776495
au,TOPIC_2,0.00017316044091651806
au,TOPIC_3,0.0001731603955604598
au,TOPIC_4,0.09414925514608775
au,TOPIC_5,0.7444384654243948
au,TOPIC_6,0.00017316061741047575
au,TOPIC_7,0.1593343538761817
au,TOPIC_8,0.00017316037107641846
au,TOPIC_9,0.000173160615981138
au,TOPIC_10,0.00017316046895133748
au,TOPIC_11,0.00017316054757871496
au,TOPIC_12,0.00017316038388023462
au,TOPIC_13,0.0001731604095349053
au,TOPIC_14,0.00017316045018771163
nationalgeographic,TOPIC_0,0.00029112123765877437
nationalgeographic,TOPIC_1,0.00029112115933761497
nationalgeographic,TOPIC_2,0.00029112126010421863
nationalgeographic,TOPIC_3,0.0002911212581656953
nationalgeographic,TOPIC_4,0.00029113132355181986
nationalgeographic,TOPIC_5,0.9959242910554745
nationalgeographic,TOPIC_6,0.0002911216282970389
nationalgeographic,TOPIC_7,0.0002911214862350806
nationalgeographic,TOPIC_8,0.0002911211544585915
nationalgeographic,TOPIC_9,0.0002911215136918253
nationalgeographic,TOPIC_10,0.0002911215987080653
nationalgeographic,TOPIC_11,0.0002911214101728513
nationalgeographic,TOPIC_12,0.00029112113988097495
nationalgeographic,TOPIC_13,0.0002911215285479383
nationalgeographic,TOPIC_14,0.00029112124571496794
wto,TOPIC_0,0.00023894897958072912
wto,TOPIC_1,0.00023894899706149083
wto,TOPIC_2,0.00023894903357658963
wto,TOPIC_3,0.0002389489621652095
wto,TOPIC_4,0.48744796842600785
wto,TOPIC_5,0.00023894925520023957
wto,TOPIC_6,0.00023894919575693122
wto,TOPIC_7,0.0009581294371060294
wto,TOPIC_8,0.0002389489185835012
wto,TOPIC_9,0.5087265136796394
wto,TOPIC_10,0.0002389490901245028
wto,TOPIC_11,0.00023894912102636993
wto,TOPIC_12,0.00023894888792399377
wto,TOPIC_13,0.00023894898305717774
wto,TOPIC_14,0.00023894903319024883
theconversation,TOPIC_0,0.0007092214624081047
theconversation,TOPIC_1,0.0007092211547004129
theconversation,TOPIC_2,0.0007092212347354193
theconversation,TOPIC_3,0.0007092211456979598
theconversation,TOPIC_4,0.7717209970550148
theconversation,TOPIC_5,0.21905912388884408
theconversation,TOPIC_6,0.0007092226125864758
theconversation,TOPIC_7,0.0007092217506688856
theconversation,TOPIC_8,0.0007092211897332012
theconversation,TOPIC_9,0.0007092214312056943
theconversation,TOPIC_10,0.0007092214724125852
theconversation,TOPIC_11,0.0007092218671444435
theconversation,TOPIC_12,0.000709221085064275
theconversation,TOPIC_13,0.0007092210596736336
theconversation,TOPIC_14,0.0007092215901097102
epa,TOPIC_0,0.0004115233124035999
epa,TOPIC_1,0.00041152322423727367
epa,TOPIC_2,0.0004115232691653345
epa,TOPIC_3,0.0004115232103614081
epa,TOPIC_4,0.868972236753742
epa,TOPIC_5,0.0004115237801960586
epa,TOPIC_6,0.00041152394347704547
epa,TOPIC_7,0.12567795938138782
epa,TOPIC_8,0.00041152311211313714
epa,TOPIC_9,0.00041152331338770566
epa,TOPIC_10,0.00041152361393658496
epa,TOPIC_11,0.0004115235068975232
epa,TOPIC_12,0.00041152307152659374
epa,TOPIC_13,0.0004115232128814926
epa,TOPIC_14,0.00041152329428628166
weather,TOPIC_0,0.0009259272357644634
weather,TOPIC_1,0.0009259271615422564
weather,TOPIC_2,0.0009259274874102856
weather,TOPIC_3,0.0009259270539559135
