Id,urls,discourse: Climate change,discourse: Environment,discourse: Green growth,discourse: Sustainability,discourse: UN SDGs,area: Arctic,area: Arctic Norway,area: Extended Arctic,area: Faroed Islands,area: Greenland,area: Iceland,area: Nunavut,area: Sami,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
unep,https://www.unep.org/ https://www.unep.org/environmentassembly/ https://www.unep.org/explore-topics/green-economy https://www.unep.org/explore-topics/resource-efficiency/what-we-do/sustainable-consumption-and-production-policies ,False,True,True,False,False,False,False,True,False,False,False,False,False,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668
aecom,https://aecom.com/services/environmental-services/ https://aecom.com/about-aecom/sustainability/ ,False,True,False,True,False,False,False,True,False,False,False,False,False,0.00025157270713466374,0.000251572695950427,0.0002515727406163914,0.0002515726721078516,0.8475622867000884,0.0002515729433461625,0.00025157290973704615,0.14916726726320556,0.00025157265498855106,0.00025157285397256517,0.00025157281696767345,0.0002515729389668967,0.0002515726435815612,0.00025157271668067757,0.0002515727426556409
ducksters,https://www.ducksters.com/science/environment/ ,False,True,False,False,False,False,False,True,False,False,False,False,False,0.0006230538481359158,0.0006230535571620453,0.0006230537879427679,0.0006230538038985089,0.15416231985027717,0.8377379783444262,0.0006230545863973093,0.0006230547890288866,0.0006230536112782879,0.0006230541296695706,0.0006230541942790672,0.0006230544739951322,0.0006230535708117778,0.0006230536870745668,0.000623053765622712
worldbank,https://www.worldbank.org/en/topic/environment/overview ,False,True,False,False,False,False,False,True,False,False,False,False,False,0.00039215759495295796,0.0003921573777306855,0.0003921575109400672,0.00039215738344581033,0.9267262570593812,0.0003921579845265708,0.06817569425827358,0.00039215784299268425,0.00039215736726794497,0.0003921575766379213,0.0003921575263635521,0.0003921578808973411,0.00039215745496443653,0.0003921574412257703,0.00039215774039927923
un,https://unstats.un.org/UNSD/envstats/index.cshtml https://sustainabledevelopment.un.org/content/documents/GE%20Guidebook.pdf https://sdgs.un.org/goals https://www.un.org/sustainabledevelopment/ https://sustainabledevelopment.un.org/topics/greeneconomy https://www.un.org/sustainabledevelopment/sustainable-consumption-production/ https://sdgs.un.org/goals https://www.un.org/sustainabledevelopment/sustainable-development-goals/ https://sustainabledevelopment.un.org/content/documents/2738sustainabilityfinalweb-.pdf ,False,True,True,True,False,False,False,True,False,False,False,False,False,3.9777311105854534e-05,3.97772945259982e-05,3.9777322263648196e-05,3.97773034338949e-05,0.9994431174727398,3.9777342261952e-05,3.977736976005552e-05,3.9777378261215165e-05,3.977729470659234e-05,3.9777319896345716e-05,3.977732033017223e-05,3.9777331546537256e-05,3.9777297370135144e-05,3.977731047160413e-05,3.9777331326154645e-05
au,https://phd.tech.au.dk/programmes/environmental-science/ ,False,True,False,False,False,False,False,True,False,False,False,False,False,0.0001731604394200033,0.00017316041283776495,0.00017316044091651806,0.0001731603955604598,0.09414925514608775,0.7444384654243948,0.00017316061741047575,0.1593343538761817,0.00017316037107641846,0.000173160615981138,0.00017316046895133748,0.00017316054757871496,0.00017316038388023462,0.0001731604095349053,0.00017316045018771163
nationalgeographic,https://www.nationalgeographic.com/environment/article/plastic-pollution ,False,True,False,False,False,False,False,True,False,False,False,False,False,0.00029112123765877437,0.00029112115933761497,0.00029112126010421863,0.0002911212581656953,0.00029113132355181986,0.9959242910554745,0.0002911216282970389,0.0002911214862350806,0.0002911211544585915,0.0002911215136918253,0.0002911215987080653,0.0002911214101728513,0.00029112113988097495,0.0002911215285479383,0.00029112124571496794
wto,http://www.wto.org/english/tratop_e/envir_e/envir_e.htm ,False,True,False,False,False,False,False,True,False,False,False,False,False,0.00023894897958072912,0.00023894899706149083,0.00023894903357658963,0.0002389489621652095,0.48744796842600785,0.00023894925520023957,0.00023894919575693122,0.0009581294371060294,0.0002389489185835012,0.5087265136796394,0.0002389490901245028,0.00023894912102636993,0.00023894888792399377,0.00023894898305717774,0.00023894903319024883
theconversation,https://theconversation.com/uk/environment ,False,True,False,False,False,False,False,True,False,False,False,False,False,0.0007092214624081047,0.0007092211547004129,0.0007092212347354193,0.0007092211456979598,0.7717209970550148,0.21905912388884408,0.0007092226125864758,0.0007092217506688856,0.0007092211897332012,0.0007092214312056943,0.0007092214724125852,0.0007092218671444435,0.000709221085064275,0.0007092210596736336,0.0007092215901097102
epa,https://www.epa.gov/environmental-topics https://www.epa.gov/sustainability/sustainable-manufacturing ,False,True,False,True,False,False,False,True,False,False,False,False,False,0.0004115233124035999,0.00041152322423727367,0.0004115232691653345,0.0004115232103614081,0.868972236753742,0.0004115237801960586,0.00041152394347704547,0.12567795938138782,0.00041152311211313714,0.00041152331338770566,0.00041152361393658496,0.0004115235068975232,0.00041152307152659374,0.0004115232128814926,0.00041152329428628166
weather,https://weather.gc.ca/forecast/canada/index_e.html?id=AB ,False,True,False,False,False,False,False,True,False,False,False,False,False,0.0009259272357644634,0.0009259271615422564,0.0009259274874102856,0.0009259270539559135,0.0009259286394852718,0.000925928266021056,0.1610627896621962,0.000925928124679471,0.000925926902767673,0.0009259279402412518,0.0009259276448599072,0.20016217550726803,0.6276639039107186,0.0009259271520266587,0.0009259273110629062
transportenvironment,https://www.transportenvironment.org/ ,False,True,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stantec,https://www.stantec.com/en/markets/environment ,False,True,False,False,False,False,False,True,False,False,False,False,False,0.0005464490311557711,0.0005464489407227042,0.0005464489228068459,0.0005464487905514479,0.9538370040344433,0.0005464497844157476,0.0005464489201188074,0.0005464494402634176,0.0005464487187555501,0.03905915812247959,0.000546449076127391,0.0005464494789080428,0.0005464489212729523,0.0005464488217142301,0.0005464489962641538
gnb,https://www2.gnb.ca/content/gnb/en/departments/elg/environment.html ,False,True,False,False,False,False,False,True,False,False,False,False,False,0.0007575768900122371,0.0007575767517934837,0.0007575770170560329,0.0007575767839918113,0.6931333247668215,0.29701817245028767,0.0007575782349039991,0.0007575782019117469,0.000757576690931744,0.0007575773503153199,0.0007575771184222151,0.0007575776737824251,0.000757576498102009,0.0007575767382654938,0.0007575768334023434
woodplc,https://www.woodplc.com/capabilities/environment-and-infrastructure-solutions ,False,True,False,False,False,False,False,True,False,False,False,False,False,0.00030864243840571866,0.000308642395524008,0.00030864247497385444,0.00030864241651612365,0.7409973588508332,0.0003086426808429289,0.028724114123988377,0.2265748169994088,0.00030864241377524294,0.00030864262811169593,0.0003086425784755709,0.00030864271214658094,0.00030864239909676706,0.00030864240836388256,0.0003086424795373467
acs,https://pubs.acs.org/journal/esthag ,False,True,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
samsung,https://www.samsung.com/us/aboutsamsung/sustainability/environment/ ,False,True,False,False,False,False,False,True,False,False,False,False,False,0.00012845234249616233,0.00012845231415338433,0.0001284523498894612,0.0001284523750057129,0.9260766398220523,0.00012845246101923555,0.00012845254045673897,0.07225347921075802,0.000128452299156938,0.00012845235879416184,0.0001284524790430748,0.00012845243201159857,0.00012845231095165248,0.00012845237765883106,0.0001284523265528993
inhabitat,https://inhabitat.com/environment/ ,False,True,False,False,False,False,False,True,False,False,False,False,False,0.03333335398912559,0.033333342547507444,0.03333334731532426,0.03333334942404902,0.03333333603286439,0.033333347627606855,0.5333331620367517,0.03333333514111685,0.033333349393793434,0.03333334766417051,0.033333345130965475,0.033333338752407085,0.03333334898141744,0.03333334281536021,0.03333335314753966
