Id,urls,text,discourse: Climate change,discourse: Environment,discourse: Green growth,discourse: Sustainability,discourse: UN SDGs,area: Arctic,area: Arctic Norway,area: Extended Arctic,area: Faroed Islands,area: Greenland,area: Iceland,area: Nunavut,area: Sami
drhyman,https://drhyman.com/downloads/Impact-of-Hg.pdf , . ,False,True,False,False,False,False,False,False,True,False,False,False,False
oceaneering,https://www.oceaneering.com/sustainability/environmental-sustainability/ https://www.oceaneering.com/sustainability/ , .  . ,False,True,False,True,False,False,False,False,True,False,False,False,False
earthday,https://www.earthday.org/how-our-trash-impacts-the-environment/ https://www.earthday.org/ ,"Uncategorized
How Our Trash Impacts the Environment
February 28, 2019
By Austin Downs and Richard Acevedo
The waste humans generate waste has been detrimental to our environment for quite some time now. Humans are generating too much trash and cannot deal with it in a sustainable way. Waste that is not biodegradable and cannot be properly be recycled is filling our oceans and landfills. Let’s take plastic waste as an example. A recent study found that of the 6.3 billion metric tons of plastic waste that has been produced, only 9% of that plastic waste had been recycled. (Find out more about plastic pollution and how you can help reduce your own waste.) In 2017, for instance, the Environmental Protection Agency calculated that the total generation of municipal solid waste in the United States just that year was 267.8 million tons. Compared with 2015 levels, it was a 5.7 million increase. All together, the amount of waste generated affects the environment in multiple ways: its contribution to the worsening climate crisis, its negative impact on wildlife and the natural environment, and its detriment to our very own public health.
Climate Change
The way we dispose of waste is troubling. What is worse, in this decade alone, it would seem that waste disposal has become more careless. What we have failed to do is to put into action the ideas we believe will help us mitigate or adapt to climate change. Case in point: the trash that is dumped in landfills releases methane gas. Taken one step further open landfills were found to represent 91% of all landfill methane emissions. The burning of large, open piles of trash in various parts of the world emits dangerous levels of carbon dioxide, a greenhouse gas that is heating up our planet. Researchers have calculated that approximately 40% of the world’s trash is burned in this fashion, posing large-scale risks to both our atmosphere and the people that live near these burning sites.
Wildlife
Ecosystems vary widely from location to location. However, one of the most outsize consequences of our global waste problem manifests itself in relation to our marine life and waterways. Simply put, it affects the people who depend on the ocean for their livelihoods. They cannot distinguish between what is or isn’t food. They consume the trash, which results in death because the aquatic animal could not process it. This affects fish, seals, turtles, whales, and many other aquatic animals, as scientists have also found many plastic fragments in over a thousand species. Due to ingestion of trash or plastics, starvation is usually the next step because some species do not have high acidic levels in their stomach to break down the object that they ingested. There are some animals that do but plastic fragments have been known to be able to last 100 years. When it comes to biodiversity, our waste problem is severely plaguing the health of the world’s species.
Public Health
Human health is at risk through our inaction. We keep producing large amounts of trash, we do not dispose of it correctly, and in the end that will be our downfall as it is for the environment and wildlife in the ecosystems we all share. We cannot prevent or promote longevity with how we treat our Earth. The more emissions that we produce due to how much trash we generate, affects us long term. One can develop diseases such as asthma, birth defects, cancer, cardiovascular disease, childhood cancer, COPD, infectious diseases, low birth weight, and preterm delivery. Bacteria, vermin and insects can also be added to the problem that trash causes.
Austin Downs is the coordinator for the Great Global Cleanup.
Richard Acevedo is a Fall 2019 intern. . Restore Our Earth
Finally, A Chance For Environmental Justice
In order to Restore Our Earth, climate change solutions must center and benefit those most disproportionately impacted by environmental degradation and climate change. read more . ",False,True,False,False,True,False,False,False,True,False,False,False,False
cowi,https://www.cowi.com/solutions/environment ,"Urbanization, climate change and increasing energy demands are some of the main challenges to our society and environment.
We provide specialized consultancy and innovative solutions that better society and safeguard our environment.
Our services are tailored to the specific needs of our customers, as stand-alone services or integrated in complex projects with urban development, infrastructure, climate adaptation, energy and health.
We work globally, and COWI ranks as the international market leader within solid waste management.
Use the tags below or the filter icon to filter the solutions displayed. . ",False,True,False,False,False,False,False,False,True,False,False,False,False
sheilds,https://www.sheilds.org/nebosh-environmental-certificate/ ,"NEBOSH Exam Calendar
Students may choose to sit their NEBOSH examination(s) at venues and dates listed here.
This qualification is studied online and examined externally.
The NEBOSH Certificate in Environmental Management is designed for Managers, supervisors and employees based in the UK, who have responsibility for managing environmental issues, as part of their day to day duties. The qualification focuses on UK law and environmental management systems. It also provides a sound basis for progression on to the NEBOSH National Diploma in Environmental management.
Costs for this eLearning NEBOSH Environmental Management Certificate
Payments for eLearning courses made within the UK (only) are subject to UK VAT at the prevailing rate.
NEBOSH Certificate in Environmental Management (via eLearning)
As the NEBOSH National General Certificate qualification has been recognised for many years as an excellent introduction to the fundamentals of occupational health and safety. The NEBOSH Certificate in Environmental Management is designed to provide a similarly sound foundation in environmental management.
The NEBOSH Certificate in Environmental Management will benefit companies who are seeking to implement effective environmental management systems, ensuring that line managers have a sound understanding of the principles of managing environmental risk. This qualification is relevant to all industry sectors.
