doc,topic,weight
earthday,TOPIC_0,0.0003703709413525728
earthday,TOPIC_1,0.6156736399760698
earthday,TOPIC_2,0.00037037102476442026
earthday,TOPIC_3,0.00037037081356194553
earthday,TOPIC_4,0.0003703710581422184
earthday,TOPIC_5,0.11791091136004474
earthday,TOPIC_6,0.00037037123516160344
earthday,TOPIC_7,0.00037037089542554525
earthday,TOPIC_8,0.0003703708868182788
earthday,TOPIC_9,0.21805446120260008
earthday,TOPIC_10,0.0003703714518786192
earthday,TOPIC_11,0.00037037130596551083
earthday,TOPIC_12,0.00037037102767168654
earthday,TOPIC_13,0.0003703708660528759
earthday,TOPIC_14,0.044286905954489794
cowi,TOPIC_0,0.0017543876835595252
cowi,TOPIC_1,0.9754385631808019
cowi,TOPIC_2,0.0017543876550262282
cowi,TOPIC_3,0.0017543876734978242
cowi,TOPIC_4,0.0017543878555227733
cowi,TOPIC_5,0.0017543911943590097
cowi,TOPIC_6,0.0017543876692500157
cowi,TOPIC_7,0.001754387816517694
cowi,TOPIC_8,0.0017543878113447588
cowi,TOPIC_9,0.0017543881053751144
cowi,TOPIC_10,0.001754391171761186
cowi,TOPIC_11,0.0017543886707832733
cowi,TOPIC_12,0.001754388694669439
cowi,TOPIC_13,0.001754387607484079
cowi,TOPIC_14,0.001754387210047133
sheilds,TOPIC_0,0.0003159562291884056
sheilds,TOPIC_1,0.5378147718200138
sheilds,TOPIC_2,0.0003159562222755526
sheilds,TOPIC_3,0.0003159561543570095
sheilds,TOPIC_4,0.00031595629438407457
sheilds,TOPIC_5,0.00031595673016446307
sheilds,TOPIC_6,0.00031595637105457465
sheilds,TOPIC_7,0.00031595635126024723
sheilds,TOPIC_8,0.0003159561469372278
sheilds,TOPIC_9,0.0003159563211143178
sheilds,TOPIC_10,0.45807779617214345
sheilds,TOPIC_11,0.0003159564869928754
sheilds,TOPIC_12,0.00031595618079615723
sheilds,TOPIC_13,0.00031595614361004665
sheilds,TOPIC_14,0.00031595637570763964
norden,TOPIC_0,0.0015873035297990924
norden,TOPIC_1,0.04006330020321107
norden,TOPIC_2,0.0015873036819574957
norden,TOPIC_3,0.0015873029960533724
norden,TOPIC_4,0.001587304245608059
norden,TOPIC_5,0.0015873041983372673
norden,TOPIC_6,0.0015873047162669304
norden,TOPIC_7,0.0015873036741365784
norden,TOPIC_8,0.12017803770359413
norden,TOPIC_9,0.0015873039349080837
norden,TOPIC_10,0.8207110167969573
norden,TOPIC_11,0.0015873042058828573
norden,TOPIC_12,0.001587303373891558
norden,TOPIC_13,0.001587303225492954
norden,TOPIC_14,0.001587303513903191
sensirion,TOPIC_0,0.00010928978875591523
sensirion,TOPIC_1,0.5634083420834847
sensirion,TOPIC_2,0.00010928982854261774
sensirion,TOPIC_3,0.00010928974661694136
sensirion,TOPIC_4,0.00010928981032096536
sensirion,TOPIC_5,0.06548433683533787
sensirion,TOPIC_6,0.00010928988444580249
sensirion,TOPIC_7,0.0001092897973257759
sensirion,TOPIC_8,0.00010928976729610468
sensirion,TOPIC_9,0.3308258437295326
sensirion,TOPIC_10,0.00010928986845700972
sensirion,TOPIC_11,0.00010928981265248963
sensirion,TOPIC_12,0.00010928978858082942
sensirion,TOPIC_13,0.00010928976930133766
sensirion,TOPIC_14,0.03907928948934916
biomedcentral,TOPIC_0,4.4682814491604374e-05
