Id,urls,discourse: Climate change,discourse: Environment,discourse: Green growth,discourse: Sustainability,discourse: UN SDGs,area: Arctic,area: Arctic Norway,area: Extended Arctic,area: Faroed Islands,area: Greenland,area: Iceland,area: Nunavut,area: Sami,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
drhyman,https://drhyman.com/downloads/Impact-of-Hg.pdf ,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oceaneering,https://www.oceaneering.com/sustainability/environmental-sustainability/ https://www.oceaneering.com/sustainability/ ,False,True,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earthday,https://www.earthday.org/how-our-trash-impacts-the-environment/ https://www.earthday.org/ ,False,True,False,False,True,False,False,False,True,False,False,False,False,0.0003703709413525728,0.6156736399760698,0.00037037102476442026,0.00037037081356194553,0.0003703710581422184,0.11791091136004474,0.00037037123516160344,0.00037037089542554525,0.0003703708868182788,0.21805446120260008,0.0003703714518786192,0.00037037130596551083,0.00037037102767168654,0.0003703708660528759,0.044286905954489794
cowi,https://www.cowi.com/solutions/environment ,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0017543876835595252,0.9754385631808019,0.0017543876550262282,0.0017543876734978242,0.0017543878555227733,0.0017543911943590097,0.0017543876692500157,0.001754387816517694,0.0017543878113447588,0.0017543881053751144,0.001754391171761186,0.0017543886707832733,0.001754388694669439,0.001754387607484079,0.001754387210047133
sheilds,https://www.sheilds.org/nebosh-environmental-certificate/ ,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0003159562291884056,0.5378147718200138,0.0003159562222755526,0.0003159561543570095,0.00031595629438407457,0.00031595673016446307,0.00031595637105457465,0.00031595635126024723,0.0003159561469372278,0.0003159563211143178,0.45807779617214345,0.0003159564869928754,0.00031595618079615723,0.00031595614361004665,0.00031595637570763964
norden,https://www.norden.org/en/environmentprize https://www.norden.org/en/organisation/nordic-council-ministers-environment-and-climate-mr-mk ,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0015873035297990924,0.04006330020321107,0.0015873036819574957,0.0015873029960533724,0.001587304245608059,0.0015873041983372673,0.0015873047162669304,0.0015873036741365784,0.12017803770359413,0.0015873039349080837,0.8207110167969573,0.0015873042058828573,0.001587303373891558,0.001587303225492954,0.001587303513903191
sensirion,https://www.sensirion.com/en/environmental-sensors/ ,False,True,False,False,False,False,False,False,True,False,False,False,False,0.00010928978875591523,0.5634083420834847,0.00010928982854261774,0.00010928974661694136,0.00010928981032096536,0.06548433683533787,0.00010928988444580249,0.0001092897973257759,0.00010928976729610468,0.3308258437295326,0.00010928986845700972,0.00010928981265248963,0.00010928978858082942,0.00010928976930133766,0.03907928948934916
biomedcentral,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-019-0152-8 ,False,True,False,False,False,False,False,False,True,False,False,False,False,4.4682814491604374e-05,4.4682874349587974e-05,4.4682820514890654e-05,4.4682803796756175e-05,4.468284891006994e-05,4.468287450228417e-05,4.4682832225108004e-05,4.468280701800539e-05,4.4682813936394104e-05,4.468298964770395e-05,0.9993744402020722,4.4682827977518765e-05,4.468280703124883e-05,4.468281513015842e-05,4.468286839627112e-05
dredgeyard,https://dredgeyard.com/news/dredging-the-environment/ ,False,True,False,False,False,False,False,False,True,False,False,False,False,0.00020080356783403326,0.7615061394302435,0.00020080362036770666,0.00020080348110894556,0.00020080371541733978,0.00020080376447018629,0.07937164472996497,0.0002008034162387074,0.00020080350929056797,0.06266213032050123,0.09425124579109885,0.00020080376421560407,0.00020080352450083517,0.00020080348038735522,0.00020080388435996657
earthshotprize,https://earthshotprize.org/ ,False,True,False,False,False,False,False,False,True,False,False,False,False,0.001550389576294248,0.9782945423905671,0.0015503891040997964,0.001550388843431477,0.0015503888634467737,0.0015503937767344653,0.0015503902189928811,0.0015503907595237239,0.0015503891915402508,0.001550388716548354,0.001550391144306345,0.001550389907037777,0.0015503891813942608,0.0015503891303311405,0.00155038919575098
myamericannurse,https://www.myamericannurse.com/environmental-wellness/ ,False,True,False,False,False,False,False,False,True,False,False,False,False,0.00024067425655284255,0.4600271512868465,0.00024067424885474518,0.00024067419743415162,0.00024067427625170206,0.0002406745650371896,0.00024067446886537965,0.00024067443973658966,0.00024067422870135204,0.17954385273926565,0.357540903907581,0.00024067435342927878,0.000240674302576446,0.0002406742343088332,0.00024067449455838065
