doc,topic,weight
icelandreview,TOPIC_0,0.0001484783607458094
icelandreview,TOPIC_1,0.00014847834944677207
icelandreview,TOPIC_2,0.00014847835420890066
icelandreview,TOPIC_3,0.00014847838363697764
icelandreview,TOPIC_4,0.00014847837492983876
icelandreview,TOPIC_5,0.0001484784408288189
icelandreview,TOPIC_6,0.00014847848035228354
icelandreview,TOPIC_7,0.0001484783770132872
icelandreview,TOPIC_8,0.00014847838190298247
icelandreview,TOPIC_9,0.00014847835718336783
icelandreview,TOPIC_10,0.00014847836623579965
icelandreview,TOPIC_11,0.00014847836449127823
icelandreview,TOPIC_12,0.997921302611948
icelandreview,TOPIC_13,0.00014847844067371262
icelandreview,TOPIC_14,0.00014847835640218818
fao,TOPIC_0,0.03333348240878147
fao,TOPIC_1,0.03333341907509374
fao,TOPIC_2,0.03333346000936574
fao,TOPIC_3,0.03333338102765263
fao,TOPIC_4,0.03333340660090647
fao,TOPIC_5,0.033333395535993175
fao,TOPIC_6,0.03333339067214315
fao,TOPIC_7,0.033333395171860465
fao,TOPIC_8,0.03333341743056606
fao,TOPIC_9,0.03333340083056009
fao,TOPIC_10,0.03333339717232914
fao,TOPIC_11,0.03333342030478545
fao,TOPIC_12,0.5333322165374985
fao,TOPIC_13,0.03333338657046809
fao,TOPIC_14,0.03333343065199586
scientificamerican,TOPIC_0,0.00014124315003419618
scientificamerican,TOPIC_1,0.0001412431528903648
scientificamerican,TOPIC_2,0.00014124315425372767
scientificamerican,TOPIC_3,0.00014124321867418533
scientificamerican,TOPIC_4,0.00014124316667975823
scientificamerican,TOPIC_5,0.0001412431733627544
scientificamerican,TOPIC_6,0.0001412431607084182
scientificamerican,TOPIC_7,0.00014124320495042362
scientificamerican,TOPIC_8,0.00014124315334962498
scientificamerican,TOPIC_9,0.00014124313893203408
scientificamerican,TOPIC_10,0.0001412431542790229
scientificamerican,TOPIC_11,0.00014124316084979246
scientificamerican,TOPIC_12,0.998022595325194
scientificamerican,TOPIC_13,0.00014124353130214818
scientificamerican,TOPIC_14,0.00014124315453960837
theguardian,TOPIC_0,0.002469139021382089
theguardian,TOPIC_1,0.002469138803094414
theguardian,TOPIC_2,0.0024691389753949164
theguardian,TOPIC_3,0.0024691383165704995
theguardian,TOPIC_4,0.00246914006616776
theguardian,TOPIC_5,0.002469139470805994
theguardian,TOPIC_6,0.0024691388861243914
theguardian,TOPIC_7,0.002469139046747679
theguardian,TOPIC_8,0.0024691392497403018
theguardian,TOPIC_9,0.0024691389320471925
theguardian,TOPIC_10,0.0024691390206242297
theguardian,TOPIC_11,0.0024691388624111968
theguardian,TOPIC_12,0.9654320527910114
theguardian,TOPIC_13,0.002469139692149543
theguardian,TOPIC_14,0.00246913886572844
unicef,TOPIC_0,0.0013605462069223983
unicef,TOPIC_1,0.0013605461607364266
unicef,TOPIC_2,0.001360546347572667
unicef,TOPIC_3,0.001360546255220864
unicef,TOPIC_4,0.0013605461101854394
unicef,TOPIC_5,0.252079609119348
unicef,TOPIC_6,0.0013605460654220825
unicef,TOPIC_7,0.0013605459896817815
unicef,TOPIC_8,0.0013605463637057398
unicef,TOPIC_9,0.001360546145182539
unicef,TOPIC_10,0.0013605462758286013
unicef,TOPIC_11,0.0013605462339834837
unicef,TOPIC_12,0.7302332902715015
unicef,TOPIC_13,0.0013605461550926822
unicef,TOPIC_14,0.0013605462996155971
newsweek,TOPIC_0,0.00016299935620675557
newsweek,TOPIC_1,0.00016299933982025198
newsweek,TOPIC_2,0.00016299935219344784
newsweek,TOPIC_3,0.00016299937689993218
newsweek,TOPIC_4,0.00016299936583710176
newsweek,TOPIC_5,0.997718008569746
newsweek,TOPIC_6,0.0001629994152569863
newsweek,TOPIC_7,0.00016299936340976597
newsweek,TOPIC_8,0.00016299936803023754
newsweek,TOPIC_9,0.00016299937716832111
newsweek,TOPIC_10,0.0001629993637121473
newsweek,TOPIC_11,0.00016299935586305673
newsweek,TOPIC_12,0.00016299959441324385
newsweek,TOPIC_13,0.00016299944960617942
newsweek,TOPIC_14,0.00016299935183673337
weforum,TOPIC_0,0.00011675438421766089
weforum,TOPIC_1,0.00011675436193976919
weforum,TOPIC_2,0.00011675438196687146
weforum,TOPIC_3,0.0001167544476789489
weforum,TOPIC_4,0.00011675439539355804
weforum,TOPIC_5,0.00011675439370679571
weforum,TOPIC_6,0.9511944887277125
weforum,TOPIC_7,0.00011675438554812439
weforum,TOPIC_8,0.00011675438163283136
weforum,TOPIC_9,0.00011675437240367695
weforum,TOPIC_10,0.00011675438663710326
weforum,TOPIC_11,0.00011675437337718988
weforum,TOPIC_12,0.047287704211631205
weforum,TOPIC_13,0.00011675442166525316
weforum,TOPIC_14,0.0001167543744885935
government,TOPIC_0,7.069647206368347e-05
government,TOPIC_1,7.06964629843456e-05
government,TOPIC_2,7.069647853286958e-05
government,TOPIC_3,7.06965959559432e-05
government,TOPIC_4,7.069649124988569e-05
government,TOPIC_5,7.069647793517766e-05
government,TOPIC_6,7.069649135959669e-05
government,TOPIC_7,7.069646625142714e-05
government,TOPIC_8,7.069646631797211e-05
government,TOPIC_9,7.069646325440452e-05
government,TOPIC_10,7.069649593696373e-05
government,TOPIC_11,7.069646608752704e-05
government,TOPIC_12,0.9990102492234085
government,TOPIC_13,7.069647665210967e-05
government,TOPIC_14,7.069647200943897e-05
iceland,TOPIC_0,0.0001722655402743395
iceland,TOPIC_1,0.0001722655131934404
iceland,TOPIC_2,0.00017226552275584025
