Id,urls,discourse: Climate change,discourse: Environment,discourse: Green growth,discourse: Sustainability,discourse: UN SDGs,area: Arctic,area: Arctic Norway,area: Extended Arctic,area: Faroed Islands,area: Greenland,area: Iceland,area: Nunavut,area: Sami,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
unep,https://www.unep.org/news-and-stories/story/iceland-world-leader-clean-energy-supports-africas-push-geothermal-power ,False,False,False,False,True,False,False,False,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
icelandreview,https://www.icelandreview.com/news/environmental-issues-among-icelands-top-five-challenges/ https://www.icelandreview.com/magazine/ ,True,True,False,False,False,False,False,False,False,False,True,False,False,0.0001484783607458094,0.00014847834944677207,0.00014847835420890066,0.00014847838363697764,0.00014847837492983876,0.0001484784408288189,0.00014847848035228354,0.0001484783770132872,0.00014847838190298247,0.00014847835718336783,0.00014847836623579965,0.00014847836449127823,0.997921302611948,0.00014847844067371262,0.00014847835640218818
fao,http://www.fao.org/countryprofiles/index/en/?iso3=ISL ,False,False,False,False,True,False,False,False,False,False,True,False,False,0.03333348240878147,0.03333341907509374,0.03333346000936574,0.03333338102765263,0.03333340660090647,0.033333395535993175,0.03333339067214315,0.033333395171860465,0.03333341743056606,0.03333340083056009,0.03333339717232914,0.03333342030478545,0.5333322165374985,0.03333338657046809,0.03333343065199586
scientificamerican,https://www.scientificamerican.com/article/iceland-geothermal-power/ ,False,True,False,False,False,False,False,False,False,False,True,False,False,0.00014124315003419618,0.0001412431528903648,0.00014124315425372767,0.00014124321867418533,0.00014124316667975823,0.0001412431733627544,0.0001412431607084182,0.00014124320495042362,0.00014124315334962498,0.00014124313893203408,0.0001412431542790229,0.00014124316084979246,0.998022595325194,0.00014124353130214818,0.00014124315453960837
theguardian,https://www.theguardian.com/environment/gallery/2020/dec/30/icelands-innovations-to-reach-net-zero-in-pictures ,False,True,False,False,False,False,False,False,False,False,True,False,False,0.002469139021382089,0.002469138803094414,0.0024691389753949164,0.0024691383165704995,0.00246914006616776,0.002469139470805994,0.0024691388861243914,0.002469139046747679,0.0024691392497403018,0.0024691389320471925,0.0024691390206242297,0.0024691388624111968,0.9654320527910114,0.002469139692149543,0.00246913886572844
unicef,https://www.unicef.org/infobycountry/iceland.html https://www.unicef.org/infobycountry/iceland.html ,True,False,False,False,True,False,False,False,False,False,True,False,False,0.0013605462069223983,0.0013605461607364266,0.001360546347572667,0.001360546255220864,0.0013605461101854394,0.252079609119348,0.0013605460654220825,0.0013605459896817815,0.0013605463637057398,0.001360546145182539,0.0013605462758286013,0.0013605462339834837,0.7302332902715015,0.0013605461550926822,0.0013605462996155971
newsweek,https://www.newsweek.com/environmental-effects-icelands-volcano-70371 https://www.newsweek.com/environmental-effects-icelands-volcano-70371 ,False,True,False,False,False,False,False,False,False,False,True,False,False,0.00016299935620675557,0.00016299933982025198,0.00016299935219344784,0.00016299937689993218,0.00016299936583710176,0.997718008569746,0.0001629994152569863,0.00016299936340976597,0.00016299936803023754,0.00016299937716832111,0.0001629993637121473,0.00016299935586305673,0.00016299959441324385,0.00016299944960617942,0.00016299935183673337
weforum,https://www.weforum.org/agenda/2017/11/why-iceland-ranks-first-gender-equality/ ,False,False,False,False,True,False,False,False,False,False,True,False,False,0.00011675438421766089,0.00011675436193976919,0.00011675438196687146,0.0001167544476789489,0.00011675439539355804,0.00011675439370679571,0.9511944887277125,0.00011675438554812439,0.00011675438163283136,0.00011675437240367695,0.00011675438663710326,0.00011675437337718988,0.047287704211631205,0.00011675442166525316,0.0001167543744885935
government,https://www.government.is/topics/foreign-affairs/international-development-cooperation/ https://www.government.is/topics/foreign-affairs/international-development-cooperation/humanitarian-assistance/ https://www.government.is/topics/business-and-industry/sustainable-whaling-/ https://www.government.is/topics/business-and-industry/tourism-in-iceland/ ,False,False,True,False,True,False,False,False,False,False,True,False,False,7.069647206368347e-05,7.06964629843456e-05,7.069647853286958e-05,7.06965959559432e-05,7.069649124988569e-05,7.069647793517766e-05,7.069649135959669e-05,7.069646625142714e-05,7.069646631797211e-05,7.069646325440452e-05,7.069649593696373e-05,7.069646608752704e-05,0.9990102492234085,7.069647665210967e-05,7.069647200943897e-05
iceland,https://www.iceland.is/the-big-picture/nature-environment/environment https://www.iceland.is/the-big-picture/nature-environment https://sustainability.iceland.co.uk/ https://www.iceland.is/the-big-picture/nature-environment/environment ,False,True,True,False,False,False,False,False,False,False,True,False,False,0.0001722655402743395,0.0001722655131934404,0.00017226552275584025,0.00017226557290488128,0.00017226554947752848,0.0001722655571151765,0.00017226552898921314,0.00017226554475841983,0.00017226555423535353,0.00017226552299036486,0.00017226552416144266,0.00017226552128175767,0.9975882823848043,0.00017226564674999257,0.0001722655163078534
guidetoiceland,https://guidetoiceland.is/history-culture/health-in-iceland https://guidetoiceland.is/history-culture/sustainable-tourism-in-iceland https://guidetoiceland.is/history-culture/sustainable-tourism-in-iceland ,False,False,True,True,True,False,False,False,False,False,True,False,False,2.6444572637982025e-05,2.6444570792229538e-05,2.64445744160457e-05,2.6444571159980202e-05,2.6444572439715814e-05,2.644457958690837e-05,2.6444578870588484e-05,2.6444573235673684e-05,2.6444574921265197e-05,2.644457829851856e-05,2.6444572762238584e-05,2.6444574706894375e-05,0.9996297759425797,2.6444591033694896e-05,2.644457255856978e-05
thewire,https://science.thewire.in/environment/an-arctic-island-finds-green-power-can-be-a-curse/ ,False,True,False,False,False,False,False,False,False,False,True,False,False,9.83285783511019e-05,9.832861145428422e-05,9.83285930194435e-05,9.832883217178707e-05,9.832862413168938e-05,9.832860109131283e-05,9.832861106860493e-05,9.832858442809751e-05,9.832858132495823e-05,9.832857969402513e-05,9.832858496836105e-05,9.832858169473979e-05,0.9986233993908521,9.832864859844794e-05,9.832859715097318e-05
wipo,https://www.wipo.int/directory/en/details.jsp?country_code=IS ,False,False,False,False,True,False,False,False,False,False,True,False,False,0.016666687704088162,0.01666668676671799,0.016666687084858457,0.01666668669357427,0.0166667160438066,0.016666682878878267,0.016666683842483276,0.0166666879018921,0.016666693090750175,0.0166666863471391,0.016666687473177434,0.01666668455360387,0.7666663536595305,0.016666689212623466,0.016666686746876318
who,https://www.euro.who.int/en/countries/iceland https://www.euro.who.int/en/countries/iceland ,True,False,False,False,True,False,False,False,False,False,True,False,False,0.00032840768248996544,0.0003284076247575535,0.35374026011846643,0.00032840787903968784,0.0003284077598062629,0.00032840773705564174,0.0003284077398651616,0.0003284076537469099,0.00032840769072346867,0.0003284076600408851,0.0003284076695085192,0.0003284077438352618,0.6419904395817779,0.00032840776869656486,0.000328407690189744
ruv,https://www.ruv.is/ ,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0006116210870400188,0.00061162105007115,0.0006116210530078165,0.0006116210332706546,0.0006116214928831922,0.0006116210301033286,0.0006116210951840409,0.9914373046232771,0.0006116210910103582,0.0006116210626311455,0.000611621079056924,0.0006116210547401729,0.0006116211438750592,0.0006116210402559656,0.0006116210635928866
euobserver,https://euobserver.com/beyond-brussels/127983 ,True,False,False,False,False,False,False,False,False,False,True,False,False,0.00046296366250109586,0.0004629637021629101,0.00046296379223405103,0.00046296424860082006,0.0004629638366114201,0.0004629636634106199,0.0004629640288827654,0.0004629636838409433,0.00046296366965643023,0.0004629637202932539,0.0004629637076055717,0.00046296365900031557,0.9935185069010791,0.0004629639757836261,0.0004629637483370892
worldbank,https://www.worldbank.org/en/country/iceland ,True,False,False,False,False,False,False,False,False,False,True,False,False,0.003508775907243603,0.0035087765118691867,0.003508778313558576,0.003508789054678227,0.003508778083608189,0.0035087780748430213,0.0035087770640542843,0.003508776000202591,0.003508776672318478,0.003508776018547243,0.003508776808039517,0.0035087760024534037,0.9508771130305599,0.0035087766520719506,0.0035087758059519653
nytimes,https://www.nytimes.com/2019/08/09/business/iceland-ice-melt-global-warming-climate-change.html ,True,False,False,False,False,False,False,False,False,False,True,False,False,0.00013123378838599356,0.00013123379929361501,0.0001312338039489866,0.00013123385172720197,0.00013123383465693818,0.00013123395880590955,0.0001312338455918957,0.00013123380077342584,0.0001312338241139356,0.00013123380638360588,0.00013123380802897296,0.00013123381164336793,0.9981627264033976,0.0001312338610256163,0.00013123380222291453
prospects,https://www.prospects.ac.uk/jobs-and-work-experience/working-abroad/work-in-iceland ,True,False,False,False,False,False,False,False,False,False,True,False,False,0.00015325695680054032,0.00015325696303209894,0.000153256987063947,0.00015325695751361259,0.00015325699917995747,0.0001532570160387949,0.00015325698899571068,0.00015325697655934475,0.0001532569889353426,0.00015325697350445025,0.00015325698361580165,0.00015325697511645172,0.9763652639961632,0.021642395254282232,0.0001532569831985583
aljazeera,https://www.aljazeera.com/news/2021/3/20/icelandic-volcano-erupts-lighting-up-night-sky-near-reykjavik ,True,False,False,False,False,False,False,False,False,False,True,False,False,0.00032679788241440075,0.0003267978550819927,0.0003267979362650203,0.0003267978637678334,0.000326798046562306,0.0003267981878161575,0.8409793873115513,0.000326797961617026,0.000326797911809388,0.00032679790460319116,0.00032679787491728595,0.0003267978894172097,0.15477223950352273,0.0003267979944555028,0.0003267978761986278
sjavarklasinn,http://www.sjavarklasinn.is/en/ ,False,False,False,False,True,False,False,False,False,False,True,False,False,0.0020202048633310376,0.0020202048118862534,0.0020202060140048876,0.002020205404895588,0.0020202065998440144,0.002020205143814101,0.002020205183985318,0.002020211884863461,0.002020205490368776,0.002020205042524836,0.002020204844130512,0.002020205560204553,0.9717171187645172,0.0020202053478859216,0.0020202050437436287
nationalgeographic,https://www.nationalgeographic.com/science/article/iceland-greenland-name-swap ,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0003350088535675743,0.0003350088990806258,0.00033500886159524727,0.0003350090082549131,0.00033500897916898117,0.0003350089679065384,0.0003350089438944642,0.0003350088489683904,0.0003350089099636732,0.00033500887717113366,0.000335008869507014,0.000335008882682534,0.9953098751042306,0.00033500908048384636,0.0003350089135244901
arctic-council,https://arctic-council.org/en/ ,False,False,False,False,True,False,False,False,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cia,https://www.cia.gov/the-world-factbook/countries/iceland/ ,True,False,False,False,False,False,False,False,False,False,True,False,False,4.435579429540429e-05,4.435578930421634e-05,4.435579477679548e-05,4.435581141482846e-05,0.6746295822760975,4.43558020873333e-05,4.4355801895126315e-05,4.43558049142588e-05,4.435579926843152e-05,4.4355790950887954e-05,4.435579448606636e-05,4.4355790637305285e-05,0.3247937923574818,4.435579999666428e-05,4.435579239341127e-05
thegreenprogram,https://thegreenprogram.com/programs/iceland https://thegreenprogram.com/programs/iceland https://thegreenprogram.com/programs/iceland ,False,False,True,True,True,False,False,False,False,False,True,False,False,2.6195175800249306e-05,2.6195175258200702e-05,2.6195175624723547e-05,2.619517701133712e-05,2.619517547801488e-05,2.619517629915124e-05,2.619517677376515e-05,2.6195177166673258e-05,2.6195175112166892e-05,2.6195175531394252e-05,2.6195176572070668e-05,2.619517729749714e-05,2.619519820585822e-05,0.9996332675108497,2.6195177019058885e-05
europa,https://www.fch.europa.eu/news/iceland-road-sustainable-transport ,False,False,True,False,False,False,False,False,False,False,True,False,False,0.00041666727253699987,0.0004166672728138603,0.000416667387636325,0.00041666810591996255,0.00041666737145784735,0.00041666728876398946,0.0004166673230946038,0.000416667304033311,0.00041666726145266503,0.0004166672302525817,0.00041666728763779007,0.0004166673082973348,0.9941666566492094,0.0004166676323284576,0.0004166673045647949
