Id,urls,discourse: Climate change,discourse: Environment,discourse: Green growth,discourse: Sustainability,discourse: UN SDGs,area: Arctic,area: Arctic Norway,area: Extended Arctic,area: Faroed Islands,area: Greenland,area: Iceland,area: Nunavut,area: Sami,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,X-UMAP,Y-UMAP
unep,https://www.unep.org/news-and-stories/story/iceland-world-leader-clean-energy-supports-africas-push-geothermal-power ,False,False,False,False,True,False,False,False,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.818755149841309,3.4261221885681152
icelandreview,https://www.icelandreview.com/news/environmental-issues-among-icelands-top-five-challenges/ https://www.icelandreview.com/magazine/ ,True,True,False,False,False,False,False,False,False,False,True,False,False,0.0001484783607458,0.0001484783494467,0.0001484783542089,0.0001484783836369,0.0001484783749298,0.0001484784408288,0.0001484784803522,0.0001484783770132,0.0001484783819029,0.0001484783571833,0.0001484783662357,0.0001484783644912,0.997921302611948,0.0001484784406737,0.0001484783564021,6.52325963973999,4.749029636383057
fao,http://www.fao.org/countryprofiles/index/en/?iso3=ISL ,False,False,False,False,True,False,False,False,False,False,True,False,False,0.0333334824087814,0.0333334190750937,0.0333334600093657,0.0333333810276526,0.0333334066009064,0.0333333955359931,0.0333333906721431,0.0333333951718604,0.033333417430566,0.03333340083056,0.0333333971723291,0.0333334203047854,0.5333322165374985,0.033333386570468,0.0333334306519958,4.928558826446533,7.045158386230469
scientificamerican,https://www.scientificamerican.com/article/iceland-geothermal-power/ ,False,True,False,False,False,False,False,False,False,False,True,False,False,0.0001412431500341,0.0001412431528903,0.0001412431542537,0.0001412432186741,0.0001412431666797,0.0001412431733627,0.0001412431607084,0.0001412432049504,0.0001412431533496,0.000141243138932,0.000141243154279,0.0001412431608497,0.998022595325194,0.0001412435313021,0.0001412431545396,7.1291184425354,4.826739311218262
theguardian,https://www.theguardian.com/environment/gallery/2020/dec/30/icelands-innovations-to-reach-net-zero-in-pictures ,False,True,False,False,False,False,False,False,False,False,True,False,False,0.002469139021382,0.0024691388030944,0.0024691389753949,0.0024691383165704,0.0024691400661677,0.0024691394708059,0.0024691388861243,0.0024691390467476,0.0024691392497403,0.0024691389320471,0.0024691390206242,0.0024691388624111,0.9654320527910114,0.0024691396921495,0.0024691388657284,4.76261568069458,6.4150214195251465
unicef,https://www.unicef.org/infobycountry/iceland.html https://www.unicef.org/infobycountry/iceland.html ,True,False,False,False,True,False,False,False,False,False,True,False,False,0.0013605462069223,0.0013605461607364,0.0013605463475726,0.0013605462552208,0.0013605461101854,0.252079609119348,0.001360546065422,0.0013605459896817,0.0013605463637057,0.0013605461451825,0.0013605462758286,0.0013605462339834,0.7302332902715015,0.0013605461550926,0.0013605462996155,4.663737773895264,6.04317045211792
newsweek,https://www.newsweek.com/environmental-effects-icelands-volcano-70371 https://www.newsweek.com/environmental-effects-icelands-volcano-70371 ,False,True,False,False,False,False,False,False,False,False,True,False,False,0.0001629993562067,0.0001629993398202,0.0001629993521934,0.0001629993768999,0.0001629993658371,0.997718008569746,0.0001629994152569,0.0001629993634097,0.0001629993680302,0.0001629993771683,0.0001629993637121,0.000162999355863,0.0001629995944132,0.0001629994496061,0.0001629993518367,5.128124237060547,4.748737812042236
weforum,https://www.weforum.org/agenda/2017/11/why-iceland-ranks-first-gender-equality/ ,False,False,False,False,True,False,False,False,False,False,True,False,False,0.0001167543842176,0.0001167543619397,0.0001167543819668,0.0001167544476789,0.0001167543953935,0.0001167543937067,0.9511944887277124,0.0001167543855481,0.0001167543816328,0.0001167543724036,0.0001167543866371,0.0001167543733771,0.0472877042116312,0.0001167544216652,0.0001167543744885,3.9024033546447754,4.415341854095459
government,https://www.government.is/topics/foreign-affairs/international-development-cooperation/ https://www.government.is/topics/foreign-affairs/international-development-cooperation/humanitarian-assistance/ https://www.government.is/topics/business-and-industry/sustainable-whaling-/ https://www.government.is/topics/business-and-industry/tourism-in-iceland/ ,False,False,True,False,True,False,False,False,False,False,True,False,False,7.069647206368347e-05,7.06964629843456e-05,7.069647853286958e-05,7.06965959559432e-05,7.069649124988569e-05,7.069647793517766e-05,7.069649135959669e-05,7.069646625142714e-05,7.069646631797211e-05,7.069646325440452e-05,7.069649593696373e-05,7.069646608752704e-05,0.9990102492234084,7.069647665210967e-05,7.069647200943897e-05,7.323720455169678,3.6357734203338623
iceland,https://www.iceland.is/the-big-picture/nature-environment/environment https://www.iceland.is/the-big-picture/nature-environment https://sustainability.iceland.co.uk/ https://www.iceland.is/the-big-picture/nature-environment/environment ,False,True,True,False,False,False,False,False,False,False,True,False,False,0.0001722655402743,0.0001722655131934,0.0001722655227558,0.0001722655729048,0.0001722655494775,0.0001722655571151,0.0001722655289892,0.0001722655447584,0.0001722655542353,0.0001722655229903,0.0001722655241614,0.0001722655212817,0.9975882823848043,0.0001722656467499,0.0001722655163078,6.429468631744385,4.902548789978027
guidetoiceland,https://guidetoiceland.is/history-culture/health-in-iceland https://guidetoiceland.is/history-culture/sustainable-tourism-in-iceland https://guidetoiceland.is/history-culture/sustainable-tourism-in-iceland ,False,False,True,True,True,False,False,False,False,False,True,False,False,2.6444572637982025e-05,2.6444570792229535e-05,2.64445744160457e-05,2.64445711599802e-05,2.6444572439715814e-05,2.644457958690837e-05,2.6444578870588484e-05,2.6444573235673684e-05,2.64445749212652e-05,2.644457829851856e-05,2.6444572762238584e-05,2.644457470689437e-05,0.9996297759425796,2.6444591033694896e-05,2.644457255856978e-05,7.496705532073975,3.9257972240448
thewire,https://science.thewire.in/environment/an-arctic-island-finds-green-power-can-be-a-curse/ ,False,True,False,False,False,False,False,False,False,False,True,False,False,9.83285783511019e-05,9.832861145428422e-05,9.83285930194435e-05,9.832883217178708e-05,9.832862413168938e-05,9.832860109131284e-05,9.832861106860492e-05,9.832858442809752e-05,9.832858132495823e-05,9.832857969402512e-05,9.832858496836103e-05,9.83285816947398e-05,0.998623399390852,9.832864859844794e-05,9.832859715097318e-05,7.128514289855957,4.127852916717529
wipo,https://www.wipo.int/directory/en/details.jsp?country_code=IS ,False,False,False,False,True,False,False,False,False,False,True,False,False,0.0166666877040881,0.0166666867667179,0.0166666870848584,0.0166666866935742,0.0166667160438066,0.0166666828788782,0.0166666838424832,0.0166666879018921,0.0166666930907501,0.0166666863471391,0.0166666874731774,0.0166666845536038,0.7666663536595305,0.0166666892126234,0.0166666867468763,5.191168785095215,6.7306084632873535
who,https://www.euro.who.int/en/countries/iceland https://www.euro.who.int/en/countries/iceland ,True,False,False,False,True,False,False,False,False,False,True,False,False,0.0003284076824899,0.0003284076247575,0.3537402601184664,0.0003284078790396,0.0003284077598062,0.0003284077370556,0.0003284077398651,0.0003284076537469,0.0003284076907234,0.0003284076600408,0.0003284076695085,0.0003284077438352,0.6419904395817779,0.0003284077686965,0.0003284076901897,5.532080173492432,5.431891441345215
ruv,https://www.ruv.is/ ,True,False,False,False,False,False,False,False,False,False,True,False,False,0.00061162108704,0.0006116210500711,0.0006116210530078,0.0006116210332706,0.0006116214928831,0.0006116210301033,0.000611621095184,0.9914373046232772,0.0006116210910103,0.0006116210626311,0.0006116210790569,0.0006116210547401,0.000611621143875,0.0006116210402559,0.0006116210635928,4.482500076293945,3.438117265701294
euobserver,https://euobserver.com/beyond-brussels/127983 ,True,False,False,False,False,False,False,False,False,False,True,False,False,0.000462963662501,0.0004629637021629,0.000462963792234,0.0004629642486008,0.0004629638366114,0.0004629636634106,0.0004629640288827,0.0004629636838409,0.0004629636696564,0.0004629637202932,0.0004629637076055,0.0004629636590003,0.9935185069010792,0.0004629639757836,0.000462963748337,3.254970073699951,5.689010143280029
worldbank,https://www.worldbank.org/en/country/iceland ,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0035087759072436,0.0035087765118691,0.0035087783135585,0.0035087890546782,0.0035087780836081,0.003508778074843,0.0035087770640542,0.0035087760002025,0.0035087766723184,0.0035087760185472,0.0035087768080395,0.0035087760024534,0.95087711303056,0.0035087766520719,0.0035087758059519,4.834199905395508,6.752145290374756
nytimes,https://www.nytimes.com/2019/08/09/business/iceland-ice-melt-global-warming-climate-change.html ,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0001312337883859,0.0001312337992936,0.0001312338039489,0.0001312338517272,0.0001312338346569,0.0001312339588059,0.0001312338455918,0.0001312338007734,0.0001312338241139,0.0001312338063836,0.0001312338080289,0.0001312338116433,0.9981627264033976,0.0001312338610256,0.0001312338022229,7.343842029571533,4.658084869384766
prospects,https://www.prospects.ac.uk/jobs-and-work-experience/working-abroad/work-in-iceland ,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0001532569568005,0.000153256963032,0.0001532569870639,0.0001532569575136,0.0001532569991799,0.0001532570160387,0.0001532569889957,0.0001532569765593,0.0001532569889353,0.0001532569735044,0.0001532569836158,0.0001532569751164,0.9763652639961632,0.0216423952542822,0.0001532569831985,6.137626647949219,5.300155162811279
aljazeera,https://www.aljazeera.com/news/2021/3/20/icelandic-volcano-erupts-lighting-up-night-sky-near-reykjavik ,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0003267978824144,0.0003267978550819,0.000326797936265,0.0003267978637678,0.0003267980465623,0.0003267981878161,0.8409793873115513,0.000326797961617,0.0003267979118093,0.0003267979046031,0.0003267978749172,0.0003267978894172,0.1547722395035227,0.0003267979944555,0.0003267978761986,3.7732484340667725,4.473644733428955
sjavarklasinn,http://www.sjavarklasinn.is/en/ ,False,False,False,False,True,False,False,False,False,False,True,False,False,0.002020204863331,0.0020202048118862,0.0020202060140048,0.0020202054048955,0.002020206599844,0.0020202051438141,0.0020202051839853,0.0020202118848634,0.0020202054903687,0.0020202050425248,0.0020202048441305,0.0020202055602045,0.9717171187645172,0.0020202053478859,0.0020202050437436,4.416153430938721,6.557357311248779
nationalgeographic,https://www.nationalgeographic.com/science/article/iceland-greenland-name-swap ,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0003350088535675,0.0003350088990806,0.0003350088615952,0.0003350090082549,0.0003350089791689,0.0003350089679065,0.0003350089438944,0.0003350088489683,0.0003350089099636,0.0003350088771711,0.000335008869507,0.0003350088826825,0.9953098751042306,0.0003350090804838,0.0003350089135244,4.517932415008545,5.268571853637695
arctic-council,https://arctic-council.org/en/ ,False,False,False,False,True,False,False,False,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.719466686248779,3.0973715782165527
cia,https://www.cia.gov/the-world-factbook/countries/iceland/ ,True,False,False,False,False,False,False,False,False,False,True,False,False,4.435579429540429e-05,4.435578930421634e-05,4.435579477679548e-05,4.435581141482846e-05,0.6746295822760975,4.43558020873333e-05,4.435580189512632e-05,4.43558049142588e-05,4.435579926843152e-05,4.4355790950887954e-05,4.435579448606636e-05,4.4355790637305285e-05,0.3247937923574818,4.435579999666428e-05,4.435579239341127e-05,4.322267532348633,2.991405725479126
thegreenprogram,https://thegreenprogram.com/programs/iceland https://thegreenprogram.com/programs/iceland https://thegreenprogram.com/programs/iceland ,False,False,True,True,True,False,False,False,False,False,True,False,False,2.6195175800249303e-05,2.6195175258200705e-05,2.6195175624723547e-05,2.619517701133712e-05,2.619517547801488e-05,2.619517629915124e-05,2.619517677376515e-05,2.6195177166673255e-05,2.619517511216689e-05,2.619517553139425e-05,2.6195176572070668e-05,2.619517729749714e-05,2.619519820585822e-05,0.9996332675108496,2.6195177019058885e-05,4.216773509979248,5.364213466644287
europa,https://www.fch.europa.eu/news/iceland-road-sustainable-transport ,False,False,True,False,False,False,False,False,False,False,True,False,False,0.0004166672725369,0.0004166672728138,0.0004166673876363,0.0004166681059199,0.0004166673714578,0.0004166672887639,0.0004166673230946,0.0004166673040333,0.0004166672614526,0.0004166672302525,0.0004166672876377,0.0004166673082973,0.9941666566492094,0.0004166676323284,0.0004166673045647,3.724804401397705,5.163183212280273
