doc,topic,weight
canada,TOPIC_0,2.6277802117821415e-05
canada,TOPIC_1,2.627779983391819e-05
canada,TOPIC_2,2.6277804137696165e-05
canada,TOPIC_3,2.627781502493273e-05
canada,TOPIC_4,2.6277824301912575e-05
canada,TOPIC_5,0.5708813446699685
canada,TOPIC_6,2.6277789284678572e-05
canada,TOPIC_7,2.6277833246975493e-05
canada,TOPIC_8,2.627782913522857e-05
canada,TOPIC_9,2.6277819013801626e-05
canada,TOPIC_10,0.2295684882820132
canada,TOPIC_11,0.19923483331641834
canada,TOPIC_12,2.6277800198010077e-05
canada,TOPIC_13,2.627780935921154e-05
canada,TOPIC_14,2.627780594573283e-05
rcinet,TOPIC_0,3.179150354886423e-05
rcinet,TOPIC_1,3.179150005004857e-05
rcinet,TOPIC_2,3.1791503430991516e-05
rcinet,TOPIC_3,3.179152305614746e-05
rcinet,TOPIC_4,3.17915085650659e-05
rcinet,TOPIC_5,0.9995549188052693
rcinet,TOPIC_6,3.179148716505617e-05
rcinet,TOPIC_7,3.179152214209804e-05
rcinet,TOPIC_8,3.1791542051064334e-05
rcinet,TOPIC_9,3.1791531930559415e-05
rcinet,TOPIC_10,3.179153249309592e-05
rcinet,TOPIC_11,3.17915213379079e-05
rcinet,TOPIC_12,3.179150331744483e-05
rcinet,TOPIC_13,3.179150733991491e-05
rcinet,TOPIC_14,3.179150830262333e-05
gov,TOPIC_0,1.6083656873506335e-05
gov,TOPIC_1,1.608365517551288e-05
gov,TOPIC_2,1.6083657667813964e-05
gov,TOPIC_3,1.60836635749458e-05
gov,TOPIC_4,1.608366675616845e-05
gov,TOPIC_5,1.6083688669693634e-05
gov,TOPIC_6,1.608365109850035e-05
gov,TOPIC_7,1.6083663312129732e-05
gov,TOPIC_8,1.6083667232911204e-05
gov,TOPIC_9,1.608366524069928e-05
gov,TOPIC_10,0.9997748287120668
gov,TOPIC_11,1.6083671211649736e-05
gov,TOPIC_12,1.608365650484341e-05
gov,TOPIC_13,1.6083663072593484e-05
gov,TOPIC_14,1.6083661542091654e-05
worldatlas,TOPIC_0,0.000387597534480668
worldatlas,TOPIC_1,0.0003875975000725271
worldatlas,TOPIC_2,0.00038759752371183437
worldatlas,TOPIC_3,0.0003875985223853386
worldatlas,TOPIC_4,0.0003875976107054737
worldatlas,TOPIC_5,0.9945736324960907
worldatlas,TOPIC_6,0.0003875973942186809
worldatlas,TOPIC_7,0.00038759756446268416
worldatlas,TOPIC_8,0.0003875977549033339
worldatlas,TOPIC_9,0.00038759818811220974
worldatlas,TOPIC_10,0.00038759771214702695
worldatlas,TOPIC_11,0.0003875975815705282
worldatlas,TOPIC_12,0.0003875974965163785
worldatlas,TOPIC_13,0.00038759755139302027
worldatlas,TOPIC_14,0.00038759756922965625
ejatlas,TOPIC_0,0.00025348582946123924
ejatlas,TOPIC_1,0.00025348582833225404
ejatlas,TOPIC_2,0.00025348593346338104
ejatlas,TOPIC_3,0.3338597842003451
ejatlas,TOPIC_4,0.0002534859313818529
ejatlas,TOPIC_5,0.4586038805068182
ejatlas,TOPIC_6,0.0002534857243770038
ejatlas,TOPIC_7,0.0002534861398109751
ejatlas,TOPIC_8,0.0002534860252563311
ejatlas,TOPIC_9,0.20449450414618187
ejatlas,TOPIC_10,0.00025348597675252724
ejatlas,TOPIC_11,0.00025348601361322126
ejatlas,TOPIC_12,0.00025348581594058416
ejatlas,TOPIC_13,0.0002534859065686929
ejatlas,TOPIC_14,0.0002534860216967231
stantec,TOPIC_0,0.00019102233825721234
stantec,TOPIC_1,0.00019102223877251115
stantec,TOPIC_2,0.0001910222726814142
stantec,TOPIC_3,0.00019102229033998494
stantec,TOPIC_4,0.00019102223945373326
stantec,TOPIC_5,0.8328251152275353
stantec,TOPIC_6,0.00019102218635966904
stantec,TOPIC_7,0.00019102230441987305
stantec,TOPIC_8,0.00019102246262195434
stantec,TOPIC_9,0.00019102235528818302
stantec,TOPIC_10,0.16469159461119984
stantec,TOPIC_11,0.00019102249526505895
stantec,TOPIC_12,0.00019102228043979148
stantec,TOPIC_13,0.00019102240661932214
stantec,TOPIC_14,0.0001910222907461753
investingnews,TOPIC_0,6.28338813040289e-05
investingnews,TOPIC_1,6.283387544865483e-05
investingnews,TOPIC_2,6.28338818317385e-05
investingnews,TOPIC_3,0.9991203253066426
investingnews,TOPIC_4,6.283389205956249e-05
investingnews,TOPIC_5,6.28339381499194e-05
investingnews,TOPIC_6,6.283385489061503e-05
investingnews,TOPIC_7,6.283389708209615e-05
investingnews,TOPIC_8,6.283393720392318e-05
investingnews,TOPIC_9,6.283400899368313e-05
investingnews,TOPIC_10,6.283394760278796e-05
investingnews,TOPIC_11,6.283392019847525e-05
investingnews,TOPIC_12,6.283387831773981e-05
investingnews,TOPIC_13,6.283388806269837e-05
investingnews,TOPIC_14,6.283389221133288e-05
mongabay,TOPIC_0,6.980813212466018e-05
mongabay,TOPIC_1,6.980812549592284e-05
mongabay,TOPIC_2,6.980814113457227e-05
mongabay,TOPIC_3,6.980816111036213e-05
