Id,urls,discourse: Climate change,discourse: Environment,discourse: Green growth,discourse: Sustainability,discourse: UN SDGs,area: Arctic,area: Arctic Norway,area: Extended Arctic,area: Faroed Islands,area: Greenland,area: Iceland,area: Nunavut,area: Sami,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
cer-rec,https://www.cer-rec.gc.ca/en/data-analysis/energy-commodities/electricity/report/canadas-renewable-power/canadas-renewable-power/provinces/renewable-power-canada-nunavut.html https://www.cer-rec.gc.ca/en/data-analysis/energy-markets/provincial-territorial-energy-profiles/provincial-territorial-energy-profiles-nunavut.html ,True,True,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canada,https://www.canada.ca/en/canadian-heritage/services/provincial-territorial-symbols-canada/nunavut.html https://www.canada.ca/en/environment-climate-change/services/sustainable-development/strategic-environmental-assessment/public-statements/refurbishment-eureka-nunavut.html https://www.canada.ca/en/natural-resources-canada/news/2019/08/canada-supports-sustainable-development-of-inuit-owned-land-in-iqaluit.html https://www.canada.ca/en/environment-climate-change/corporate/transparency/briefing/nunavut-environment-profile.html https://www.canada.ca/en/environment-climate-change/services/bird-surveys/landbird/ebird-northwest-territories-nunavut.html https://www.canada.ca/en/office-infrastructure/news/2019/08/nunavut-residents-to-benefit-from-high-speed-internet.html https://www.canada.ca/en/indigenous-services-canada/news/2019/08/recovery-centre-coming-to-nunavut.html https://www.canada.ca/en/environment-climate-change/corporate/transparency/briefing/nunavut-environment-profile.html ,True,True,True,True,True,False,False,False,False,False,False,True,False,2.6277802117821415e-05,2.627779983391819e-05,2.6277804137696165e-05,2.627781502493273e-05,2.6277824301912575e-05,0.5708813446699685,2.6277789284678572e-05,2.6277833246975493e-05,2.627782913522857e-05,2.6277819013801626e-05,0.2295684882820132,0.19923483331641834,2.6277800198010077e-05,2.627780935921154e-05,2.627780594573283e-05
rcinet,https://www.rcinet.ca/eye-on-the-arctic/2021/01/30/participants-at-nunavut-mine-hearing-question-whether-process-is-serving-inuit/ https://www.rcinet.ca/eye-on-the-arctic/2020/10/22/inuit-in-nunavut-canada-suffer-significant-infrastructure-inequality-report-finds/ https://www.rcinet.ca/eye-on-the-arctic/2020/06/04/inuit-orgs-mark-anniversary-of-landmark-canadian-report-on-violence-against-indigenous-women/ https://www.rcinet.ca/en/2016/08/26/greenpeace-report-calls-on-nunavut-to-shun-resource-development-in-favour-of-sustainable-projects/ https://www.rcinet.ca/eye-on-the-arctic/2020/10/22/inuit-in-nunavut-canada-suffer-significant-infrastructure-inequality-report-finds/ https://www.rcinet.ca/eye-on-the-arctic/2021/03/03/over-200-nunavut-polar-bear-hides-coming-back-home-from-ontario/ https://www.rcinet.ca/eye-on-the-arctic/2021/01/30/participants-at-nunavut-mine-hearing-question-whether-process-is-serving-inuit/ ,True,True,False,True,True,False,False,False,False,False,False,True,False,3.179150354886423e-05,3.179150005004857e-05,3.1791503430991516e-05,3.179152305614746e-05,3.17915085650659e-05,0.9995549188052693,3.179148716505617e-05,3.179152214209804e-05,3.1791542051064334e-05,3.1791531930559415e-05,3.179153249309592e-05,3.17915213379079e-05,3.179150331744483e-05,3.179150733991491e-05,3.179150830262333e-05
gov,https://www.gov.nu.ca/ https://gov.nu.ca/environment/documents/wolverine-0 http://www.energy.gov.nu.ca/en/iqpilotproject.aspx http://www.energy.gov.nu.ca/en/home.aspx https://www.enr.gov.nt.ca/en/services/barren-ground-caribou/ahiak-beverly-and-qamanirjuaq-herds https://www.enr.gov.nt.ca/en/services/barren-ground-caribou http://www.energy.gov.nu.ca/en/initiatives.aspx https://www.gov.nu.ca/economic-development-and-transportation/news/covid-19-department-economic-development-and https://www.gov.nu.ca/economic-development-and-transportation/news/covid-19-department-economic-development-and ,True,True,True,True,False,False,False,False,False,False,False,True,False,1.6083656873506335e-05,1.608365517551288e-05,1.6083657667813964e-05,1.60836635749458e-05,1.608366675616845e-05,1.6083688669693634e-05,1.608365109850035e-05,1.6083663312129732e-05,1.6083667232911204e-05,1.608366524069928e-05,0.9997748287120668,1.6083671211649736e-05,1.608365650484341e-05,1.6083663072593484e-05,1.6083661542091654e-05
worldatlas,https://www.worldatlas.com/articles/what-is-the-climate-and-landscape-of-nunavut-like.html ,False,True,False,False,False,False,False,False,False,False,False,True,False,0.000387597534480668,0.0003875975000725271,0.00038759752371183437,0.0003875985223853386,0.0003875976107054737,0.9945736324960907,0.0003875973942186809,0.00038759756446268416,0.0003875977549033339,0.00038759818811220974,0.00038759771214702695,0.0003875975815705282,0.0003875974965163785,0.00038759755139302027,0.00038759756922965625
ejatlas,https://www.ejatlas.org/conflict/iron-ore-nunavut-canada ,False,True,False,False,False,False,False,False,False,False,False,True,False,0.00025348582946123924,0.00025348582833225404,0.00025348593346338104,0.3338597842003451,0.0002534859313818529,0.4586038805068182,0.0002534857243770038,0.0002534861398109751,0.0002534860252563311,0.20449450414618187,0.00025348597675252724,0.00025348601361322126,0.00025348581594058416,0.0002534859065686929,0.0002534860216967231
stantec,https://www.stantec.com/en/offices/canada-locations/nunavut/iqaluit-nunavut-office https://www.stantec.com/en/offices/canada-locations/nunavut https://www.stantec.com/en/offices/canada-locations/nunavut/iqaluit-nunavut-office https://www.stantec.com/en/offices/canada-locations/nunavut https://www.stantec.com/en/offices/canada-locations/nunavut https://www.stantec.com/en/offices/canada-locations/nunavut/iqaluit-nunavut-office https://www.stantec.com/en/offices/canada-locations/nunavut/iqaluit-nunavut-office ,True,True,True,True,False,False,False,False,False,False,False,True,False,0.00019102233825721234,0.00019102223877251115,0.0001910222726814142,0.00019102229033998494,0.00019102223945373326,0.8328251152275353,0.00019102218635966904,0.00019102230441987305,0.00019102246262195434,0.00019102235528818302,0.16469159461119984,0.00019102249526505895,0.00019102228043979148,0.00019102240661932214,0.0001910222907461753
investingnews,https://investingnews.com/daily/resource-investing/precious-metals-investing/gold-investing/gold-mining-in-nunavut-canada/ https://investingnews.com/daily/resource-investing/precious-metals-investing/gold-investing/gold-mining-in-nunavut-canada/ ,False,True,True,False,False,False,False,False,False,False,False,True,False,6.28338813040289e-05,6.283387544865483e-05,6.28338818317385e-05,0.9991203253066426,6.283389205956249e-05,6.28339381499194e-05,6.283385489061503e-05,6.283389708209615e-05,6.283393720392318e-05,6.283400899368313e-05,6.283394760278796e-05,6.283392019847525e-05,6.283387831773981e-05,6.283388806269837e-05,6.283389221133288e-05
mongabay,https://news.mongabay.com/2020/10/with-the-help-of-an-app-nunavut-hunters-document-the-changing-arctic/ https://news.mongabay.com/2020/10/with-the-help-of-an-app-nunavut-hunters-document-the-changing-arctic/ ,True,True,False,False,False,False,False,False,False,False,False,True,False,6.980813212466018e-05,6.980812549592284e-05,6.980814113457227e-05,6.980816111036213e-05,0.09661640037258118,0.9024760936866183,6.98081031827653e-05,6.980818961351596e-05,6.980816904913819e-05,6.980815611417768e-05,6.980818419120827e-05,6.9808157871783e-05,6.980813989943879e-05,6.98081435644459e-05,6.980813744852338e-05
learnalberta,https://www.learnalberta.ca/content/ssognc/inuitLifestyle/index.html https://www.learnalberta.ca/content/ssognc/inuitLifestyle/index.html https://www.learnalberta.ca/content/ssognc/inuitLifestyle/ https://www.learnalberta.ca/content/ssognc/aCommunityProfile/index.html ,True,True,True,False,False,False,False,False,False,False,False,True,False,1.4917605286858808e-05,1.4917603444191107e-05,1.4917603812547626e-05,1.491761560109622e-05,1.4917612237134474e-05,0.9997911534957477,1.4917598160858992e-05,1.4917610402523509e-05,1.4917605836271749e-05,1.4917614584587935e-05,1.49176140640047e-05,1.4917607593971538e-05,1.4917602897927789e-05,1.4917605002302813e-05,1.491760532798332e-05
