Id,urls,discourse: Climate change,discourse: Environment,discourse: Green growth,discourse: Sustainability,discourse: UN SDGs,area: Arctic,area: Arctic Norway,area: Extended Arctic,area: Faroed Islands,area: Greenland,area: Iceland,area: Nunavut,area: Sami,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,X-UMAP,Y-UMAP
cer-rec,https://www.cer-rec.gc.ca/en/data-analysis/energy-commodities/electricity/report/canadas-renewable-power/canadas-renewable-power/provinces/renewable-power-canada-nunavut.html https://www.cer-rec.gc.ca/en/data-analysis/energy-markets/provincial-territorial-energy-profiles/provincial-territorial-energy-profiles-nunavut.html ,True,True,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.34494972229004,6.575662612915039
canada,https://www.canada.ca/en/canadian-heritage/services/provincial-territorial-symbols-canada/nunavut.html https://www.canada.ca/en/environment-climate-change/services/sustainable-development/strategic-environmental-assessment/public-statements/refurbishment-eureka-nunavut.html https://www.canada.ca/en/natural-resources-canada/news/2019/08/canada-supports-sustainable-development-of-inuit-owned-land-in-iqaluit.html https://www.canada.ca/en/environment-climate-change/corporate/transparency/briefing/nunavut-environment-profile.html https://www.canada.ca/en/environment-climate-change/services/bird-surveys/landbird/ebird-northwest-territories-nunavut.html https://www.canada.ca/en/office-infrastructure/news/2019/08/nunavut-residents-to-benefit-from-high-speed-internet.html https://www.canada.ca/en/indigenous-services-canada/news/2019/08/recovery-centre-coming-to-nunavut.html https://www.canada.ca/en/environment-climate-change/corporate/transparency/briefing/nunavut-environment-profile.html ,True,True,True,True,True,False,False,False,False,False,False,True,False,2.6277802117821412e-05,2.627779983391819e-05,2.6277804137696165e-05,2.627781502493273e-05,2.627782430191257e-05,0.5708813446699685,2.627778928467857e-05,2.6277833246975493e-05,2.627782913522857e-05,2.6277819013801626e-05,0.2295684882820132,0.1992348333164183,2.627780019801008e-05,2.627780935921154e-05,2.627780594573283e-05,13.738129615783691,0.8560419082641602
rcinet,https://www.rcinet.ca/eye-on-the-arctic/2021/01/30/participants-at-nunavut-mine-hearing-question-whether-process-is-serving-inuit/ https://www.rcinet.ca/eye-on-the-arctic/2020/10/22/inuit-in-nunavut-canada-suffer-significant-infrastructure-inequality-report-finds/ https://www.rcinet.ca/eye-on-the-arctic/2020/06/04/inuit-orgs-mark-anniversary-of-landmark-canadian-report-on-violence-against-indigenous-women/ https://www.rcinet.ca/en/2016/08/26/greenpeace-report-calls-on-nunavut-to-shun-resource-development-in-favour-of-sustainable-projects/ https://www.rcinet.ca/eye-on-the-arctic/2020/10/22/inuit-in-nunavut-canada-suffer-significant-infrastructure-inequality-report-finds/ https://www.rcinet.ca/eye-on-the-arctic/2021/03/03/over-200-nunavut-polar-bear-hides-coming-back-home-from-ontario/ https://www.rcinet.ca/eye-on-the-arctic/2021/01/30/participants-at-nunavut-mine-hearing-question-whether-process-is-serving-inuit/ ,True,True,False,True,True,False,False,False,False,False,False,True,False,3.179150354886423e-05,3.179150005004857e-05,3.179150343099152e-05,3.179152305614746e-05,3.17915085650659e-05,0.9995549188052693,3.179148716505617e-05,3.179152214209804e-05,3.1791542051064334e-05,3.1791531930559415e-05,3.179153249309592e-05,3.17915213379079e-05,3.179150331744483e-05,3.179150733991491e-05,3.179150830262333e-05,17.480680465698242,-1.4995356798171997
gov,https://www.gov.nu.ca/ https://gov.nu.ca/environment/documents/wolverine-0 http://www.energy.gov.nu.ca/en/iqpilotproject.aspx http://www.energy.gov.nu.ca/en/home.aspx https://www.enr.gov.nt.ca/en/services/barren-ground-caribou/ahiak-beverly-and-qamanirjuaq-herds https://www.enr.gov.nt.ca/en/services/barren-ground-caribou http://www.energy.gov.nu.ca/en/initiatives.aspx https://www.gov.nu.ca/economic-development-and-transportation/news/covid-19-department-economic-development-and https://www.gov.nu.ca/economic-development-and-transportation/news/covid-19-department-economic-development-and ,True,True,True,True,False,False,False,False,False,False,False,True,False,1.6083656873506335e-05,1.608365517551288e-05,1.6083657667813964e-05,1.60836635749458e-05,1.608366675616845e-05,1.6083688669693634e-05,1.608365109850035e-05,1.6083663312129732e-05,1.6083667232911204e-05,1.608366524069928e-05,0.9997748287120668,1.6083671211649736e-05,1.608365650484341e-05,1.6083663072593484e-05,1.6083661542091654e-05,12.255810737609863,4.19105339050293
worldatlas,https://www.worldatlas.com/articles/what-is-the-climate-and-landscape-of-nunavut-like.html ,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0003875975344806,0.0003875975000725,0.0003875975237118,0.0003875985223853,0.0003875976107054,0.9945736324960908,0.0003875973942186,0.0003875975644626,0.0003875977549033,0.0003875981881122,0.000387597712147,0.0003875975815705,0.0003875974965163,0.000387597551393,0.0003875975692296,12.420827865600586,-1.0425933599472046
ejatlas,https://www.ejatlas.org/conflict/iron-ore-nunavut-canada ,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0002534858294612,0.0002534858283322,0.0002534859334633,0.3338597842003451,0.0002534859313818,0.4586038805068182,0.000253485724377,0.0002534861398109,0.0002534860252563,0.2044945041461818,0.0002534859767525,0.0002534860136132,0.0002534858159405,0.0002534859065686,0.0002534860216967,16.435707092285156,0.35083043575286865
stantec,https://www.stantec.com/en/offices/canada-locations/nunavut/iqaluit-nunavut-office https://www.stantec.com/en/offices/canada-locations/nunavut https://www.stantec.com/en/offices/canada-locations/nunavut/iqaluit-nunavut-office https://www.stantec.com/en/offices/canada-locations/nunavut https://www.stantec.com/en/offices/canada-locations/nunavut https://www.stantec.com/en/offices/canada-locations/nunavut/iqaluit-nunavut-office https://www.stantec.com/en/offices/canada-locations/nunavut/iqaluit-nunavut-office ,True,True,True,True,False,False,False,False,False,False,False,True,False,0.0001910223382572,0.0001910222387725,0.0001910222726814,0.0001910222903399,0.0001910222394537,0.8328251152275353,0.0001910221863596,0.0001910223044198,0.0001910224626219,0.0001910223552881,0.1646915946111998,0.000191022495265,0.0001910222804397,0.0001910224066193,0.0001910222907461,13.643260955810547,0.2105657309293747
investingnews,https://investingnews.com/daily/resource-investing/precious-metals-investing/gold-investing/gold-mining-in-nunavut-canada/ https://investingnews.com/daily/resource-investing/precious-metals-investing/gold-investing/gold-mining-in-nunavut-canada/ ,False,True,True,False,False,False,False,False,False,False,False,True,False,6.28338813040289e-05,6.283387544865483e-05,6.28338818317385e-05,0.9991203253066426,6.283389205956249e-05,6.28339381499194e-05,6.283385489061503e-05,6.283389708209615e-05,6.283393720392318e-05,6.283400899368313e-05,6.283394760278796e-05,6.283392019847525e-05,6.283387831773981e-05,6.283388806269837e-05,6.283389221133288e-05,16.57059669494629,0.7671600580215454
mongabay,https://news.mongabay.com/2020/10/with-the-help-of-an-app-nunavut-hunters-document-the-changing-arctic/ https://news.mongabay.com/2020/10/with-the-help-of-an-app-nunavut-hunters-document-the-changing-arctic/ ,True,True,False,False,False,False,False,False,False,False,False,True,False,6.980813212466018e-05,6.980812549592284e-05,6.980814113457227e-05,6.980816111036213e-05,0.0966164003725811,0.9024760936866184,6.98081031827653e-05,6.980818961351596e-05,6.980816904913819e-05,6.980815611417768e-05,6.980818419120827e-05,6.9808157871783e-05,6.980813989943879e-05,6.98081435644459e-05,6.980813744852338e-05,13.737424850463867,-0.9723554849624634
learnalberta,https://www.learnalberta.ca/content/ssognc/inuitLifestyle/index.html https://www.learnalberta.ca/content/ssognc/inuitLifestyle/index.html https://www.learnalberta.ca/content/ssognc/inuitLifestyle/ https://www.learnalberta.ca/content/ssognc/aCommunityProfile/index.html ,True,True,True,False,False,False,False,False,False,False,False,True,False,1.4917605286858808e-05,1.4917603444191109e-05,1.4917603812547626e-05,1.491761560109622e-05,1.4917612237134474e-05,0.9997911534957477,1.4917598160858992e-05,1.4917610402523507e-05,1.4917605836271747e-05,1.4917614584587936e-05,1.49176140640047e-05,1.4917607593971538e-05,1.4917602897927787e-05,1.4917605002302811e-05,1.491760532798332e-05,17.978700637817383,-1.4469366073608398
