topic,word,weight
TOPIC_0,arctic,70.54154168647295
TOPIC_0,ban,40.29272272709631
TOPIC_0,oil,37.535569488751825
TOPIC_0,fuel,33.559103416607726
TOPIC_0,hfo,32.05825690511988
TOPIC_0,heavy,28.012473670068275
TOPIC_0,waters,22.232285525874147
TOPIC_0,shipping,21.81470140923117
TOPIC_0,imo,20.671667554151334
TOPIC_0,svalbard,17.29684592454035
TOPIC_0,ships,16.684524377282145
TOPIC_0,states,14.488526779763799
TOPIC_0,air,14.463215795681108
TOPIC_0,spill,14.4146144269477
TOPIC_0,environment,13.552164803348486
TOPIC_0,use,13.217958256515747
TOPIC_0,said,12.69185264525832
TOPIC_0,new,12.089248270653822
TOPIC_0,norway,11.79287189383227
TOPIC_0,environmental,10.506460449016664
TOPIC_0,clean,10.110575129683596
TOPIC_0,plastic,10.092957693976718
TOPIC_0,international,10.060447408841688
TOPIC_0,vessels,10.008084941035023
TOPIC_0,decision,8.64995061221749
TOPIC_1,seed,3.025854257148007
TOPIC_1,svalbard,2.847099376793184
TOPIC_1,global,2.1925584138389116
TOPIC_1,vault,2.10236263266493
TOPIC_1,food,1.8727354182161542
TOPIC_1,world,1.7007428072516975
TOPIC_1,norway,1.5761729461531546
TOPIC_1,crop,1.5319878125093576
TOPIC_1,norwegian,1.4893629002439095
TOPIC_1,energy,1.4511199891952598
TOPIC_1,trust,1.3896286832884264
TOPIC_1,sea,1.330950328776445
TOPIC_1,international,1.3155752859025038
TOPIC_1,seeds,1.3018118576241058
TOPIC_1,new,1.2925109148640237
TOPIC_1,hydrogen,1.2498436100842363
TOPIC_1,genetic,1.2352188236597832
TOPIC_1,development,1.232441334030996
TOPIC_1,group,1.2177383489388527
TOPIC_1,climate,1.2089775482889766
TOPIC_1,diversity,1.2088056377732068
TOPIC_1,arctic,1.1503173958033075
TOPIC_1,longyearbyen,1.1405716380543018
TOPIC_1,agriculture,1.1265224915120178
TOPIC_1,said,1.126110890030264
TOPIC_2,arctic,3.0004435071399107
TOPIC_2,svalbard,2.602043347495442
TOPIC_2,global,1.5151195790663572
TOPIC_2,climate,1.511867302688405
TOPIC_2,longyearbyen,1.468159280040223
TOPIC_2,ships,1.44991966413223
TOPIC_2,sustainable,1.4410827885241708
TOPIC_2,impact,1.3855399595098465
TOPIC_2,expeditions,1.3024659134991792
TOPIC_2,polar,1.290267120222389
TOPIC_2,fuel,1.278825979600707
TOPIC_2,ice,1.2700751023033028
TOPIC_2,heavy,1.2199796490210186
TOPIC_2,norway,1.2126730259147482
TOPIC_2,oil,1.2105964968420517
TOPIC_2,cruise,1.1753475995342184
TOPIC_2,waters,1.1671883529414424
TOPIC_2,ban,1.1321186669861374
TOPIC_2,use,1.1279847066401327
TOPIC_2,2019,1.1195559765403522
TOPIC_2,environmental,1.1185204864955223
TOPIC_2,future,1.114155686334575
TOPIC_2,government,1.1086346206543904
TOPIC_2,year,1.0921587021078312
TOPIC_2,north,1.036581749552394
TOPIC_3,eu,43.806764287395225
TOPIC_3,arctic,41.951441091400135
TOPIC_3,sustainable,39.131454285870326
TOPIC_3,development,37.83236418879357
TOPIC_3,indigenous,31.40409268398481
TOPIC_3,climate,30.623717269139256
TOPIC_3,sustainability,29.60587920401473
TOPIC_3,environmental,27.968943410987073
TOPIC_3,research,23.965172933725256
TOPIC_3,policy,23.470230055112545
TOPIC_3,global,22.72657750079735
TOPIC_3,work,21.81593577480087
TOPIC_3,social,20.102203326122325
TOPIC_3,environment,19.921373642654974
TOPIC_3,change,19.517590009041427
TOPIC_3,economic,18.586932199609258
TOPIC_3,european,18.483329695658448
TOPIC_3,peoples,18.37591677444434
TOPIC_3,emissions,18.210517486454634
TOPIC_3,impact,17.980048310120452
TOPIC_3,innovation,16.8276889385922
TOPIC_3,health,16.11990735479588
TOPIC_3,action,15.282857064769127
TOPIC_3,support,15.0984795612508
TOPIC_3,international,14.922806472703883
TOPIC_4,polar,43.16473079112224
TOPIC_4,svalbard,39.822650111248684
TOPIC_4,ice,36.495100125181644
TOPIC_4,arctic,30.156662591234152
TOPIC_4,tourism,28.47650520622222
TOPIC_4,climate,24.30810696327334
TOPIC_4,data,24.2639163652234
TOPIC_4,2019,23.668244819349088
TOPIC_4,sea,22.16064045586362
TOPIC_4,norwegian,21.793047396387617
TOPIC_4,vessels,20.978569841776274
TOPIC_4,10,19.889814340600235
TOPIC_4,change,18.917063557781905
TOPIC_4,number,17.498435893310962
TOPIC_4,bears,17.460474526733776
TOPIC_4,environmental,15.96940820395695
TOPIC_4,et,15.649235454806593
TOPIC_4,study,15.595328247172574
TOPIC_4,doi,15.30262072747795
TOPIC_4,al,15.059486909180109
TOPIC_4,institute,14.93493463859897
TOPIC_4,2020,13.354425815545024
TOPIC_4,high,13.021347927015148
TOPIC_4,2018,12.588937906964848
TOPIC_4,pollutants,12.260753989669322
TOPIC_5,svalbard,255.25840118248732
TOPIC_5,longyearbyen,132.60479731582404
TOPIC_5,arctic,93.62240977056886
TOPIC_5,world,86.39280174686692
TOPIC_5,polar,66.43475498756146
TOPIC_5,like,61.647947891221705
TOPIC_5,time,61.51353794143719
TOPIC_5,norway,60.772174749832494
TOPIC_5,people,56.65320948978683
TOPIC_5,town,53.06866270338567
TOPIC_5,tourism,52.63785050150498
TOPIC_5,sustainable,51.39544739183623
TOPIC_5,coal,47.79758390727831
TOPIC_5,local,46.02790738584547
TOPIC_5,just,45.04677279185322
TOPIC_5,day,44.822717075995556
TOPIC_5,north,41.43756595399996
TOPIC_5,industry,40.90761722381512
TOPIC_5,way,38.05367933512659
TOPIC_5,ice,37.3936481375573
TOPIC_5,make,36.8165530932672
TOPIC_5,visit,35.649679570921336
TOPIC_5,bears,34.91927202234113
TOPIC_5,read,34.88755132448809
TOPIC_5,new,34.87265330284694
TOPIC_6,seed,104.5581150403427
TOPIC_6,vault,97.7813870730236
TOPIC_6,seeds,81.90137941506133
TOPIC_6,svalbard,75.75747768964422
TOPIC_6,global,51.87383875318406
TOPIC_6,food,40.562912880046646
TOPIC_6,crop,37.864238342727916
TOPIC_6,world,33.11600499955401
TOPIC_6,climate,27.248080051893098
TOPIC_6,bank,25.358321865032156
TOPIC_6,banks,24.32407463967886
TOPIC_6,norwegian,24.102755220137144
TOPIC_6,gene,22.701430995670613
TOPIC_6,samples,20.407450364100242
TOPIC_6,diversity,19.847069972225462
TOPIC_6,international,18.99189409494001
TOPIC_6,deposit,18.817089887430978
TOPIC_6,norway,18.22701620009721
TOPIC_6,trust,17.113432357593435
TOPIC_6,new,17.102322419896627
TOPIC_6,plant,16.481174262719424
TOPIC_6,archipelago,16.420576750758276
TOPIC_6,genetic,15.761770393941358
TOPIC_6,million,15.730783423484347
TOPIC_6,crops,15.350618609076436
TOPIC_7,svalbard,20.100192405948093
TOPIC_7,additional,13.952554730886346
TOPIC_7,charge,13.505574264527418
TOPIC_7,site,10.14037514052656
TOPIC_7,property,8.913252525892155
TOPIC_7,business,8.018685181470964
TOPIC_7,government,7.454286132245891
TOPIC_7,norwegian,6.583013787041317
TOPIC_7,tourism,6.396416486573157
TOPIC_7,free,6.263973928095258
TOPIC_7,local,5.978321814671108
