result #,search engine,query,discourse,language,domain,Manual actor name,article title,article url,article description,total nr of results (best guess),"Type (Kommunal, virksomhed, statslig)",Kommentarer / Er det en relevant kvalitativ case? Hvorfor?
0.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,wikipedia,,"Miljø - Wikipedia, den frie encyklopædi",https://da.wikipedia.org/wiki/Milj%C3%B8,,1640000.0,,
1.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,mst,,"Miljøstyrelsen | miljø, affald, støj, luft og kemi ...",http://mst.dk/,"På Miljøstyrelsens hjemmeside får du viden om vores natur og miljø samt arbejdet med at udvikle nye grønne indsatser og miljøvenlig teknologi. Du finder de strategier, planer og miljøregler, som regulerer hvordan industrier, landbrug og skovbrug må - og ikke må - …",1640000.0,Statslig,
4.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,mfvm,,"Ministeriet for Fødevarer, Landbrug og Fiskeri ...",https://mfvm.dk/,"Den 19. november 2020 er det besluttet, at Miljø- og Fødevareministeriet opdeles i to: Miljøministeriet og Ministeriet for Fødevarer, Landbrug og Fiskeri. Ligestillingsområdet overtages af Beskæftigelsesministeriet, og området for nordisk samarbejde flyttes til Udviklingsministeriet.",1640000.0,Statslig,
5.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,alternativet,,"Klima, miljø og natur // Alternativet",https://alternativet.dk/politik/vores-politik/klima-miljo-natur,I en cirkulær økonomi tages der ansvar for at genanvende affaldet som nye råmaterialer samt at forlænge levetiden af produkter ved effektivt genbrug. I en sådan model bliver råmaterialerne brugt igen og igen i stedet for at blive nedgraderet til forurening gennem affaldsforbrænding. Det globale befolkningstal stiger år for år.,1640000.0,Statslig,Links er til PDF-tekster
7.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,veluxfoundations,,Miljø - et hav i balance | THE VELUX FOUNDATIONS,https://veluxfoundations.dk/da/det-stoetter-vi/miljoe,"Andet påvirker havets økosystem på andre måder, fx ved at fremme eutrofiering. Vi støtter projekter, der modvirker udledning af miljøfarlige eller miljøfremmede stoffer i havmiljøet. Det omfatter menneskeskabte aktiviteter, der forårsager skadevirkninger på levende ressourcer og marine økosystemer, herunder tab af biodiversitet.",1640000.0,Privat,
9.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,miljoeportal,,Danmarks Miljøportal Miljoeportalen.dk,https://miljoeportal.dk/,"Danmarks Miljøportal satser i vores strategi på cirkulær økonomi, klimatilpasning, nye teknologier og nye partnerskaber. Dermed kan vi endnu bedre understøtte samfundet i at gennemføre Danmarks grønne omstilling",1640000.0,Privat,
14.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,aalborg,,Miljø- og Energiforvaltningen - Aalborg Kommune,https://www.aalborg.dk/om-kommunen/organisation/miljoe-og-energiforvaltningen,"Bæredygtig udvikling, miljøbeskyttelse og affaldshåndtering er kerneopgaverne i Miljø- og Energiforvaltningen. Miljø- og Energiforvaltningen består af 2 afdelinger: Miljø og Plan. Administration og Service. Desuden indgår forvaltningen i samarbejde med Aalborg Forsyning, som består af en række 100 % kommunalt ejede selskaber.",1640000.0,Kommunal,handler mere om bæredygtighed end de andre miljø og teknik forvaltninger
16.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,sst,,Miljø - Sundhedsstyrelsen,https://www.sst.dk/da/Viden/Miljoe,"Sundhedsstyrelsen rådgiver andre myndigheder om helbredseffekter af miljøpåvirkninger, men fastsætter ikke selv regler på området. De myndigheder, der regulerer miljøfaktorer for at forebygge negative effekter på mennesker og miljø, fremgår af de enkelte afsnit.",1640000.0,Statslig,Sundhedsrisici ved klimaforandringer
26.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,bane,,GAB Miljø Anlæg | Banedanmark,https://www.bane.dk/da/Leverandoer/Krav/Generelle-arbejdsbeskrivelser/GAB-Miljoe-Anlaeg,Håndtering af affald Jordforurening Luftforurening Støj og vibrationer Anlægsmanual Politikker Tekniske data CAD Modeller Eksisterende ledninger Afvanding ... GAB Miljø Anlæg Publiceringsdato: 24.02.2017 Her finder du den generelle arbejdsbeskrivelse (GAB) for miljø anlæg. pdf Footer Banedanmark. Carsten ...,1640000.0,Statslig,"Interessante tekstbidder om bæredygtighed ift. togtransport. Et link referer til arktis, kan dog ikke vurdere hvor relevant det nødvendigvis er: https://www.bane.dk/-/media/Bane/Borger/Baneprojekter/Kommende-projekter/Elektrificering-og-opgradering-Aarhus-H-_-Lindholm/VVM_redegoerelse/Hastighedsopgradering-Aarhus_Hobro/1100014220_14611_Klimatilpasning_-Hast-Aarhus_Hobro.pdf"
32.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,mariagerfjord,,Natur og MiljøDagsorden og referater fra Teknik og Miljø ...,https://www.mariagerfjord.dk/Borger/Natur-og-Miljoe,,1640000.0,kommunal,
33.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,norskov,,Miljø,https://www.norskov.dk/miljo,"Nørskov miljø er rigtig gode til at lave en simpel miljøkortlægning, der kan bruges til f.eks. ansøgning om miljøgodkendelse, miljøcertificering, styring af kritiske leverandører eller til at få styr på opsamlingen af data vedr. miljøet. Samtidig får din virksomhed ofte styr på omkostningerne til energi, vand og bortskaffelse af ...",1640000.0,privat,
35.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,sundolitt,,Miljø - Sundolitt,https://www.sundolitt.com/da/miljo/,"Deponering af EPS affald vil være mindst ønskværdigt og være en ... risiko. EPS er stabilt, biologisk ufarligt og ikke toksisk. Se også sikkerhedsdatablade . Miljøvurdering Byg et bedre miljø med Sundolitt (EPS ... hvor der spares langt mere energi (læses forurening) end der forbruges til at fremstille og indbygge ...",1640000.0,privat,
39.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,automester,,Vi værner om miljøet | AutoMester,https://automester.dk/miljoe,"Miljø og bæredygtighed. Hos AutoMester sørger vores værksteder for, at det miljøfarlige affald altid bliver forsvarligt håndteret. Derfor arbejder vi sammen med de bedste miljøaffaldsfirmaer i branchen, så vi sikrer korrekt håndtering af f.eks. spildolie, batterier, defekte reservedele og dæk. Hos AutoMester værner vi om miljøet.",1640000.0,privat,
40.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,tvis,,TVIS | Miljø,https://tvis.net/miljoe/,"Miljø. Fjernvarmeforbrugerne er langt i den grønne omstilling. ... Dels ved at udvikle flere Vedvarende Energi-projekter i TVIS-systemet, men også ved at tilbyde fjernvarme til endnu flere. Udfasning af fossile brændsler. CO 2-udledningen fra fjernvarmen i Trekantområdet er faldet med 75% siden 1990.",1640000.0,privat,
41.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,avl,,Miljø - Aage Vestergaard Larsen A/S - AVL,https://avl.dk/miljo,"Miljø. Miljøet spares gennemsnitlig for 2,4 kilo CO2 udslip for hvert kilo plast, der genanvendes i stedet for at blive brændt. ... En anden og stor del af vores plastspild/affald eksporteres til lavtlønslande for såvel sortering og oparbejdning som forbrænding.",1640000.0,privat,
42.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,planmiljoe,,Rådgivning i bæredygtig omstilling | PlanMiljø | Danmark,https://www.planmiljoe.dk/,"Vi har forskellige ekspertiser og fagligheder samlet under samme tag. Det betyder, at vi kan favne bredt og supplere hinanden. Vi er antropologer, etnologer, miljøplanlæggere, LCA-eksperter, teknologer, kommunikatører, politologer, socio-økonomer og sociologer, og vi anvender vores forskellige metoder og tilgange i en bred variation af tværfaglige projekter.",1640000.0,privat,
49.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,cowi,,Miljø - COWI,https://www.cowi.dk/loesninger/miljoe,"Vi leverer specialistrådgivning og innovative løsninger, der skaber et bedre samfund og beskytter miljøet. Vores ydelser er tilpasset kundernes konkrete behov, enten som enkeltstående ydelser eller som ydelser integreret i komplekse projekter inden for byudvikling, infrastruktur, klimatilpasning, energi og sundhed.",1640000.0,privat,
50.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,aalborg,,"Miljø, energi og bæredygtighed i Aalborg Kommune",https://www.aalborg.dk/miljoe-energi-og-natur,"Miljø, energi og natur. Klima; Trafikkens miljøkonsekvenser; Jord; Affald og genbrug; Drikkevand og grundvand; Spildevand og kloakering; Vandløb; Vådområder og lavbundsprojekter; Vandplanprojekter; Varme; Fredning og naturbeskyttelse; Skadevoldende dyr og planter; Drift af grønne områder; Bæredygtighedsmanual; Hønsehold og fuglehold i haven; Hold af kælegrise",1640000.0,kommunal,
51.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,regionh,,Miljø - Region H,https://www.regionh.dk/miljoe/Sider/default.aspx,"Miljø Med FN""s verdensmål som pejlemærke arbejder vi målrettet for et klima og miljø i balance. Vi gør vores hospitaler grønnere og arbejder på tværs i hele regionen for at reducere klimaforandringer, tilpasse os et ændret klima, anvende ressourcerne bedre og sikre grundvandet.",1640000.0,kommunal,
