result #,search engine,query,discourse,language,domain,Manual actor name,article title,article url,article description,total nr of results (best guess),"Type (Kommunal, virksomhed, statslig)",Kommentarer / Er det en relevant kvalitativ case? Hvorfor?,index,resolved,status,error,filename,mimetype,encoding
0.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,wikipedia,,"Miljø - Wikipedia, den frie encyklopædi",https://da.wikipedia.org/wiki/Milj%C3%B8,,1640000.0,,,0,,200,,73731204-298c-4b55-9f4d-8e5a06bb6372.html,text/html,utf-8
4.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,mfvm,,"Ministeriet for Fødevarer, Landbrug og Fiskeri ...",https://mfvm.dk/,"Den 19. november 2020 er det besluttet, at Miljø- og Fødevareministeriet opdeles i to: Miljøministeriet og Ministeriet for Fødevarer, Landbrug og Fiskeri. Ligestillingsområdet overtages af Beskæftigelsesministeriet, og området for nordisk samarbejde flyttes til Udviklingsministeriet.",1640000.0,Statslig,,2,,200,,19a0a8d1-03d8-438b-8187-7ad07cf14ad8.html,text/html,utf-8
9.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,miljoeportal,,Danmarks Miljøportal Miljoeportalen.dk,https://miljoeportal.dk/,"Danmarks Miljøportal satser i vores strategi på cirkulær økonomi, klimatilpasning, nye teknologier og nye partnerskaber. Dermed kan vi endnu bedre understøtte samfundet i at gennemføre Danmarks grønne omstilling",1640000.0,Privat,,5,,200,,94b8406e-3c00-46f2-a4f8-dbd2ec682819.html,text/html,utf-8
14.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,aalborg,,Miljø- og Energiforvaltningen - Aalborg Kommune,https://www.aalborg.dk/om-kommunen/organisation/miljoe-og-energiforvaltningen,"Bæredygtig udvikling, miljøbeskyttelse og affaldshåndtering er kerneopgaverne i Miljø- og Energiforvaltningen. Miljø- og Energiforvaltningen består af 2 afdelinger: Miljø og Plan. Administration og Service. Desuden indgår forvaltningen i samarbejde med Aalborg Forsyning, som består af en række 100 % kommunalt ejede selskaber.",1640000.0,Kommunal,handler mere om bæredygtighed end de andre miljø og teknik forvaltninger,6,,200,,5f84d092-1994-4309-abbf-2e4eae8a8fc8.html,text/html,utf-8
41.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,avl,,Miljø - Aage Vestergaard Larsen A/S - AVL,https://avl.dk/miljo,"Miljø. Miljøet spares gennemsnitlig for 2,4 kilo CO2 udslip for hvert kilo plast, der genanvendes i stedet for at blive brændt. ... En anden og stor del af vores plastspild/affald eksporteres til lavtlønslande for såvel sortering og oparbejdning som forbrænding.",1640000.0,privat,,14,,200,,d769a764-050a-43d2-aebe-3772ffb44a1b.html,text/html,utf-8
33.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,norskov,,Miljø,https://www.norskov.dk/miljo,"Nørskov miljø er rigtig gode til at lave en simpel miljøkortlægning, der kan bruges til f.eks. ansøgning om miljøgodkendelse, miljøcertificering, styring af kritiske leverandører eller til at få styr på opsamlingen af data vedr. miljøet. Samtidig får din virksomhed ofte styr på omkostningerne til energi, vand og bortskaffelse af ...",1640000.0,privat,,10,,200,,3c27fa9b-2719-40da-a627-115da15d990d.html,text/html,utf-8
39.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,automester,,Vi værner om miljøet | AutoMester,https://automester.dk/miljoe,"Miljø og bæredygtighed. Hos AutoMester sørger vores værksteder for, at det miljøfarlige affald altid bliver forsvarligt håndteret. Derfor arbejder vi sammen med de bedste miljøaffaldsfirmaer i branchen, så vi sikrer korrekt håndtering af f.eks. spildolie, batterier, defekte reservedele og dæk. Hos AutoMester værner vi om miljøet.",1640000.0,privat,,12,,200,,7e93aea6-6eab-423a-b465-5b4c1068bcb5.html,text/html,utf-8
35.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,sundolitt,,Miljø - Sundolitt,https://www.sundolitt.com/da/miljo/,"Deponering af EPS affald vil være mindst ønskværdigt og være en ... risiko. EPS er stabilt, biologisk ufarligt og ikke toksisk. Se også sikkerhedsdatablade . Miljøvurdering Byg et bedre miljø med Sundolitt (EPS ... hvor der spares langt mere energi (læses forurening) end der forbruges til at fremstille og indbygge ...",1640000.0,privat,,11,,200,,101ea1bf-8d7a-48b3-a4a7-297183627d15.html,text/html,utf-8
7.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,veluxfoundations,,Miljø - et hav i balance | THE VELUX FOUNDATIONS,https://veluxfoundations.dk/da/det-stoetter-vi/miljoe,"Andet påvirker havets økosystem på andre måder, fx ved at fremme eutrofiering. Vi støtter projekter, der modvirker udledning af miljøfarlige eller miljøfremmede stoffer i havmiljøet. Det omfatter menneskeskabte aktiviteter, der forårsager skadevirkninger på levende ressourcer og marine økosystemer, herunder tab af biodiversitet.",1640000.0,Privat,,4,,200,,37d912ce-5320-4faa-8803-0aff47853a8c.html,text/html,utf-8
73.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,kefm,,"Klima-, miljø- og naturmæssige konsekvensvurderinger",https://kefm.dk/klima-og-vejr/konsekvenser-for-klima-miljoe-og-natur,"Klima-, miljø- og naturmæssige konsekvensvurderinger Et godt grundlag for en politisk beslutning skal indeholde en vurdering af et forslags påvirkning på samfundet som en helhed, herunder påvirkninger på klimaet, miljøet og naturen.",1640000.0,statslig,"Umiddelbart er der en tendens til at ministerier taler om 'grønne tiltag' frem for bæredygtighed. Yderligere virker det til at der er en klar opdeling mellem hvor Danmark som Rigsfælleskab bliver nævnt (f.eks. fremgår Grønland og Færøerne ikke under Klima og vejr, men kun under Danmarks tilslutning til diverse globale samarbejder). Det kan måske være interessant at kigge nærmere på. Der er nok i virkeligheden også flere undersider på kefm.dk der kan være interessante, men har forsøgt så vidt muligt at vælge ""aktør-udtalelser"", dvs. steder hvor der virker til at kefm udtaler sig om specifikke nationale anliggender (en udtalelse om den nationale klimaindsats er taget med, men en udtalelse om parisaftalen er ikke). Skal måske revurderes.",22,,200,,ea88a167-a866-4ca0-8df3-f46b7a9b8633.html,text/html,utf-8
