doc,topic,weight
norskov,TOPIC_0,0.00030534351146731915
norskov,TOPIC_1,0.0003053435114513508
norskov,TOPIC_2,0.00030534351146589114
norskov,TOPIC_3,0.0003053435114627114
norskov,TOPIC_4,0.0003053435114632242
norskov,TOPIC_5,0.0003053435114846255
norskov,TOPIC_6,0.00030534351146681456
norskov,TOPIC_7,0.0003053435114653604
norskov,TOPIC_8,0.000305343511467598
norskov,TOPIC_9,0.00030534351147497486
norskov,TOPIC_10,0.0003053435114641938
norskov,TOPIC_11,0.0003053435114940901
norskov,TOPIC_12,0.00030534351146688265
norskov,TOPIC_13,0.00030534351146232347
norskov,TOPIC_14,0.0003053435114613761
norskov,TOPIC_15,0.00030534351146334186
norskov,TOPIC_16,0.0003053435114542191
norskov,TOPIC_17,0.00030534351146222616
norskov,TOPIC_18,0.00030534351145900895
norskov,TOPIC_19,0.9926717557247976
norskov,TOPIC_20,0.0003053435114826647
norskov,TOPIC_21,0.0003053435114685476
norskov,TOPIC_22,0.00030534351146665345
norskov,TOPIC_23,0.0003053435114565057
norskov,TOPIC_24,0.0003053435114704882
mfvm,TOPIC_0,0.004000000000609873
mfvm,TOPIC_1,0.004000000000236004
mfvm,TOPIC_2,0.004000000000273339
mfvm,TOPIC_3,0.004000000000218564
mfvm,TOPIC_4,0.004000000000180128
mfvm,TOPIC_5,0.004000000000985608
mfvm,TOPIC_6,0.0040000000002496745
mfvm,TOPIC_7,0.004000000000324312
mfvm,TOPIC_8,0.004000000000221878
mfvm,TOPIC_9,0.0040000000006143845
mfvm,TOPIC_10,0.004000000000181319
mfvm,TOPIC_11,0.004000000000815413
mfvm,TOPIC_12,0.004000000000859548
mfvm,TOPIC_13,0.0040000000002084314
mfvm,TOPIC_14,0.004000000000253778
mfvm,TOPIC_15,0.004000000000332513
mfvm,TOPIC_16,0.20644684365034455
mfvm,TOPIC_17,0.004000000000236905
mfvm,TOPIC_18,0.004000000000613904
mfvm,TOPIC_19,0.7015531563405147
mfvm,TOPIC_20,0.0040000000004198795
mfvm,TOPIC_21,0.0040000000005601935
mfvm,TOPIC_22,0.004000000000284973
mfvm,TOPIC_23,0.004000000000210249
mfvm,TOPIC_24,0.00400000000024962
wikipedia,TOPIC_0,4.8134777379866375e-05
wikipedia,TOPIC_1,4.813477737820827e-05
wikipedia,TOPIC_2,4.813477738017271e-05
wikipedia,TOPIC_3,4.813477737950665e-05
wikipedia,TOPIC_4,4.8134777379210026e-05
wikipedia,TOPIC_5,4.813477738498026e-05
wikipedia,TOPIC_6,4.813477737965565e-05
wikipedia,TOPIC_7,4.8134777379480426e-05
wikipedia,TOPIC_8,4.8134777379340706e-05
wikipedia,TOPIC_9,0.2397073466452397
wikipedia,TOPIC_10,4.813477737892177e-05
wikipedia,TOPIC_11,0.23252946838163338
wikipedia,TOPIC_12,4.813477738169295e-05
wikipedia,TOPIC_13,4.8134777378984776e-05
wikipedia,TOPIC_14,4.8134777378761024e-05
wikipedia,TOPIC_15,4.8134777379181796e-05
wikipedia,TOPIC_16,4.813477738485579e-05
wikipedia,TOPIC_17,4.8134777379470065e-05
wikipedia,TOPIC_18,4.813477737879141e-05
wikipedia,TOPIC_19,0.5267042198707608
wikipedia,TOPIC_20,4.813477738235199e-05
wikipedia,TOPIC_21,4.813477738411152e-05
wikipedia,TOPIC_22,4.8134777381377e-05
wikipedia,TOPIC_23,4.8134777378379866e-05
wikipedia,TOPIC_24,4.813477737888539e-05
miljoeportal,TOPIC_0,0.0018181818183392853
miljoeportal,TOPIC_1,0.0018181818182460016
miljoeportal,TOPIC_2,0.0018181818183498038
