Actor,urls,Language,Topic: Færøsk variation,Topic: Menneskerettigheder og SDG,Topic: Bæredygtig udvikling og SDG,"Topic: Greenland and the environment (local, regional, international)",Topic: Grønland og Nuuk og Aalborg Kommune,Topic: Havets biodiversitet og ressourcer og SDG,"Topic: Virksomheder, grøn omstilling og SDG",Topic: Nye bæredygtige danske produkter,"Topic: Børn, fattigdom, ulighed og SDG",Topic: Genanvendelse og  byggeri,Topic: Fremtidens bæredygtige løsninger i Danmark og SDG,Topic: Færøsk variation 2,Topic: Bæredygtig produktion og ressourcer og SDG,Topic: Sustainable hunting in the Arctic,Topic: Udsatte børn og unge og SDG,Topic: Certificerede produkter og SDG,Topic: Dansk bæredygtighedsindsats i Arktis og SDG,Topic: Grøn omstilling i Nuuk Kommune,Topic: Torshavn Kommune og bæredygtighed,Topic: Bæredygtige virksomheder på Færøerne,X-UMAP,Y-UMAP
norskov,https://www.norskov.dk/miljo https://www.norskov.dk/miljo ,Danish,0.000305343511451,0.000305343511466,0.000305343511463,0.000305343511463,0.000305343511485,0.000305343511467,0.000305343511465,0.000305343511468,0.000305343511475,0.000305343511464,0.000305343511462,0.000305343511461,0.000305343511463,0.000305343511454,0.000305343511462,0.000305343511483,0.000305343511469,0.000305343511467,0.000305343511457,0.00030534351147,0.648674607276917,6.10215711593628
mfvm,https://mfvm.dk/ https://mfvm.dk/fileadmin/user_upload/FVM.dk/Dokumenter/Servicemenu/Publikationer/Groen_vaekst.pdf https://fvm.dk/nyheder/nyhed/nyhed/fn-forbyder-brug-af-staerkt-forurenende-skibsbraendstof-i-arktis/&sa=U&ved=2ahUKEwik58z0-onwAhUnxoUKHSYNARcQFjAAegQIARAB&usg=AOvVaw1qU7ov9WrDW7QCO9ijGw1Z https://fvm.dk/fileadmin/user_upload/MFVM/Ministeriet/Departementet/Aftaler_med_universiteter/Aftaler_2020/Rammeaftale_med_AU/AU_Arktis_-_Ydelsesaftale.pdf ,Danish,0.004000000000236,0.004000000000273,0.004000000000219,0.00400000000018,0.004000000000986,0.00400000000025,0.004000000000324,0.004000000000222,0.004000000000614,0.004000000000181,0.004000000000208,0.004000000000254,0.004000000000333,0.206446843650344,0.004000000000237,0.00400000000042,0.00400000000056,0.004000000000285,0.00400000000021,0.00400000000025,9.52419185638428,5.50462102890015
wikipedia,https://da.wikipedia.org/wiki/Milj%C3%B8 https://da.wikipedia.org/wiki/FN%27s_verdensm%C3%A5l https://da.wikipedia.org/wiki/Power-to-X https://da.wikipedia.org/wiki/B%C3%A6redygtighed https://da.wikipedia.org/wiki/B%C3%A6redygtighed ,Danish,4.81347773782083E-05,4.81347773801727E-05,4.81347773795067E-05,4.813477737921E-05,4.81347773849803E-05,4.81347773796557E-05,4.81347773794804E-05,4.81347773793407E-05,0.23970734664524,4.81347773789218E-05,4.81347773789848E-05,4.8134777378761E-05,4.81347773791818E-05,4.81347773848558E-05,4.81347773794701E-05,4.8134777382352E-05,4.81347773841115E-05,4.8134777381377E-05,4.81347773783799E-05,4.81347773788854E-05,5.41294050216675,5.16227531433106
miljoeportal,https://miljoeportal.dk/ https://miljoeportal.dk/media/1337/dmp-strategi-2020-1-maj-2020.pd ,Danish,0.001818181818246,0.00181818181835,0.001818181818345,0.001818181818311,0.001818181818538,0.001818181818367,0.001818181818321,0.001818181818322,0.001818181818695,0.001818181818404,0.00181818181832,0.001818181818299,0.001818181818308,0.00181818181832,0.001818181818342,0.001818181818346,0.001818181818492,0.001818181818767,0.001818181818261,0.0018181818183,9.60794830322266,6.64202260971069
avl,https://avl.dk/miljo https://avl.dk/miljo ,Danish,0.000191387559813,0.00019138755982,0.000191387559821,0.00019138755982,0.000191387559837,0.00019138755982,0.00019138755982,0.000191387559819,0.00019138755984,0.000191387559826,0.000191387559818,0.000191387559817,0.000191387559819,0.000191387559821,0.00019138755982,0.00019138755988,0.000191387559839,0.000191387559833,0.000191387559816,0.000191387559818,1.8260246515274,3.97138166427612
aalborg,https://www.aalborg.dk/om-kommunen/organisation/miljoe-og-energiforvaltningen https://www.aalborg.dk/miljoe-energi-og-natur https://www.aalborg.dk/politik/strategier-og-politikker https://www.aalborg.dk/business/erhvervsservice-i-aalborg/rammeaftalen-baeredygtig-erhvervsservice https://www.aalborg.dk/om-kommunen/byplanlaegning/temaer-inden-for-byplanlaegning/baeredygtighed-i-byplanlaegning https://www.aalborg.dk/miljoe-energi-og-natur/klima https://www.aalborg.dk/miljoe-energi-og-natur/vaadomraader-og-lavbundsprojekter https://www.aalborg.dk/miljoe-energi-og-natur/baeredygtighedsmanual ,Danish,2.64725347455678E-05,2.64725347469417E-05,2.64725347470084E-05,2.64725347467209E-05,0.766729193408488,2.64725347466557E-05,2.6472534746713E-05,2.6472534746559E-05,2.64725347493575E-05,2.64725347464425E-05,2.64725347463794E-05,2.64725347463327E-05,2.64725347464781E-05,2.64725347472968E-05,2.6472534746606E-05,2.64725347478109E-05,2.64725347483538E-05,2.64725347472049E-05,2.6472534745995E-05,2.64725347463507E-05,6.52534627914429,10.4339418411255
kefm,https://kefm.dk/klima-og-vejr/konsekvenser-for-klima-miljoe-og-natur https://kefm.dk/klima-og-vejr/klimaindsatsen-i-danmark https://kefm.dk/globale-samarbejder/klimasamarbejde-i-arktis ,Danish,7.10479573732293E-05,7.10479573764995E-05,7.10479573750388E-05,7.10479573809864E-05,7.10479573848124E-05,7.1047957375549E-05,7.10479573754461E-05,7.10479573747904E-05,7.10479573813896E-05,7.10479573748465E-05,7.10479573747082E-05,7.10479573741361E-05,7.10479573745961E-05,7.10479573812884E-05,7.10479573747428E-05,7.10479573787146E-05,0.677799460543392,7.10479573787018E-05,7.10479573735486E-05,7.10479573741787E-05,22.8506011962891,8.42374229431152
veluxfoundations,https://veluxfoundations.dk/da/det-stoetter-vi/miljoe https://veluxfoundations.dk/da/det-stoetter-vi/miljoe https://veluxfoundations.dk/da/miljoe-et-hav-i-balance-viden-og-samarbejde ,Danish,8.90868596928563E-05,8.90868596953555E-05,8.90868596929752E-05,8.90868596931359E-05,8.90868597048073E-05,0.347528895289315,8.90868596938332E-05,8.90868596930547E-05,8.90868597035596E-05,8.90868596926631E-05,8.90868596922787E-05,8.90868596921293E-05,8.90868596927911E-05,8.90868596941159E-05,8.90868596929457E-05,8.90868596977117E-05,8.90868597000691E-05,8.90868596937448E-05,8.90868596915808E-05,8.90868596921618E-05,8.5209321975708,6.90540790557861
automester,https://automester.dk/miljoe https://automester.dk/miljoe ,Danish,0.000203045685283,0.000203045685293,0.000203045685288,0.701045871503626,0.000203045685303,0.000203045685288,0.00020304568529,0.000203045685289,0.000203045685303,0.000203045685295,0.000203045685288,0.000203045685286,0.000203045685288,0.000203045685289,0.000203045685287,0.000203045685311,0.000203045685303,0.000203045685314,0.000203045685285,0.000203045685286,14.5988702774048,4.13343954086304
mariagerfjord,https://www.mariagerfjord.dk/Borger/Natur-og-Miljoe https://www.mariagerfjord.dk/Borger/Natur-og-Miljoe/Natur/Naturen---en-rentabel-del-af-landbruget https://www.mariagerfjord.dk/Klima-og-Energi/Groen-energi-i-Mariagerfjord ,Danish,0.000194174757286,0.000194174757296,0.000194174757294,0.000194174757299,0.122815714960351,0.000194174757334,0.000194174757297,0.000194174757292,0.00019417475731,0.000194174757303,0.000194174757291,0.00019417475729,0.000194174757291,0.000194174757305,0.000194174757292,0.000194174757306,0.00019417475731,0.00019417475731,0.000194174757288,0.00019417475729,5.7293267250061,9.54144382476807
