doc,topic,weight
norskov,TOPIC_0,0.00047961686306068974
norskov,TOPIC_1,0.0004796173722241172
norskov,TOPIC_2,0.0004796177366168275
norskov,TOPIC_3,0.00047961674199670527
norskov,TOPIC_4,0.0004796168994156471
norskov,TOPIC_5,0.9932853613806233
norskov,TOPIC_6,0.0004796168896747116
norskov,TOPIC_7,0.00047961699497399586
norskov,TOPIC_8,0.00047961676840361644
norskov,TOPIC_9,0.0004796172763694633
norskov,TOPIC_10,0.00047961686689660527
norskov,TOPIC_11,0.0004796169954174761
norskov,TOPIC_12,0.0004796175533381868
norskov,TOPIC_13,0.00047961680576744884
norskov,TOPIC_14,0.0004796168552211033
mfvm,TOPIC_0,0.006666675923344782
mfvm,TOPIC_1,0.006666676870698783
mfvm,TOPIC_2,0.006666688584290889
mfvm,TOPIC_3,0.006666677621072465
mfvm,TOPIC_4,0.006666678427120229
mfvm,TOPIC_5,0.0066666785015731846
mfvm,TOPIC_6,0.006666677713367873
mfvm,TOPIC_7,0.006666688321557382
mfvm,TOPIC_8,0.006666680104461365
mfvm,TOPIC_9,0.9066664800101466
mfvm,TOPIC_10,0.00666667650361374
mfvm,TOPIC_11,0.006666679727385809
mfvm,TOPIC_12,0.0066666862885914
mfvm,TOPIC_13,0.006666678558676922
mfvm,TOPIC_14,0.006666676844098669
wikipedia,TOPIC_0,7.382805994022113e-05
wikipedia,TOPIC_1,7.382807807858252e-05
wikipedia,TOPIC_2,0.9616413606872495
wikipedia,TOPIC_3,7.382806312582524e-05
wikipedia,TOPIC_4,7.382807874865783e-05
wikipedia,TOPIC_5,7.382813960040402e-05
wikipedia,TOPIC_6,7.382808639301285e-05
wikipedia,TOPIC_7,7.3828087659759e-05
wikipedia,TOPIC_8,7.382806391869938e-05
wikipedia,TOPIC_9,0.03739887425426364
wikipedia,TOPIC_10,7.382807106116444e-05
wikipedia,TOPIC_11,7.382807312952282e-05
wikipedia,TOPIC_12,7.3828112423481e-05
wikipedia,TOPIC_13,7.382806630698106e-05
wikipedia,TOPIC_14,7.382807810063192e-05
miljoeportal,TOPIC_0,0.0028985558788904024
miljoeportal,TOPIC_1,0.0028985631156099832
miljoeportal,TOPIC_2,0.0028985614307126327
miljoeportal,TOPIC_3,0.0028985537920440353
miljoeportal,TOPIC_4,0.002898555196018556
miljoeportal,TOPIC_5,0.002898557744196111
miljoeportal,TOPIC_6,0.0028985565329785875
miljoeportal,TOPIC_7,0.002898556565537443
miljoeportal,TOPIC_8,0.0028985536444581174
miljoeportal,TOPIC_9,0.959420211345102
miljoeportal,TOPIC_10,0.0028985545917504197
miljoeportal,TOPIC_11,0.0028985546481674006
miljoeportal,TOPIC_12,0.0028985561323525443
miljoeportal,TOPIC_13,0.002898555090255586
miljoeportal,TOPIC_14,0.002898554291926263
avl,TOPIC_0,0.0002936861150182793
avl,TOPIC_1,0.00029368649766407475
avl,TOPIC_2,0.7045454217440686
avl,TOPIC_3,0.0002936860960374223
avl,TOPIC_4,0.00029368616177292257
avl,TOPIC_5,0.29163665728540644
avl,TOPIC_6,0.0002936861560001768
avl,TOPIC_7,0.0002936861822519793
avl,TOPIC_8,0.00029368610628889607
avl,TOPIC_9,0.0002936865468537328
avl,TOPIC_10,0.0002936861255615127
avl,TOPIC_11,0.00029368609071683707
avl,TOPIC_12,0.0002936864673607509
avl,TOPIC_13,0.0002936861500017189
avl,TOPIC_14,0.00029368627499659785
aalborg,TOPIC_0,4.062567833291544e-05
aalborg,TOPIC_1,4.062569482966712e-05
aalborg,TOPIC_2,0.018254817548030516
aalborg,TOPIC_3,4.062567666480049e-05
aalborg,TOPIC_4,4.062569260136027e-05
aalborg,TOPIC_5,0.03263003647087875
aalborg,TOPIC_6,4.0625679311381585e-05
aalborg,TOPIC_7,4.062569534334863e-05
aalborg,TOPIC_8,4.062567812980634e-05
aalborg,TOPIC_9,0.9486276377469495
aalborg,TOPIC_10,4.062569012793468e-05
aalborg,TOPIC_11,4.0625677836336503e-05
aalborg,TOPIC_12,4.0625697915609736e-05
aalborg,TOPIC_13,4.062568463436299e-05
aalborg,TOPIC_14,4.062568841384572e-05
kefm,TOPIC_0,0.00011074210566494299
kefm,TOPIC_1,0.00011074213347558576
kefm,TOPIC_2,0.8274015598867809
kefm,TOPIC_3,0.00011074209675316317
kefm,TOPIC_4,0.0001107421140491539
kefm,TOPIC_5,0.00011074229233251715
kefm,TOPIC_6,0.00011074211750348088
kefm,TOPIC_7,0.00011074214341772766
kefm,TOPIC_8,0.0001107421052510287
kefm,TOPIC_9,0.17115879236172987
kefm,TOPIC_10,0.00011074211126667096
kefm,TOPIC_11,0.00011074213141929803
kefm,TOPIC_12,0.00011074216451912657
kefm,TOPIC_13,0.00011074210384743325
kefm,TOPIC_14,0.00011074213198895426
veluxfoundations,TOPIC_0,0.00013201336132578328
veluxfoundations,TOPIC_1,0.00013201342256257691
veluxfoundations,TOPIC_2,0.4163257394656368
veluxfoundations,TOPIC_3,0.00013201337693347944
veluxfoundations,TOPIC_4,0.0001320133783021805
veluxfoundations,TOPIC_5,0.4133663567101255
veluxfoundations,TOPIC_6,0.00013201337887791575
veluxfoundations,TOPIC_7,0.00013201347259246408
veluxfoundations,TOPIC_8,0.00013201339507870282
veluxfoundations,TOPIC_9,0.16872374297500253
veluxfoundations,TOPIC_10,0.0001320134666896886
veluxfoundations,TOPIC_11,0.00013201337259726093
veluxfoundations,TOPIC_12,0.00013201341747579634
veluxfoundations,TOPIC_13,0.00013201339511046436
veluxfoundations,TOPIC_14,0.00013201341168898715
automester,TOPIC_0,0.8444380974463691
automester,TOPIC_1,0.0002836884867104733
automester,TOPIC_2,0.151873954427993
automester,TOPIC_3,0.0002836881375654866
automester,TOPIC_4,0.00028368822998193176
automester,TOPIC_5,0.00028368856361622936
automester,TOPIC_6,0.0002836882045365824
automester,TOPIC_7,0.0002836883299794091
automester,TOPIC_8,0.0002836881796191897
automester,TOPIC_9,0.0002836884914611866
automester,TOPIC_10,0.0002836881783658353
automester,TOPIC_11,0.00028368823862156206
automester,TOPIC_12,0.00028368867818953257
automester,TOPIC_13,0.00028368816121773083
automester,TOPIC_14,0.00028368824577267075
mariagerfjord,TOPIC_0,0.00028129441062959534
mariagerfjord,TOPIC_1,0.00028129467580103234
