doc,topic,weight
norskov,TOPIC_0,0.0001629993823574989
norskov,TOPIC_1,0.00016300033913710355
norskov,TOPIC_2,0.00016299933167737235
norskov,TOPIC_3,0.9977180077265958
norskov,TOPIC_4,0.00016299934740258233
norskov,TOPIC_5,0.00016299946381612718
norskov,TOPIC_6,0.00016299944469120063
norskov,TOPIC_7,0.00016299941777805205
norskov,TOPIC_8,0.0001629994527171408
norskov,TOPIC_9,0.00016299933359476527
norskov,TOPIC_10,0.00016299932190679757
norskov,TOPIC_11,0.00016299934372510414
norskov,TOPIC_12,0.0001629994150030584
norskov,TOPIC_13,0.0001629993272339726
norskov,TOPIC_14,0.0001629993523632992
mfvm,TOPIC_0,0.00392157278672529
mfvm,TOPIC_1,0.003921575145838971
mfvm,TOPIC_2,0.003921572228636355
mfvm,TOPIC_3,0.3873057092528822
mfvm,TOPIC_4,0.0039215726351623575
mfvm,TOPIC_5,0.5617138279188717
mfvm,TOPIC_6,0.003921580546485129
mfvm,TOPIC_7,0.003921575602409202
mfvm,TOPIC_8,0.0039215766591584825
mfvm,TOPIC_9,0.003921572195427171
mfvm,TOPIC_10,0.003921571952677264
mfvm,TOPIC_11,0.003921572225700537
mfvm,TOPIC_12,0.00392157523603797
mfvm,TOPIC_13,0.003921572068692697
mfvm,TOPIC_14,0.003921573545294448
wikipedia,TOPIC_0,3.7792945137994764e-05
wikipedia,TOPIC_1,3.7792960593620665e-05
wikipedia,TOPIC_2,3.7792934301052696e-05
wikipedia,TOPIC_3,0.8000583057519761
wikipedia,TOPIC_4,3.779294256943077e-05
wikipedia,TOPIC_5,3.779297626248955e-05
wikipedia,TOPIC_6,0.19945038590409378
wikipedia,TOPIC_7,3.7792964674940386e-05
wikipedia,TOPIC_8,3.779296742534657e-05
wikipedia,TOPIC_9,3.7792937922315856e-05
wikipedia,TOPIC_10,3.779293346681358e-05
wikipedia,TOPIC_11,3.779293895396542e-05
wikipedia,TOPIC_12,3.7792966231014226e-05
wikipedia,TOPIC_13,3.779293426288539e-05
wikipedia,TOPIC_14,3.779294212816221e-05
miljoeportal,TOPIC_0,0.0011494272110643155
miljoeportal,TOPIC_1,0.0011494279341359025
miljoeportal,TOPIC_2,0.0011494269557998154
miljoeportal,TOPIC_3,0.9839080154987158
miljoeportal,TOPIC_4,0.001149427464680277
miljoeportal,TOPIC_5,0.0011494281781794025
miljoeportal,TOPIC_6,0.0011494280748931872
miljoeportal,TOPIC_7,0.00114942758619576
miljoeportal,TOPIC_8,0.0011494277539141522
miljoeportal,TOPIC_9,0.0011494269248634842
miljoeportal,TOPIC_10,0.0011494268796202302
miljoeportal,TOPIC_11,0.001149426969970337
miljoeportal,TOPIC_12,0.0011494284092818266
miljoeportal,TOPIC_13,0.0011494270163181933
miljoeportal,TOPIC_14,0.0011494271423674574
avl,TOPIC_0,0.0001380264495025694
avl,TOPIC_1,0.0001380265419408617
avl,TOPIC_2,0.00013802637302424303
avl,TOPIC_3,0.9980676295295756
avl,TOPIC_4,0.00013802640483232995
avl,TOPIC_5,0.0001380267481213098
avl,TOPIC_6,0.00013802658020568005
avl,TOPIC_7,0.00013802645793659036
avl,TOPIC_8,0.0001380265064402874
avl,TOPIC_9,0.00013802638874379122
avl,TOPIC_10,0.00013802638322666085
avl,TOPIC_11,0.00013802638693950127
avl,TOPIC_12,0.0001380264681569947
avl,TOPIC_13,0.00013802637894654927
avl,TOPIC_14,0.00013802640240688906
aalborg,TOPIC_0,2.272988071471377e-05
aalborg,TOPIC_1,2.2729890100161822e-05
aalborg,TOPIC_2,2.2729873767952783e-05
aalborg,TOPIC_3,0.3595466874362617
aalborg,TOPIC_4,2.2729880517777447e-05
aalborg,TOPIC_5,0.6401578240717403
aalborg,TOPIC_6,2.2729910209249008e-05
aalborg,TOPIC_7,2.2729889759305336e-05
aalborg,TOPIC_8,2.2729897121240484e-05
aalborg,TOPIC_9,2.2729874967138844e-05
aalborg,TOPIC_10,2.272987313444759e-05
aalborg,TOPIC_11,2.2729876042976407e-05
aalborg,TOPIC_12,2.2729892238627676e-05
aalborg,TOPIC_13,2.2729874528232724e-05
aalborg,TOPIC_14,2.272987889605065e-05
kefm,TOPIC_0,5.722468491785125e-05
kefm,TOPIC_1,5.7224702445468755e-05
kefm,TOPIC_2,5.722466988223154e-05
kefm,TOPIC_3,0.9049425921394164
kefm,TOPIC_4,5.7224680653505e-05
kefm,TOPIC_5,0.09431348684329731
kefm,TOPIC_6,5.722475462708003e-05
kefm,TOPIC_7,5.722470841016663e-05
kefm,TOPIC_8,5.722471479986792e-05
kefm,TOPIC_9,5.7224675199795536e-05
kefm,TOPIC_10,5.722466762254659e-05
kefm,TOPIC_11,5.722467271843196e-05
kefm,TOPIC_12,5.722473604923286e-05
kefm,TOPIC_13,5.722466842244229e-05
kefm,TOPIC_14,5.722468153737989e-05
veluxfoundations,TOPIC_0,6.68003614863787e-05
veluxfoundations,TOPIC_1,6.680039009011368e-05
veluxfoundations,TOPIC_2,6.680034427052658e-05
veluxfoundations,TOPIC_3,0.999064794684733
veluxfoundations,TOPIC_4,6.68003580715831e-05
veluxfoundations,TOPIC_5,6.680043416877488e-05
veluxfoundations,TOPIC_6,6.68004601549498e-05
veluxfoundations,TOPIC_7,6.680038434574617e-05
veluxfoundations,TOPIC_8,6.680040108170734e-05
veluxfoundations,TOPIC_9,6.680034788859659e-05
veluxfoundations,TOPIC_10,6.680034573645414e-05
veluxfoundations,TOPIC_11,6.680035028324093e-05
veluxfoundations,TOPIC_12,6.680043255606242e-05
veluxfoundations,TOPIC_13,6.680034861063862e-05
veluxfoundations,TOPIC_14,6.680035652230155e-05
automester,TOPIC_0,0.00010598851138775976
automester,TOPIC_1,0.00010598859965239712
