Id,urls,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
norskov,https://www.norskov.dk/miljo https://www.norskov.dk/miljo ,Danish,0.0001629993823574989,0.00016300033913710355,0.00016299933167737235,0.9977180077265958,0.00016299934740258233,0.00016299946381612718,0.00016299944469120063,0.00016299941777805205,0.0001629994527171408,0.00016299933359476527,0.00016299932190679757,0.00016299934372510414,0.0001629994150030584,0.0001629993272339726,0.0001629993523632992
mfvm,https://mfvm.dk/ https://mfvm.dk/fileadmin/user_upload/FVM.dk/Dokumenter/Servicemenu/Publikationer/Groen_vaekst.pdf https://fvm.dk/nyheder/nyhed/nyhed/fn-forbyder-brug-af-staerkt-forurenende-skibsbraendstof-i-arktis/&sa=U&ved=2ahUKEwik58z0-onwAhUnxoUKHSYNARcQFjAAegQIARAB&usg=AOvVaw1qU7ov9WrDW7QCO9ijGw1Z https://fvm.dk/fileadmin/user_upload/MFVM/Ministeriet/Departementet/Aftaler_med_universiteter/Aftaler_2020/Rammeaftale_med_AU/AU_Arktis_-_Ydelsesaftale.pdf ,Danish,0.00392157278672529,0.003921575145838971,0.003921572228636355,0.3873057092528822,0.0039215726351623575,0.5617138279188717,0.003921580546485129,0.003921575602409202,0.0039215766591584825,0.003921572195427171,0.003921571952677264,0.003921572225700537,0.00392157523603797,0.003921572068692697,0.003921573545294448
wikipedia,https://da.wikipedia.org/wiki/Milj%C3%B8 https://da.wikipedia.org/wiki/FN%27s_verdensm%C3%A5l https://da.wikipedia.org/wiki/Power-to-X https://da.wikipedia.org/wiki/B%C3%A6redygtighed https://da.wikipedia.org/wiki/B%C3%A6redygtighed ,Danish,3.7792945137994764e-05,3.7792960593620665e-05,3.7792934301052696e-05,0.8000583057519761,3.779294256943077e-05,3.779297626248955e-05,0.19945038590409378,3.7792964674940386e-05,3.779296742534657e-05,3.7792937922315856e-05,3.779293346681358e-05,3.779293895396542e-05,3.7792966231014226e-05,3.779293426288539e-05,3.779294212816221e-05
miljoeportal,https://miljoeportal.dk/ https://miljoeportal.dk/media/1337/dmp-strategi-2020-1-maj-2020.pd ,Danish,0.0011494272110643155,0.0011494279341359025,0.0011494269557998154,0.9839080154987158,0.001149427464680277,0.0011494281781794025,0.0011494280748931872,0.00114942758619576,0.0011494277539141522,0.0011494269248634842,0.0011494268796202302,0.001149426969970337,0.0011494284092818266,0.0011494270163181933,0.0011494271423674574
avl,https://avl.dk/miljo https://avl.dk/miljo ,Danish,0.0001380264495025694,0.0001380265419408617,0.00013802637302424303,0.9980676295295756,0.00013802640483232995,0.0001380267481213098,0.00013802658020568005,0.00013802645793659036,0.0001380265064402874,0.00013802638874379122,0.00013802638322666085,0.00013802638693950127,0.0001380264681569947,0.00013802637894654927,0.00013802640240688906
aalborg,https://www.aalborg.dk/om-kommunen/organisation/miljoe-og-energiforvaltningen https://www.aalborg.dk/miljoe-energi-og-natur https://www.aalborg.dk/politik/strategier-og-politikker https://www.aalborg.dk/business/erhvervsservice-i-aalborg/rammeaftalen-baeredygtig-erhvervsservice https://www.aalborg.dk/om-kommunen/byplanlaegning/temaer-inden-for-byplanlaegning/baeredygtighed-i-byplanlaegning https://www.aalborg.dk/miljoe-energi-og-natur/klima https://www.aalborg.dk/miljoe-energi-og-natur/vaadomraader-og-lavbundsprojekter https://www.aalborg.dk/miljoe-energi-og-natur/baeredygtighedsmanual ,Danish,2.272988071471377e-05,2.2729890100161822e-05,2.2729873767952783e-05,0.3595466874362617,2.2729880517777447e-05,0.6401578240717403,2.2729910209249008e-05,2.2729889759305336e-05,2.2729897121240484e-05,2.2729874967138844e-05,2.272987313444759e-05,2.2729876042976407e-05,2.2729892238627676e-05,2.2729874528232724e-05,2.272987889605065e-05
kefm,https://kefm.dk/klima-og-vejr/konsekvenser-for-klima-miljoe-og-natur https://kefm.dk/klima-og-vejr/klimaindsatsen-i-danmark https://kefm.dk/globale-samarbejder/klimasamarbejde-i-arktis ,Danish,5.722468491785125e-05,5.7224702445468755e-05,5.722466988223154e-05,0.9049425921394164,5.7224680653505e-05,0.09431348684329731,5.722475462708003e-05,5.722470841016663e-05,5.722471479986792e-05,5.7224675199795536e-05,5.722466762254659e-05,5.722467271843196e-05,5.722473604923286e-05,5.722466842244229e-05,5.722468153737989e-05
veluxfoundations,https://veluxfoundations.dk/da/det-stoetter-vi/miljoe https://veluxfoundations.dk/da/det-stoetter-vi/miljoe https://veluxfoundations.dk/da/miljoe-et-hav-i-balance-viden-og-samarbejde ,Danish,6.68003614863787e-05,6.680039009011368e-05,6.680034427052658e-05,0.999064794684733,6.68003580715831e-05,6.680043416877488e-05,6.68004601549498e-05,6.680038434574617e-05,6.680040108170734e-05,6.680034788859659e-05,6.680034573645414e-05,6.680035028324093e-05,6.680043255606242e-05,6.680034861063862e-05,6.680035652230155e-05
automester,https://automester.dk/miljoe https://automester.dk/miljoe ,Danish,0.00010598851138775976,0.00010598859965239712,0.00010598845238125424,0.9985161609888593,0.0001059884667112015,0.00010598854292381161,0.00010598852991214726,0.00010598851320818461,0.0001059885612059706,0.00010598845710474283,0.00010598845596921466,0.0001059884853459564,0.00010598849223499251,0.00010598847300637492,0.0001059884700966271
mariagerfjord,https://www.mariagerfjord.dk/Borger/Natur-og-Miljoe https://www.mariagerfjord.dk/Borger/Natur-og-Miljoe/Natur/Naturen---en-rentabel-del-af-landbruget https://www.mariagerfjord.dk/Klima-og-Energi/Groen-energi-i-Mariagerfjord ,Danish,0.00013386903530347477,0.0001338690655533493,0.0001338689604391115,0.9264736196008302,0.0001338689834551674,0.07178608318980464,0.00013386913480334313,0.00013386904347484233,0.00013386906029208006,0.00013386896368509986,0.00013386896300042302,0.00013386897172068077,0.00013386908795728927,0.00013386896235932188,0.00013386897732109868
