Id,urls,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,X-UMAP,Y-UMAP
norskov,https://www.norskov.dk/miljo https://www.norskov.dk/miljo ,Danish,0.0001629993823574,0.0001630003391371,0.0001629993316773,0.9977180077265958,0.0001629993474025,0.0001629994638161,0.0001629994446912,0.000162999417778,0.0001629994527171,0.0001629993335947,0.0001629993219067,0.0001629993437251,0.000162999415003,0.0001629993272339,0.0001629993523632,3.444182872772217,0.5753201246261597
mfvm,https://mfvm.dk/ https://mfvm.dk/fileadmin/user_upload/FVM.dk/Dokumenter/Servicemenu/Publikationer/Groen_vaekst.pdf https://fvm.dk/nyheder/nyhed/nyhed/fn-forbyder-brug-af-staerkt-forurenende-skibsbraendstof-i-arktis/&sa=U&ved=2ahUKEwik58z0-onwAhUnxoUKHSYNARcQFjAAegQIARAB&usg=AOvVaw1qU7ov9WrDW7QCO9ijGw1Z https://fvm.dk/fileadmin/user_upload/MFVM/Ministeriet/Departementet/Aftaler_med_universiteter/Aftaler_2020/Rammeaftale_med_AU/AU_Arktis_-_Ydelsesaftale.pdf ,Danish,0.0039215727867252,0.0039215751458389,0.0039215722286363,0.3873057092528822,0.0039215726351623,0.5617138279188717,0.0039215805464851,0.0039215756024092,0.0039215766591584,0.0039215721954271,0.0039215719526772,0.0039215722257005,0.0039215752360379,0.0039215720686926,0.0039215735452944,5.3614583015441895,1.7185996770858765
wikipedia,https://da.wikipedia.org/wiki/Milj%C3%B8 https://da.wikipedia.org/wiki/FN%27s_verdensm%C3%A5l https://da.wikipedia.org/wiki/Power-to-X https://da.wikipedia.org/wiki/B%C3%A6redygtighed https://da.wikipedia.org/wiki/B%C3%A6redygtighed ,Danish,3.779294513799477e-05,3.7792960593620665e-05,3.7792934301052696e-05,0.8000583057519761,3.779294256943077e-05,3.779297626248955e-05,0.1994503859040937,3.779296467494039e-05,3.779296742534657e-05,3.7792937922315856e-05,3.779293346681358e-05,3.779293895396542e-05,3.779296623101423e-05,3.779293426288539e-05,3.779294212816221e-05,5.650211811065674,6.506227493286133
miljoeportal,https://miljoeportal.dk/ https://miljoeportal.dk/media/1337/dmp-strategi-2020-1-maj-2020.pd ,Danish,0.0011494272110643,0.0011494279341359,0.0011494269557998,0.9839080154987158,0.0011494274646802,0.0011494281781794,0.0011494280748931,0.0011494275861957,0.0011494277539141,0.0011494269248634,0.0011494268796202,0.0011494269699703,0.0011494284092818,0.0011494270163181,0.0011494271423674,10.378229141235352,5.768696308135986
avl,https://avl.dk/miljo https://avl.dk/miljo ,Danish,0.0001380264495025,0.0001380265419408,0.0001380263730242,0.9980676295295756,0.0001380264048323,0.0001380267481213,0.0001380265802056,0.0001380264579365,0.0001380265064402,0.0001380263887437,0.0001380263832266,0.0001380263869395,0.0001380264681569,0.0001380263789465,0.0001380264024068,1.476728081703186,2.5439717769622803
aalborg,https://www.aalborg.dk/om-kommunen/organisation/miljoe-og-energiforvaltningen https://www.aalborg.dk/miljoe-energi-og-natur https://www.aalborg.dk/politik/strategier-og-politikker https://www.aalborg.dk/business/erhvervsservice-i-aalborg/rammeaftalen-baeredygtig-erhvervsservice https://www.aalborg.dk/om-kommunen/byplanlaegning/temaer-inden-for-byplanlaegning/baeredygtighed-i-byplanlaegning https://www.aalborg.dk/miljoe-energi-og-natur/klima https://www.aalborg.dk/miljoe-energi-og-natur/vaadomraader-og-lavbundsprojekter https://www.aalborg.dk/miljoe-energi-og-natur/baeredygtighedsmanual ,Danish,2.272988071471377e-05,2.2729890100161826e-05,2.2729873767952783e-05,0.3595466874362617,2.2729880517777447e-05,0.6401578240717403,2.2729910209249008e-05,2.2729889759305336e-05,2.2729897121240484e-05,2.2729874967138844e-05,2.272987313444759e-05,2.2729876042976407e-05,2.272989223862768e-05,2.2729874528232724e-05,2.272987889605065e-05,5.170114994049072,1.8781917095184326
kefm,https://kefm.dk/klima-og-vejr/konsekvenser-for-klima-miljoe-og-natur https://kefm.dk/klima-og-vejr/klimaindsatsen-i-danmark https://kefm.dk/globale-samarbejder/klimasamarbejde-i-arktis ,Danish,5.722468491785125e-05,5.722470244546876e-05,5.722466988223154e-05,0.9049425921394164,5.7224680653505e-05,0.0943134868432973,5.722475462708003e-05,5.722470841016663e-05,5.722471479986792e-05,5.7224675199795536e-05,5.722466762254659e-05,5.722467271843196e-05,5.722473604923286e-05,5.722466842244229e-05,5.722468153737989e-05,5.327829837799072,2.55867075920105
veluxfoundations,https://veluxfoundations.dk/da/det-stoetter-vi/miljoe https://veluxfoundations.dk/da/det-stoetter-vi/miljoe https://veluxfoundations.dk/da/miljoe-et-hav-i-balance-viden-og-samarbejde ,Danish,6.68003614863787e-05,6.680039009011368e-05,6.680034427052658e-05,0.999064794684733,6.68003580715831e-05,6.680043416877488e-05,6.68004601549498e-05,6.680038434574617e-05,6.680040108170734e-05,6.680034788859659e-05,6.680034573645414e-05,6.680035028324093e-05,6.680043255606242e-05,6.680034861063862e-05,6.680035652230155e-05,-3.093197822570801,6.9345855712890625
automester,https://automester.dk/miljoe https://automester.dk/miljoe ,Danish,0.0001059885113877,0.0001059885996523,0.0001059884523812,0.9985161609888592,0.0001059884667112,0.0001059885429238,0.0001059885299121,0.0001059885132081,0.0001059885612059,0.0001059884571047,0.0001059884559692,0.0001059884853459,0.0001059884922349,0.0001059884730063,0.0001059884700966,-1.8584964275360107,4.556906223297119
mariagerfjord,https://www.mariagerfjord.dk/Borger/Natur-og-Miljoe https://www.mariagerfjord.dk/Borger/Natur-og-Miljoe/Natur/Naturen---en-rentabel-del-af-landbruget https://www.mariagerfjord.dk/Klima-og-Energi/Groen-energi-i-Mariagerfjord ,Danish,0.0001338690353034,0.0001338690655533,0.0001338689604391,0.9264736196008302,0.0001338689834551,0.0717860831898046,0.0001338691348033,0.0001338690434748,0.000133869060292,0.000133868963685,0.0001338689630004,0.0001338689717206,0.0001338690879572,0.0001338689623593,0.000133868977321,5.483370780944824,2.5570871829986572
fmk,https://www.fmk.dk/kontakt-og-aabningstider/fagomraader-og-stabe/by-land-og-kultur/miljoe-og-byg/ https://www.fmk.dk/borger/miljoe-energi-og-affald/klima-og-energi/det-goer-vi-i-faaborg-midtfyn-kommune/clean-groen-erhvervsvaekst/ https://www.fmk.dk/testsektion/nyt-fmkdk/borger/natur-og-miljoe/klima-og-energi/det-goer-vi-i-faaborg-midtfyn-kommune/groent-diplom/groen-institution/ https://www.fmk.dk/testsektion/nyt-fmkdk/borger/natur-og-miljoe/klima-og-energi/det-goer-vi-i-faaborg-midtfyn-kommune/groent-diplom/groent-kontor/ https://www.fmk.dk/borger/miljoe-energi-og-affald/klima-og-energi/det-goer-vi-i-faaborg-midtfyn-kommune/clean-groen-erhvervsvaekst/ ,Danish,0.0001397626256875,0.0001397626589955,0.0001397625684882,0.9643100381888722,0.0001397626028183,0.0338730477384556,0.000139762772208,0.0001397626329082,0.0001397626728825,0.0001397625677326,0.0001397625736433,0.0001397625702758,0.0001397626478848,0.0001397625725651,0.0001397626065818,5.678933620452881,2.5322318077087402
sundolitt,https://www.sundolitt.com/da/miljo/ https://www.sundolitt.com/da/miljo/ ,Danish,0.0001250783018604,0.5624350722827384,0.0001250782556805,0.4359389096283086,0.0001250782817347,0.0001250784164244,0.0001250784302492,0.0001250783583108,0.0001250783850642,0.0001250782643682,0.0001250782530852,0.0001250782727087,0.0001250783291249,0.0001250782602752,0.0001250782800659,5.730838775634766,4.595976829528809
verdensmaalene,https://www.verdensmaalene.dk/ https://www.verdensmaalene.dk/fakta/verdensmaalene https://www.verdensmaalene.dk/maal/12 https://www.verdensmaalene.dk/fakta/hvad-er-baeredygtig-udvikling ,Danish,4.880436261721904e-05,4.8804373361173774e-05,4.88043470201326e-05,0.90803248626347,4.880435794192899e-05,4.880439201854996e-05,0.0913330570007776,4.880437784597072e-05,4.880439362649542e-05,4.880435201877472e-05,4.8804347109340486e-05,4.880435576174822e-05,4.880437224880325e-05,4.8804347220549095e-05,4.880435696153221e-05,5.317687034606934,6.160120010375977
mst,http://mst.dk/ https://mst.dk/natur-vand/vandmiljoe/vandomraadeplaner/ https://mst.dk/erhverv/skovbrug/nationalt-skovprogram/det-nationale-skovprogram/temaer/baeredygtig-produktion/ https://mst.dk/erhverv/groen-virksomhed/groenne-offentlige-myndigheder/baeredygtigt-forbrug/ ,Danish,0.0002450983313244,0.0002450984308829,0.0002450982792822,0.9965686225158866,0.0002450983309649,0.0002450985936802,0.0002450986902235,0.000245098449517,0.0002450984895356,0.0002450982947749,0.0002450982731233,0.0002450982991399,0.0002450984213725,0.0002450982789824,0.0002450983213091,8.453043937683105,-2.2122297286987305
cowi,https://www.cowi.dk/loesninger/miljoe https://www.cowi.dk/om-cowi/nyheder-og-presse/cowi-bliver-co2-neutral-i-2020 https://www.cowi.dk/om-cowi/nyheder-og-presse/cowi-reducerer-sit-co2-ftryk-med-over-70-procent-inden-2030-via-ambitiose-tiltag https://www.cowi.dk/insights/co2-opsamling-kan-maaske-afhjaelpe-klimakrisen-men-hvordan-naar-vi-dertil ,Danish,7.584387239946476e-05,7.58439104753748e-05,7.584386312502924e-05,0.9989381854622724,7.584386783012857e-05,7.58440026119178e-05,7.584392726672823e-05,7.584391407790271e-05,7.58439132482439e-05,7.584386935282183e-05,7.584385674056438e-05,7.584388518589739e-05,7.584391261677902e-05,7.584385864385643e-05,7.58438841529838e-05,-3.0206637382507324,6.481205463409424
verdensmaal,https://www.verdensmaal.org/ ,Danish,0.0004830925061111,0.0004830925444564,0.0004830922477146,0.9932367039767724,0.0004830923762598,0.0004830936989817,0.0004830931968825,0.0004830925309373,0.000483093063994,0.0004830922638304,0.0004830922385126,0.0004830922719402,0.0004830925031945,0.0004830922347025,0.0004830923457095,8.512795448303223,2.2867796421051025
un,https://un.dk/da/om-fn/verdensmaalene/ ,Danish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.466095447540283,7.706981182098389
hjoerring,https://hjoerring.dk/selvbetjeningssilo/bolig/byg-og-miljoe https://hjorring.viewer.dkplan.niras.dk/media/1712664/Energiplan_2020_2030_Hjoerring.pdf ,Danish,0.0003663011433069,0.0003663042272599,0.0003663007522576,0.9948717834707738,0.0003663008131016,0.0003663011534393,0.0003663012452195,0.0003663009497171,0.0003663011509122,0.0003663007575338,0.0003663007607487,0.0003663007731088,0.0003663012186734,0.0003663007691522,0.0003663008147945,8.67867374420166,0.31631043553352356
venstre,https://www.venstre.dk/politik/principprogram/natur-og-miljoe https://www.venstre.dk/politik/principprogram/natur-og-miljoe ,Danish,0.0001124228572475,0.0001124229112618,0.0001124228274777,0.9984260790948536,0.0001124228456757,0.0001124229236014,0.0001124236871322,0.0001124228894304,0.0001124229162053,0.0001124228354986,0.0001124228274126,0.0001124228400208,0.0001124228651012,0.0001124228334508,0.0001124228456292,-1.5623584985733032,4.42960262298584
furesoe,https://www.furesoe.dk/om-kommunen/fakta/organisation/center-for-by-og-miljoe/ https://www.furesoe.dk/oplevelser/velkommen-til-furesoe/miljoe-og-klima/ ,Danish,0.000180668774656,0.0001806687795434,0.0001806686455791,0.831065393799741,0.0001806686890066,0.1665859127427003,0.000180668890851,0.0001806687575256,0.0001806688290648,0.000180668654112,0.0001806686519645,0.0001806686583278,0.0001806687986537,0.0001806686470928,0.0001806686811812,5.346815586090088,2.5755467414855957
gentofte,https://www.gentofte.dk/da/Borger/By-og-milj%C3%B8/Milj%C3%B8 https://www.gentofte.dk/da/Borger/By-og-milj%C3%B8/Milj%C3%B8 ,Danish,0.0006006016284063,0.0006006013002771,0.000600601191442,0.953064453145128,0.000600601413263,0.0391277277232701,0.0006006024474343,0.000600601646631,0.0006006017501184,0.0006006012635972,0.0006006011720637,0.000600601369167,0.0006006013807625,0.0006006012526023,0.0006006013158363,5.91965389251709,2.729069948196411
brk,https://www.brk.dk/ https://www.brk.dk/Indflydelse-Politik/Politikker/Documents/Energipolitik%202040%20Bornholms%20Regionskommune.pdf ,Danish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.486771583557129,7.653471946716309
alternativet,https://alternativet.dk/politik/vores-politik/klima-miljo-natur https://alternativet.dk/arkiv/partiprogram/5-okonomisk-baeredygtighed https://alternativet.dk/application/files/8815/5953/4668/renereluftoggroenneretrafikibyerne-alternativet.pdf https://alternativet.dk/application/files/9315/5741/4459/merelivmerepladsalternativet.pdf https://alternativet.dk/application/files/9814/8578/5777/naturpakken.pdf ,Danish,2.217052100126097e-05,2.2170529288048756e-05,2.2170513937715183e-05,0.9996896126813952,2.2170517493312267e-05,2.217053748928688e-05,2.21705416063488e-05,2.2170529287764597e-05,2.2170533549777835e-05,2.2170514490414223e-05,2.2170512850227895e-05,2.2170515479281503e-05,2.21705210780044e-05,2.217051339176727e-05,2.217051766126601e-05,-4.231504917144775,7.832157135009766
klimatilpasning,https://www.klimatilpasning.dk/ https://www.klimatilpasning.dk/viden-om/fremtidens-klima/klimaaendringeridanmark/ https://www.klimatilpasning.dk/viden-om/fremtidens-klima/klimaaendringeridanmark/%C3%A6ndringer-i-temperatur/ https://www.klimatilpasning.dk/viden-om/fremtidens-klima/klimaaendringeridanmark/%C3%A6ndringer-i-nedboer/ https://www.klimatilpasning.dk/viden-om/fremtidens-klima/klimaaendringeridanmark/%C3%A6ndringer-i-toerke/ https://www.klimatilpasning.dk/viden-om/fremtidens-klima/klimaaendringeridanmark/%C3%A6ndringer-i-grundvand/ https://www.klimatilpasning.dk/viden-om/fremtidens-klima/klimaaendringeridanmark/%C3%A6ndringer-i-havniveau/ ,Danish,3.572710307332681e-05,3.5727103446943664e-05,3.572707627526028e-05,0.5597017186935045,3.5727083595650346e-05,0.4398338290935836,3.57271309558054e-05,3.572710746569582e-05,3.5727112635137896e-05,3.572707849256843e-05,3.5727076298063555e-05,3.572707847264577e-05,3.5727101301718816e-05,3.572707680025777e-05,3.5727084098646604e-05,5.36706018447876,1.9994958639144897
tvis,https://tvis.net/miljoe/ https://tvis.net/miljoe/ https://www.tvis.net/miljoe/biomasse/ https://www.tvis.net/miljoe/groen-roadmap/ ,Danish,9.950266719217846e-05,9.950268846863808e-05,9.950260234056662e-05,0.9986069629449754,9.950261262418464e-05,9.9502709278436e-05,9.950272646549302e-05,9.950268364728888e-05,9.950267124393471e-05,9.95026039124059e-05,9.950259965790044e-05,9.950261695090396e-05,9.950265455738344e-05,9.950260078180496e-05,9.950261790364364e-05,-2.1869373321533203,4.970522880554199
texta,https://texta.dk/fns-17-verdensmaal/ https://texta.dk/verdensmaal-5/ ,Danish,2.5445324229557486e-05,2.544533219132477e-05,2.5445318928770808e-05,0.9996437653782534,2.5445322853379364e-05,2.544534142428084e-05,2.5445364226167047e-05,2.544533501086313e-05,2.544534681387257e-05,2.544532050832792e-05,2.5445318250374463e-05,2.544532394014571e-05,2.5445332106051157e-05,2.544531867565196e-05,2.5445322587904605e-05,-4.296158313751221,7.904535293579102
ft,https://www.ft.dk/samling/20151/almdel/liu/bilag/35/1600244.pdf ,Danish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.475468635559082,7.574321269989014
bane,https://www.bane.dk/da/Leverandoer/Krav/Generelle-arbejdsbeskrivelser/GAB-Miljoe-Anlaeg https://www.bane.dk/da/Om-Banedanmark/Baeredygtig-bane https://www.bane.dk/da/Om-Banedanmark/Baeredygtig-bane/En-klimavenlig-transportform https://www.bane.dk/da/Om-Banedanmark/Baeredygtig-bane/Energi ,Danish,8.984739418319963e-05,8.984741742318515e-05,8.98473630897866e-05,0.998742136342162,8.984737976067037e-05,8.984747951365558e-05,8.98474584306416e-05,8.984741879683309e-05,8.984743258210167e-05,8.984736687038931e-05,8.984736501625123e-05,8.984736898111336e-05,8.984746220945433e-05,8.984736510720965e-05,8.984738587344765e-05,-2.6257195472717285,5.7129597663879395
stok,https://www.stok.dk/om-stok/miljoe.aspx https://www.stok.dk/om-stok/miljoe.aspx ,Danish,0.0001670845627535,0.0001670848864118,0.0001670845341085,0.9976608155398464,0.0001670845554502,0.0001670846695817,0.0001670846498686,0.0001670846226055,0.0001670846729602,0.0001670845359662,0.0001670845225546,0.0001670845848689,0.0001670845784973,0.0001670845287945,0.0001670845557313,3.40211820602417,0.6408365368843079
rebild,https://rebild.dk/demokrati/verdensmaal ,Danish,0.0001302084755404,0.0001302085224716,0.0001302084342084,0.2445795789640819,0.0001302084717558,0.0001302086163215,0.7537277106807131,0.0001302085346396,0.0001302085831775,0.000130208446542,0.0001302084305318,0.0001302084482199,0.0001302084987867,0.0001302084334325,0.0001302084595764,6.733639717102051,7.4498772621154785
billund,https://billund.dk/politik/hoeringer-og-afgoerelser/miljoe/ https://billund.dk/media/985977/baeredygtighed-i-billund-2014_1147941_13-74_v1-1.pdf ,Danish,0.0003115269246182,0.0003115270217243,0.0003115266909072,0.0003115273587559,0.0003115267881486,0.0738304871488258,0.9221196635923876,0.0003115269199837,0.0003115270228275,0.0003115267130017,0.0003115266889993,0.0003115267194153,0.0003115269625849,0.000311526690363,0.0003115267574559,6.900359153747559,7.553946495056152
handicap,https://handicap.dk/internationalt-samarbejde/handicap-i-udvikling/verdensmaal ,Danish,0.0001265023516091,0.0001265024034143,0.000126502326121,0.2937113443447164,0.000126502353519,0.0001265024680052,0.7046441247691476,0.0001265024063275,0.0001265024842038,0.0001265023382352,0.0001265023236276,0.0001265023465112,0.0001265024016268,0.000126502329609,0.000126502353326,6.646428108215332,7.264444828033447
