topic,word,weight
TOPIC_0,00,1.2196722277952678
TOPIC_0,published,1.0651654709055531
TOPIC_0,av,1.0452385166122444
TOPIC_0,nordisk,1.0180462000563424
TOPIC_0,um,1.0086881105906047
TOPIC_0,burturkast,1.0052985243720707
TOPIC_0,14,1.0038822631411124
TOPIC_0,fæst,0.9564089540723215
TOPIC_0,tín,0.9561215297677573
TOPIC_0,kl,0.954622104313071
TOPIC_0,16,0.9429347813425707
TOPIC_0,velja,0.9425308334144702
TOPIC_0,ini,0.9405655532892545
TOPIC_0,óljóð,0.9372286892737046
TOPIC_0,kommuna,0.9365244011677079
TOPIC_0,sín,0.9355086160959614
TOPIC_0,móti,0.9348259703006961
TOPIC_0,17,0.9324316969222594
TOPIC_0,fylgja,0.9321681078907882
TOPIC_0,aðrar,0.9296658617123139
TOPIC_0,23,0.9290318037869868
TOPIC_0,house,0.9284187892565053
TOPIC_0,lógini,0.9255421199868717
TOPIC_0,danish,0.9234374024096446
TOPIC_0,stovnin,0.921712009407019
TOPIC_1,av,9.054954474034092
TOPIC_1,streymoy,7.20306389566528
TOPIC_1,faroe,5.738972071257321
TOPIC_1,faroese,5.719521634862884
TOPIC_1,islands,5.533229114055774
TOPIC_1,um,5.244355091895288
TOPIC_1,nordic,3.880287798151314
TOPIC_1,sum,3.729697134623553
TOPIC_1,fyri,3.65182895291356
TOPIC_1,council,3.4144911095333947
TOPIC_1,gásadalur,3.4000211118822454
TOPIC_1,common,3.3830900563208495
TOPIC_1,vega,3.180686838724628
TOPIC_1,úr,3.155688054199672
TOPIC_1,environment,2.91558444105379
TOPIC_1,jens,2.8814413089190154
TOPIC_1,nature,2.8460549941019915
TOPIC_1,jensen,2.7539324719727865
TOPIC_1,year,2.751528763814419
TOPIC_1,eisini,2.7131602082425594
TOPIC_1,sera,2.691208240852409
TOPIC_1,færøerne,2.6101688215957495
TOPIC_1,tað,2.4680118524614056
TOPIC_1,ikki,2.3748465077530048
TOPIC_1,tú,2.3652913694037303
TOPIC_2,av,2.4340388841882232
TOPIC_2,pdf,2.2206908241133827
TOPIC_2,um,2.065163527314631
TOPIC_2,ein,1.9513626365279473
TOPIC_2,fyri,1.9396210293865728
TOPIC_2,faroe,1.9202483609321002
TOPIC_2,tú,1.8796660055655585
TOPIC_2,faroese,1.836259942054348
TOPIC_2,sum,1.5879299729616552
TOPIC_2,ið,1.5543922676788744
TOPIC_2,tað,1.4838399417129862
TOPIC_2,ella,1.4301740359934771
TOPIC_2,hevur,1.4023999418040842
TOPIC_2,ikki,1.3881200086535583
TOPIC_2,eitt,1.3687695357704295
TOPIC_2,hava,1.2998737343645208
TOPIC_2,kann,1.2648935024611285
TOPIC_2,vit,1.2249357796455373
TOPIC_2,survey,1.1893164993602112
TOPIC_2,10,1.1720851218478607
TOPIC_2,september,1.1510210710814794
TOPIC_2,okkara,1.1470857930671499
TOPIC_2,report,1.146813066217664
TOPIC_2,skulu,1.1463436121093342
TOPIC_2,lesandi,1.1421426411804705
TOPIC_3,um,221.14748370352703
TOPIC_3,sum,215.38756327966658
TOPIC_3,av,212.87071494975822
TOPIC_3,fyri,198.86666063448766
TOPIC_3,vit,103.37234266696292
TOPIC_3,tað,100.52151280580132
TOPIC_3,hava,98.77273146544067
TOPIC_3,hevur,96.66088351934741
TOPIC_3,ið,90.37051773226872
TOPIC_3,ein,89.63043861938607
TOPIC_3,ikki,79.69718920723368
TOPIC_3,ella,74.29772137298184
TOPIC_3,hetta,63.778683748603555
TOPIC_3,verða,61.404153590625
TOPIC_3,kann,59.58025805925067
TOPIC_3,eisini,55.48226643078501
TOPIC_3,eitt,55.27961026621502
TOPIC_3,tí,52.58389189539106
TOPIC_3,okkara,48.561534375415675
TOPIC_3,skulu,41.619475311779084
TOPIC_3,tá,38.62636842336948
TOPIC_3,kunnu,37.69374969694405
TOPIC_3,tey,36.821724507769254
TOPIC_3,enn,36.66424372135192
TOPIC_3,føroyum,34.9782526586507
TOPIC_4,sum,3.2959823823283365
TOPIC_4,um,3.0173033182527442
TOPIC_4,av,2.537221776154481
TOPIC_4,fyri,2.514928003257105
TOPIC_4,ein,1.9479145349715714
TOPIC_4,tað,1.8724768142154056
TOPIC_4,hevur,1.8106094774358488
TOPIC_4,vit,1.6689872693290164
TOPIC_4,kann,1.6607422625414991
TOPIC_4,ið,1.6512795239886002
TOPIC_4,eitt,1.6230998374394094
TOPIC_4,tú,1.5951375178484237
TOPIC_4,hetta,1.555828348241436
TOPIC_4,ella,1.5084474187360484
TOPIC_4,ikki,1.4866441936765085
TOPIC_4,verða,1.4716585201537293
TOPIC_4,hava,1.4197827774757756
TOPIC_4,tá,1.3881735844577037
TOPIC_4,tí,1.301986810286939
TOPIC_4,seg,1.2784024466277646
TOPIC_4,enn,1.2624252448188826
TOPIC_4,gjørt,1.248992237525927
TOPIC_4,hon,1.1962320752932873
TOPIC_4,ár,1.1859323524367669
TOPIC_4,eisini,1.1286489263499886
TOPIC_5,nordic,4.667788299121378
TOPIC_5,sustainability,3.9363527175586257
TOPIC_5,university,3.613769485915408
TOPIC_5,group,3.4181668623661086
TOPIC_5,sustainable,3.301107621001342
TOPIC_5,members,3.0876783259287675
TOPIC_5,network,2.991215657769834
TOPIC_5,fyri,2.120456633898713
TOPIC_5,activities,1.9694445387606276
TOPIC_5,education,1.9019766557581232
TOPIC_5,sum,1.7732251565585866
TOPIC_5,global,1.7683698490291913
TOPIC_5,future,1.7574740809388267
TOPIC_5,um,1.7450927760392798
TOPIC_5,well,1.7038990887964762
TOPIC_5,climate,1.6913249464065976
TOPIC_5,action,1.634755576096983
TOPIC_5,vit,1.5997370932394566
TOPIC_5,2014,1.591914495142917
TOPIC_5,projects,1.5765438483856202
TOPIC_5,av,1.5107161094154848
TOPIC_5,development,1.4884626924857387
TOPIC_5,2019,1.4679785000457177
TOPIC_5,ikki,1.4306746681113491
TOPIC_5,kann,1.4282761110087334
TOPIC_6,faroese,34.801456720901086
TOPIC_6,pdf,33.086975611606874
TOPIC_6,faroe,24.418689023995086
TOPIC_6,bank,15.128036129666024
