doc,topic,weight
sev,TOPIC_0,0.00018165329832743872
sev,TOPIC_1,0.0001816535794905532
sev,TOPIC_2,0.0001816533164135125
sev,TOPIC_3,0.9974568533232603
sev,TOPIC_4,0.0001816532977194985
sev,TOPIC_5,0.00018165329648609277
sev,TOPIC_6,0.0001816533551710606
sev,TOPIC_7,0.00018165335032143282
sev,TOPIC_8,0.00018165329809086467
sev,TOPIC_9,0.00018165330840745085
sev,TOPIC_10,0.00018165337773483632
sev,TOPIC_11,0.00018165329856832487
sev,TOPIC_12,0.00018165329391287656
sev,TOPIC_13,0.00018165330153169208
sev,TOPIC_14,0.00018165330456406908
Tórshavnar kommuna,TOPIC_0,9.107480695683836e-05
Tórshavnar kommuna,TOPIC_1,9.107488526701076e-05
Tórshavnar kommuna,TOPIC_2,9.107483899295274e-05
Tórshavnar kommuna,TOPIC_3,0.9987249525306516
Tórshavnar kommuna,TOPIC_4,9.107482231875382e-05
Tórshavnar kommuna,TOPIC_5,9.10747993083284e-05
Tórshavnar kommuna,TOPIC_6,9.107482105390221e-05
Tórshavnar kommuna,TOPIC_7,9.107481663007932e-05
Tórshavnar kommuna,TOPIC_8,9.107480496450964e-05
Tórshavnar kommuna,TOPIC_9,9.107482640435756e-05
Tórshavnar kommuna,TOPIC_10,9.107481339965816e-05
Tórshavnar kommuna,TOPIC_11,9.107480572324637e-05
Tórshavnar kommuna,TOPIC_12,9.107480349427372e-05
Tórshavnar kommuna,TOPIC_13,9.107481976716842e-05
Tórshavnar kommuna,TOPIC_14,9.107480506693913e-05
gransking,TOPIC_0,0.0001394702135765724
gransking,TOPIC_1,0.00013947025116320484
gransking,TOPIC_2,0.000139470227404743
gransking,TOPIC_3,0.9980474166382399
gransking,TOPIC_4,0.00013947022418724203
gransking,TOPIC_5,0.0001394702201388678
gransking,TOPIC_6,0.00013947032288211231
gransking,TOPIC_7,0.00013947024787778602
gransking,TOPIC_8,0.00013947021968955858
gransking,TOPIC_9,0.00013947022827512967
gransking,TOPIC_10,0.00013947024218805796
gransking,TOPIC_11,0.00013947022234749948
gransking,TOPIC_12,0.00013947026604230547
gransking,TOPIC_13,0.00013947022710882078
gransking,TOPIC_14,0.0001394702488781983
us,TOPIC_0,0.00017226555050132238
us,TOPIC_1,0.00017226560178200016
us,TOPIC_2,0.000172265572053482
us,TOPIC_3,0.969365887506321
us,TOPIC_4,0.0001722655733001934
us,TOPIC_5,0.00017226559664809218
us,TOPIC_6,0.028394660006562
us,TOPIC_7,0.00017226557749497069
us,TOPIC_8,0.00017226555874309195
us,TOPIC_9,0.00017226556788762547
us,TOPIC_10,0.0001722655726192973
us,TOPIC_11,0.00017226556708422211
us,TOPIC_12,0.00017226557413644824
us,TOPIC_13,0.00017226557931715586
us,TOPIC_14,0.00017226559554906203
articon,TOPIC_0,0.0003875973222351346
articon,TOPIC_1,0.000387597341641935
articon,TOPIC_2,0.00038759735531467725
articon,TOPIC_3,0.9945736362897294
articon,TOPIC_4,0.00038759736878423074
articon,TOPIC_5,0.0003875973453892719
articon,TOPIC_6,0.0003875973153999478
articon,TOPIC_7,0.0003875974056131622
articon,TOPIC_8,0.0003875973233308149
articon,TOPIC_9,0.00038759735410807955
articon,TOPIC_10,0.00038759812693499
articon,TOPIC_11,0.0003875973552273507
articon,TOPIC_12,0.0003875973274250211
articon,TOPIC_13,0.00038759738489993343
articon,TOPIC_14,0.00038759738396607144
fuglafjordur,TOPIC_0,4.5106047717024456e-05
fuglafjordur,TOPIC_1,4.510605964837155e-05
fuglafjordur,TOPIC_2,4.510605398368505e-05
fuglafjordur,TOPIC_3,0.9993685151970294
fuglafjordur,TOPIC_4,4.510605576840291e-05
fuglafjordur,TOPIC_5,4.5106051535547034e-05
fuglafjordur,TOPIC_6,4.510608212231685e-05
fuglafjordur,TOPIC_7,4.510606179857803e-05
fuglafjordur,TOPIC_8,4.510605056347084e-05
fuglafjordur,TOPIC_9,4.510605614771926e-05
fuglafjordur,TOPIC_10,4.510606677955047e-05
fuglafjordur,TOPIC_11,4.510605532172391e-05
fuglafjordur,TOPIC_12,4.5106051654729354e-05
fuglafjordur,TOPIC_13,4.510605359521727e-05
fuglafjordur,TOPIC_14,4.51060563342958e-05
lms,TOPIC_0,0.0003003007214936406
lms,TOPIC_1,0.0003003007500238243
lms,TOPIC_2,0.0003003007310973923
lms,TOPIC_3,0.9957957883200902
lms,TOPIC_4,0.0003003007284578637
lms,TOPIC_5,0.00030030085096131946
lms,TOPIC_6,0.0003003008245076346
lms,TOPIC_7,0.00030030186445920316
lms,TOPIC_8,0.0003003007264272147
lms,TOPIC_9,0.000300300743145776
lms,TOPIC_10,0.00030030081064471426
lms,TOPIC_11,0.0003003007349165364
lms,TOPIC_12,0.0003003007147251187
lms,TOPIC_13,0.00030030075357126955
lms,TOPIC_14,0.0003003007254784316
uvmr,TOPIC_0,0.00013386898027761747
uvmr,TOPIC_1,0.00013386898461586664
uvmr,TOPIC_2,0.0001338689790322311
uvmr,TOPIC_3,0.998125834154182
