topic,word,weight
TOPIC_0,00,1.1966403034587
TOPIC_0,råvarer,1.0049961985387008
TOPIC_0,dansk,0.9858839520419072
TOPIC_0,grønlandske,0.9602644529659039
TOPIC_0,isumaqarpoq,0.955000726898015
TOPIC_0,2005,0.951769128046464
TOPIC_0,indenfor,0.9461523916853743
TOPIC_0,pillugit,0.937973265503285
TOPIC_0,guide,0.9374231726232507
TOPIC_0,nuuk,0.9353114328215831
TOPIC_0,områder,0.9281063243204798
TOPIC_0,besøger,0.9268777072125284
TOPIC_0,suliffeqarfitsinni,0.924639215693334
TOPIC_0,serveret,0.9220082384242209
TOPIC_0,export,0.9216356167080226
TOPIC_0,arbejdet,0.9170306952279013
TOPIC_0,03,0.9168916559607702
TOPIC_0,greenland,0.9156487869603119
TOPIC_0,compact,0.9098667826717385
TOPIC_0,befolkning,0.9095885122456571
TOPIC_0,kangerlussuaq,0.9091213430042956
TOPIC_0,sanaartornerni,0.9074229573810294
TOPIC_0,samt,0.9066273125224599
TOPIC_0,sisimiut,0.9063581687665336
TOPIC_0,europa,0.9016676440354846
TOPIC_1,post,2.1702995523376996
TOPIC_1,tele,1.9869816798209876
TOPIC_1,politikken,1.9126600433417924
TOPIC_1,udvikling,1.7533405571937355
TOPIC_1,grønland,1.699220369705244
TOPIC_1,forretning,1.6827634665932425
TOPIC_1,evt,1.62241560386608
TOPIC_1,ansvarlig,1.5446339629845758
TOPIC_1,driver,1.5157122495149804
TOPIC_1,samfundet,1.5009222965364197
TOPIC_1,ansvar,1.4779872782482966
TOPIC_1,skaber,1.475282900529596
TOPIC_1,compact,1.4567583440904972
TOPIC_1,global,1.4387262333152078
TOPIC_1,un,1.3981841580449954
TOPIC_1,10,1.392985797433468
TOPIC_1,gælder,1.3833810529568
TOPIC_1,2020,1.380565325755025
TOPIC_1,samfund,1.3647125680120789
TOPIC_1,greenland,1.3472117476442977
TOPIC_1,effektiv,1.3091313330231014
TOPIC_1,del,1.2948960591806378
TOPIC_1,csr,1.2837147652342171
TOPIC_1,værdi,1.2808667340152793
TOPIC_1,lokale,1.2564456855771768
TOPIC_2,cookies,1.8857539242289392
TOPIC_2,aamma,1.2963230843970852
TOPIC_2,kalaallit,1.2812702536451772
TOPIC_2,grønland,1.225892554983899
TOPIC_2,read,1.1920437595522526
TOPIC_2,nuuk,1.162770408720498
TOPIC_2,see,1.148405051579089
TOPIC_2,user,1.105805856272596
TOPIC_2,uses,1.099030304971828
TOPIC_2,ensure,1.0989197595059503
TOPIC_2,website,1.091589620893282
TOPIC_2,experience,1.0807974497866857
TOPIC_2,nunaanni,1.077000304081127
TOPIC_2,visit,1.0756067983777153
TOPIC_2,without,1.0674364278628274
TOPIC_2,gl,1.0571159803462309
TOPIC_2,sydgrønland,1.0541157671465942
TOPIC_2,safe,1.0534135755232314
TOPIC_2,sisimiut,1.0403743798645901
TOPIC_2,region,1.0085272208220528
TOPIC_2,både,1.0050076438424242
TOPIC_2,ønsker,1.0020019737613493
TOPIC_2,means,0.9917790087419827
TOPIC_2,qaqortoq,0.9911179077756538
TOPIC_2,greenland,0.9861481967042375
TOPIC_3,aamma,14.162032705000538
TOPIC_3,grønland,13.628645532774868
TOPIC_3,kalaallit,11.319895635570456
TOPIC_3,nuuk,10.80543061967045
TOPIC_3,csr,8.288541782064064
TOPIC_3,nunaanni,7.153407724138405
TOPIC_3,sisimiut,6.31948683882298
TOPIC_3,ip,6.251876745609556
TOPIC_3,narsaq,5.8065315575827405
TOPIC_3,qaqortoq,4.952364852460543
TOPIC_3,greenland,4.632107470152946
TOPIC_3,grønlandske,4.299022739957667
TOPIC_3,aammalu,4.204866491674706
TOPIC_3,ønsker,4.098787453281658
TOPIC_3,mi,3.6631381223168096
TOPIC_3,imi,3.657896616416871
TOPIC_3,hunt,3.6442427669384965
TOPIC_3,både,3.4793762610838614
TOPIC_3,kangerlussuaq,3.4371025520543537
TOPIC_3,ligger,3.3786070001007404
TOPIC_3,år,3.2040031718181923
TOPIC_3,narsarsuaq,3.1173794266972727
TOPIC_3,soorlu,3.0970887398738363
TOPIC_3,samt,2.9578440097799947
TOPIC_3,15,2.9354457512780123
TOPIC_4,service,1.1791698226090601
TOPIC_4,70,1.1610572165467892
TOPIC_4,23,1.1446672480022266
TOPIC_4,spare,1.1157356830991696
TOPIC_4,ofte,1.0849190250236667
TOPIC_4,ii,1.0390558851491298
TOPIC_4,299,1.032004640991162
TOPIC_4,18,1.0226484997610434
TOPIC_4,www,0.9568414283142915
TOPIC_4,bor,0.9533920692880509
TOPIC_4,well,0.9530145802241649
TOPIC_4,research,0.942532421600776
TOPIC_4,hovedstad,0.9346360972278135
TOPIC_4,sommeren,0.9296448831115761
TOPIC_4,moskusokser,0.9204621846741454
TOPIC_4,underholdning,0.9177172070555424
TOPIC_4,nammineq,0.9169618273850717
TOPIC_4,ligger,0.9157296143701494
TOPIC_4,bar,0.9127748379571597
TOPIC_4,greenlandimut,0.9106270399798372
TOPIC_4,charter,0.9069680360258507
TOPIC_4,dybt,0.904435744062283
TOPIC_4,degree,0.9006679040877089
TOPIC_4,buy,0.9006225817804483
TOPIC_4,projektet,0.8988493594758878
TOPIC_5,royal,1.6771580296353774
TOPIC_5,arctic,1.5262817658773982
TOPIC_5,skaber,1.1826391317397706
TOPIC_5,virksomhed,1.1640265730411503
TOPIC_5,begrænse,1.151130859018185
TOPIC_5,2012,1.096369564450744
TOPIC_5,mål,1.083222494336028
TOPIC_5,områder,1.0799889089399466
TOPIC_5,værdi,1.076256023605874
TOPIC_5,samfundsansvar,1.0757920742750886
TOPIC_5,lokalsamfund,1.0680747006186144
TOPIC_5,arbejde,1.0652745040103504
TOPIC_5,csr,1.0603589023831117
TOPIC_5,mener,1.0553720918774843
