Id,urls,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
Urani Naamik,https://www.facebook.com/uraninaamik2/posts ,Greenlandic,0.0011695924019336635,0.001169592498769974,0.0011695924811902258,0.0011695980396019404,0.0011695923913633338,0.0011695923836091873,0.0011695924297706374,0.001169592406640228,0.0011695923230531818,0.0011695924949262897,0.9836257000476433,0.0011695933368972798,0.0011695920311856661,0.0011695923170717804,0.0011695924163432005
Ini,https://ini.gl/da/Om-INI-A-slash-S/Samfundsansvar-(CSR) ,Greenlandic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Air Greenland,https://www.airgreenland.com/media/1538588/ag_aarsberetn_eng_digital.pdf ,Greenlandic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GrønlandsBANKEN,https://www.banken.gl/en/investor/social-responsibility/environment/ ,Greenlandic,0.004166672163846067,0.004166672155651769,0.9416665818320399,0.004166671120403063,0.004166672183335385,0.004166671972464943,0.004166671061827839,0.004166671942709783,0.004166672174492314,0.004166678240859901,0.004166672166475407,0.004166671856323205,0.004166676008664364,0.00416667205693703,0.004166673063969215
Sikuki Nuuk Harbour,https://www.sikuki.dk/company-information/csr/ ,Greenlandic,0.0005012537382207176,0.0005012537647709209,0.0005012537317304269,0.0005012539605422645,0.0005012537135314618,0.0005012537343491796,0.0005012536975849094,0.000501253732680783,0.0005012537264671101,0.0005012537360007105,0.0005012537222620295,0.0005012537233268294,0.9929824474481825,0.0005012538318159375,0.0005012537385339486
RAL,https://www.ral.dk/om-os/samfundsansvar/ ,Greenlandic,0.0022222255989907203,0.002222227123290353,0.002222225849350106,0.002222228776602025,0.0022222253956606162,0.9688888336865279,0.002222226516228327,0.0022222255927430877,0.002222225627504718,0.0022222253497507826,0.002222225520217169,0.002222225667960416,0.0022222270315847238,0.002222225655978819,0.0022222266076101253
Tele-Post,https://telepost.gl/da/om-tele-post/baggrund/om-tele-post/politikker-retningslinjer/tele-posts-politik-for-samfundsansvar ,Greenlandic,0.0004938278142744045,0.9930864093883082,0.000493827848737487,0.0004938283613775204,0.0004938278390464044,0.0004938279010243725,0.000493827973775557,0.0004938278108572442,0.0004938278138854266,0.0004938278199061215,0.0004938278622976435,0.0004938278664333156,0.0004938280782101017,0.0004938278305595306,0.0004938277913067605
KNI,https://kni.gl/en/kni/kni-i-dag/ ,Greenlandic,0.002083335615785481,0.0020833359422609984,0.0020833357706590222,0.00208333549100963,0.0020833362283569547,0.002083335525209904,0.0020833354422288325,0.002083335650418747,0.0020833358586586307,0.002083336472288679,0.0020833356455889763,0.002083335962175115,0.9708332981855837,0.0020833357432731934,0.0020833364665020677
Permagreen,http://www.permagreen.gl/om-permagreen/ http://www.permagreen.gl/om-permagreen/?lang=gl ,Greenlandic,5.727383576016805e-05,5.7273846211554074e-05,5.727384033956585e-05,0.9991981662444,5.727383616885092e-05,5.7273838453621743e-05,5.727385457103307e-05,5.727383518301451e-05,5.727383532385305e-05,5.7273842819819475e-05,5.7273841337158306e-05,5.7273839181267545e-05,5.727383692490344e-05,5.7273835270778066e-05,5.727383805441909e-05
Royal Greenland,https://www.royalgreenland.com/sustainability/ ,Greenlandic,0.005128211568338294,0.005128211745227405,0.005128211959610836,0.005128209312239017,0.005128211221057385,0.005128241981978674,0.0051282116599134335,0.005128212420408373,0.005128212070371552,0.005128211980881844,0.005128213341498508,0.005128211758979004,0.9282050024390268,0.00512821443410984,0.0051282121063589625
Visit Greenland,https://visitgreenland.com/about-greenland/the-guide-to-climate-change-in-greenland/ ,Greenlandic,0.0009009019445087371,0.0009009019802770727,0.0009009019645384323,0.0009009016910326746,0.0009009019894993117,0.0009009020125729331,0.0009009019118623111,0.0009009020353428411,0.0009009020535878681,0.000900901986275833,0.0009009019489488818,0.0009009019965197717,0.9873873722703226,0.0009009019963317388,0.0009009022183791538
Greenland Ruby,https://www.greenlandruby.gl/responsible-source/ ,Greenlandic,0.00038535685869782975,0.00038535683212290184,0.0003853568597448811,0.0003853567791328299,0.00038535686371643355,0.0003853568685790268,0.0003853568369121895,0.000385356875031549,0.0003853568679247008,0.0003853568476996095,0.00038535685381620817,0.0003853568630869205,0.9946050040340383,0.0003853568772838934,0.0003853568822126533
Nukissiorfiit,https://nukissiorfiit.gl/kl/Nukissiorfiit-pillugu/Takorluukkat-anguniakkat-naleqartitallu https://nukissiorfiit.gl/da/Soeg?q=bæredygtighed ,Greenlandic,0.0011695926619996377,0.0011695928782210717,0.0011695927462373997,0.9836257009437078,0.0011695927736384158,0.0011695926679133602,0.0011695937477215397,0.0011695929592562705,0.0011695927382106594,0.0011695929037986164,0.0011695926846225836,0.001169592622865326,0.0011695922275991337,0.0011695926423681206,0.0011695928018400105
Greenland Outdoors,http://greenlandoutdoors.com/dk/om/os/ ,Greenlandic,0.0007168472452698366,0.0007168473486701254,0.0007168470964463577,0.9899641399860826,0.0007168470560319648,0.0007168470807908738,0.0007168474109345758,0.0007168470903039225,0.0007168470845950046,0.0007168470825520938,0.0007168470778126397,0.0007168471260620454,0.0007168471411900093,0.000716847102354149,0.0007168470709037484
Stark Grønland,http://www.stark.gl/CSR/Miljo/ ,Greenlandic,0.0027777815959367964,0.0027777810901910916,0.0027777813203358464,0.9611110610356559,0.0027777815091218913,0.002777781439587709,0.00277778127487183,0.002777781324038121,0.0027777813322896827,0.0027777815841531724,0.0027777812423591917,0.0027777817844106536,0.0027777803634759504,0.0027777817612889195,0.002777781342283319
Arctic Prime Fisheries,http://www.apf.gl ,Greenlandic,0.002898554565624573,0.002898554350821689,0.0028985553488814052,0.0028985609124611146,0.002898554577875629,0.0028985555169932444,0.0028985562432894837,0.002898554380560278,0.002898554672941429,0.0028985552370227874,0.0028985543942500976,0.0028985540970875826,0.0028985577055126725,0.0028985548022344666,0.9594202231944435
nanutravel,https://www.nanutravel.dk ,Greenlandic,0.0007751947990787716,0.0007751948168889926,0.0007751949509339262,0.0007751947798575251,0.0007751948365630982,0.0007751948093577425,0.0007751947277876159,0.0007751947643237507,0.0007751947805645124,0.0007751947709676786,0.0007751947657304058,0.0007751948100072582,0.9891472727020963,0.000775194804814864,0.0007751948810275009
arcticwonder,http://www.arcticwonder.com/about-us/ ,Greenlandic,0.001129944744324127,0.0011299446703562153,0.001129944777074921,0.0011299445045011608,0.0011299447536984302,0.001129944736061143,0.0011299446085754551,0.0011299447019218665,0.0011299454903095584,0.0011299447966376503,0.001129944781457263,0.0011299446838255642,0.9841807731381985,0.0011299447438145713,0.001129944869243659
Killut - grønlandsk mad/restaurant,https://killut.gl ,Greenlandic,0.0005509647300606058,0.0005509647386653297,0.0005509646744153606,0.0005509651182201771,0.0005509646618299511,0.000550964633432756,0.000550965039698254,0.0005509646630109064,0.0005509646493681951,0.0005509647281862446,0.0005509647126072972,0.9922864930826062,0.0005509652467348356,0.0005509646640827589,0.0005509646570811856
Ulo Rengøring,https://www.facebook.com/Dampvaskeri/ ,Greenlandic,0.008333347162867636,0.008333346447941856,0.008333346826874052,0.008333342176559597,0.8833331313816555,0.008333345522854824,0.008333345685680815,0.008333367843221555,0.008333346448345736,0.008333346199885183,0.008333347015841677,0.008333347859503336,0.00833334718339994,0.008333345796101876,0.008333346449266588
Lings hunting Greenland,https://lingshuntinggreenland.com/?fbclid=IwAR0eSfL86mFqpRV8DJV2-vtBf7NjvspLRG35sdnkQZLw1pokVWhUMVPitsg ,Greenlandic,0.0005602246761938627,0.0005602246293070164,0.0005602247053882296,0.000560224805960638,0.0005602246928234662,0.0005602246586237042,0.0005602246154261576,0.0005602246668684333,0.0005602247101419097,0.0005602246310260063,0.0005602246777014685,0.0005602246640867434,0.9921568545253119,0.000560224666945284,0.0005602246741951963
Qiviut - garn,https://www.qiviut.gl/om-qiviut/ ,Greenlandic,0.002150542649675,0.0021505421371750995,0.0021505417292541065,0.9698924144995863,0.0021505415492374036,0.002150541451269075,0.002150542644082927,0.0021505419393621364,0.0021505420911081836,0.0021505416522994824,0.002150541630470223,0.002150541772152168,0.002150540964924374,0.0021505414182093688,0.002150541871194197
Aviaja Lyberth Hauptmann: mikrobiolog,https://womeninthearcticandantarctic.ca/2019/01/19/aviaja-lyberth-hauptmann/ ,Greenlandic,0.0005602247741013939,0.0005602247881298397,0.0005602248014340066,0.0005602251204827072,0.0005602248343170265,0.000560224811905,0.0005602248377250959,0.0005602247577478666,0.0005602248023473826,0.0005602247897532437,0.0005602247780389335,0.0005602248089938001,0.9921568524318454,0.0005602247728588735,0.0005602248903193712
