Id,urls,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,X-UMAP,Y-UMAP
Urani Naamik,https://www.facebook.com/uraninaamik2/posts ,Greenlandic,0.0011695924019336,0.0011695924987699,0.0011695924811902,0.0011695980396019,0.0011695923913633,0.0011695923836091,0.0011695924297706,0.0011695924066402,0.0011695923230531,0.0011695924949262,0.9836257000476432,0.0011695933368972,0.0011695920311856,0.0011695923170717,0.0011695924163432,2.1334457397460938,-7.056366443634033
Ini,https://ini.gl/da/Om-INI-A-slash-S/Samfundsansvar-(CSR) ,Greenlandic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4066548347473145,-6.126143455505371
Air Greenland,https://www.airgreenland.com/media/1538588/ag_aarsberetn_eng_digital.pdf ,Greenlandic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3916826248168945,-7.014697551727295
GrønlandsBANKEN,https://www.banken.gl/en/investor/social-responsibility/environment/ ,Greenlandic,0.004166672163846,0.0041666721556517,0.94166658183204,0.004166671120403,0.0041666721833353,0.0041666719724649,0.0041666710618278,0.0041666719427097,0.0041666721744923,0.0041666782408599,0.0041666721664754,0.0041666718563232,0.0041666760086643,0.004166672056937,0.0041666730639692,1.4251759052276611,-3.1727166175842285
Sikuki Nuuk Harbour,https://www.sikuki.dk/company-information/csr/ ,Greenlandic,0.0005012537382207,0.0005012537647709,0.0005012537317304,0.0005012539605422,0.0005012537135314,0.0005012537343491,0.0005012536975849,0.0005012537326807,0.0005012537264671,0.0005012537360007,0.000501253722262,0.0005012537233268,0.9929824474481824,0.0005012538318159,0.0005012537385339,3.296614408493042,-4.636204719543457
RAL,https://www.ral.dk/om-os/samfundsansvar/ ,Greenlandic,0.0022222255989907,0.0022222271232903,0.0022222258493501,0.002222228776602,0.0022222253956606,0.968888833686528,0.0022222265162283,0.002222225592743,0.0022222256275047,0.0022222253497507,0.0022222255202171,0.0022222256679604,0.0022222270315847,0.0022222256559788,0.0022222266076101,1.7013756036758423,-6.779984951019287
Tele-Post,https://telepost.gl/da/om-tele-post/baggrund/om-tele-post/politikker-retningslinjer/tele-posts-politik-for-samfundsansvar ,Greenlandic,0.0004938278142744,0.9930864093883082,0.0004938278487374,0.0004938283613775,0.0004938278390464,0.0004938279010243,0.0004938279737755,0.0004938278108572,0.0004938278138854,0.0004938278199061,0.0004938278622976,0.0004938278664333,0.0004938280782101,0.0004938278305595,0.0004938277913067,1.2993507385253906,-7.061293125152588
KNI,https://kni.gl/en/kni/kni-i-dag/ ,Greenlandic,0.0020833356157854,0.0020833359422609,0.002083335770659,0.0020833354910096,0.0020833362283569,0.0020833355252099,0.0020833354422288,0.0020833356504187,0.0020833358586586,0.0020833364722886,0.0020833356455889,0.0020833359621751,0.9708332981855836,0.0020833357432731,0.002083336466502,2.3940343856811523,-4.033088207244873
Permagreen,http://www.permagreen.gl/om-permagreen/ http://www.permagreen.gl/om-permagreen/?lang=gl ,Greenlandic,5.727383576016805e-05,5.727384621155408e-05,5.727384033956585e-05,0.9991981662444,5.727383616885092e-05,5.7273838453621743e-05,5.727385457103307e-05,5.727383518301451e-05,5.727383532385305e-05,5.727384281981948e-05,5.727384133715831e-05,5.7273839181267545e-05,5.727383692490344e-05,5.727383527077807e-05,5.727383805441909e-05,0.28103959560394287,-4.573685169219971
Royal Greenland,https://www.royalgreenland.com/sustainability/ ,Greenlandic,0.0051282115683382,0.0051282117452274,0.0051282119596108,0.005128209312239,0.0051282112210573,0.0051282419819786,0.0051282116599134,0.0051282124204083,0.0051282120703715,0.0051282119808818,0.0051282133414985,0.005128211758979,0.9282050024390268,0.0051282144341098,0.0051282121063589,2.3140413761138916,-3.234927177429199
Visit Greenland,https://visitgreenland.com/about-greenland/the-guide-to-climate-change-in-greenland/ ,Greenlandic,0.0009009019445087,0.000900901980277,0.0009009019645384,0.0009009016910326,0.0009009019894993,0.0009009020125729,0.0009009019118623,0.0009009020353428,0.0009009020535878,0.0009009019862758,0.0009009019489488,0.0009009019965197,0.9873873722703226,0.0009009019963317,0.0009009022183791,3.3046908378601074,-3.623084306716919
Greenland Ruby,https://www.greenlandruby.gl/responsible-source/ ,Greenlandic,0.0003853568586978,0.0003853568321229,0.0003853568597448,0.0003853567791328,0.0003853568637164,0.000385356868579,0.0003853568369121,0.0003853568750315,0.0003853568679247,0.0003853568476996,0.0003853568538162,0.0003853568630869,0.9946050040340384,0.0003853568772838,0.0003853568822126,3.0059096813201904,-5.376691818237305
Nukissiorfiit,https://nukissiorfiit.gl/kl/Nukissiorfiit-pillugu/Takorluukkat-anguniakkat-naleqartitallu https://nukissiorfiit.gl/da/Soeg?q=bæredygtighed ,Greenlandic,0.0011695926619996,0.001169592878221,0.0011695927462373,0.9836257009437078,0.0011695927736384,0.0011695926679133,0.0011695937477215,0.0011695929592562,0.0011695927382106,0.0011695929037986,0.0011695926846225,0.0011695926228653,0.0011695922275991,0.0011695926423681,0.00116959280184,0.4747776687145233,-4.209837436676025
Greenland Outdoors,http://greenlandoutdoors.com/dk/om/os/ ,Greenlandic,0.0007168472452698,0.0007168473486701,0.0007168470964463,0.9899641399860826,0.0007168470560319,0.0007168470807908,0.0007168474109345,0.0007168470903039,0.000716847084595,0.000716847082552,0.0007168470778126,0.000716847126062,0.00071684714119,0.0007168471023541,0.0007168470709037,0.009559827856719494,-4.24894380569458
Stark Grønland,http://www.stark.gl/CSR/Miljo/ ,Greenlandic,0.0027777815959367,0.002777781090191,0.0027777813203358,0.961111061035656,0.0027777815091218,0.0027777814395877,0.0027777812748718,0.0027777813240381,0.0027777813322896,0.0027777815841531,0.0027777812423591,0.0027777817844106,0.0027777803634759,0.0027777817612889,0.0027777813422833,0.9365744590759277,-3.492856025695801
Arctic Prime Fisheries,http://www.apf.gl ,Greenlandic,0.0028985545656245,0.0028985543508216,0.0028985553488814,0.0028985609124611,0.0028985545778756,0.0028985555169932,0.0028985562432894,0.0028985543805602,0.0028985546729414,0.0028985552370227,0.00289855439425,0.0028985540970875,0.0028985577055126,0.0028985548022344,0.9594202231944436,1.449808120727539,-4.204130172729492
nanutravel,https://www.nanutravel.dk ,Greenlandic,0.0007751947990787,0.0007751948168889,0.0007751949509339,0.0007751947798575,0.000775194836563,0.0007751948093577,0.0007751947277876,0.0007751947643237,0.0007751947805645,0.0007751947709676,0.0007751947657304,0.0007751948100072,0.9891472727020963,0.0007751948048148,0.0007751948810275,3.04768443107605,-4.110668659210205
arcticwonder,http://www.arcticwonder.com/about-us/ ,Greenlandic,0.0011299447443241,0.0011299446703562,0.0011299447770749,0.0011299445045011,0.0011299447536984,0.0011299447360611,0.0011299446085754,0.0011299447019218,0.0011299454903095,0.0011299447966376,0.0011299447814572,0.0011299446838255,0.9841807731381984,0.0011299447438145,0.0011299448692436,2.850219488143921,-3.761214256286621
Killut - grønlandsk mad/restaurant,https://killut.gl ,Greenlandic,0.0005509647300606,0.0005509647386653,0.0005509646744153,0.0005509651182201,0.0005509646618299,0.0005509646334327,0.0005509650396982,0.0005509646630109,0.0005509646493681,0.0005509647281862,0.0005509647126072,0.9922864930826062,0.0005509652467348,0.0005509646640827,0.0005509646570811,1.9559346437454224,-6.21536922454834
Ulo Rengøring,https://www.facebook.com/Dampvaskeri/ ,Greenlandic,0.0083333471628676,0.0083333464479418,0.008333346826874,0.0083333421765595,0.8833331313816555,0.0083333455228548,0.0083333456856808,0.0083333678432215,0.0083333464483457,0.0083333461998851,0.0083333470158416,0.0083333478595033,0.0083333471833999,0.0083333457961018,0.0083333464492665,1.9679222106933594,-3.1285274028778076
Lings hunting Greenland,https://lingshuntinggreenland.com/?fbclid=IwAR0eSfL86mFqpRV8DJV2-vtBf7NjvspLRG35sdnkQZLw1pokVWhUMVPitsg ,Greenlandic,0.0005602246761938,0.000560224629307,0.0005602247053882,0.0005602248059606,0.0005602246928234,0.0005602246586237,0.0005602246154261,0.0005602246668684,0.0005602247101419,0.000560224631026,0.0005602246777014,0.0005602246640867,0.992156854525312,0.0005602246669452,0.0005602246741951,3.7982349395751953,-4.338776111602783
Qiviut - garn,https://www.qiviut.gl/om-qiviut/ ,Greenlandic,0.002150542649675,0.002150542137175,0.0021505417292541,0.9698924144995864,0.0021505415492374,0.002150541451269,0.0021505426440829,0.0021505419393621,0.0021505420911081,0.0021505416522994,0.0021505416304702,0.0021505417721521,0.0021505409649243,0.0021505414182093,0.0021505418711941,0.43647047877311707,-3.644425630569458
Aviaja Lyberth Hauptmann: mikrobiolog,https://womeninthearcticandantarctic.ca/2019/01/19/aviaja-lyberth-hauptmann/ ,Greenlandic,0.0005602247741013,0.0005602247881298,0.000560224801434,0.0005602251204827,0.000560224834317,0.000560224811905,0.000560224837725,0.0005602247577478,0.0005602248023473,0.0005602247897532,0.0005602247780389,0.0005602248089938,0.9921568524318454,0.0005602247728588,0.0005602248903193,3.68013858795166,-4.7659454345703125
Pisiffik,https://www.pisiffik.gl/gl/content/111-pisiffik-nuan ,Greenlandic,0.0014492768989403,0.0014492767508662,0.001449276993629,0.9797101203374888,0.0014492768075645,0.0014492768841719,0.0014492769895482,0.0014492768828082,0.0014492768974942,0.0014492804279817,0.0014492768134081,0.0014492768647776,0.0014492765943892,0.0014492768595836,0.0014492769973479,-0.014651305042207241,-3.815584659576416
"Wildfood: bestilling af fangst eller fiskeri, lokalt.",https://wildfood.gl ,Greenlandic,0.0051282138062683,0.0051282122198882,0.0051282125205623,0.0051282140415495,0.0051282166330018,0.0051282122846281,0.0051282130212888,0.9282050150710032,0.0051282122672747,0.0051282124879703,0.0051282122834716,0.0051282178946347,0.0051282106802465,0.0051282122625575,0.0051282125256544,1.8863837718963623,-3.594808578491211
Nuup Bussii,https://bus.gl/kl/nuup-bussii-pillugu/csr/ ,Greenlandic,0.0022988535768723,0.0022988534842366,0.0022988535693594,0.9678160465188084,0.0022988546225436,0.0022988537526208,0.0022988531820828,0.0022988534211493,0.0022988534308685,0.0022988575974298,0.002298853375125,0.0022988532525003,0.0022988531990335,0.0022988534863149,0.0022988535310541,0.808617889881134,-3.879049777984619
Polar Trophy Hunt,https://en.polartrophyhunt.com ,Greenlandic,0.0006535957813463,0.000653595735226,0.0006535957732443,0.0006535968283841,0.0006535957746769,0.0006535956981849,0.000653595629967,0.000653595706917,0.0006535958077891,0.0006535957151948,0.0006535957892335,0.0006535957077194,0.990849658525098,0.0006535957835837,0.0006535957434342,3.5358030796051025,-4.104794979095459
Målsætning af Grønlands Hjemmestyre,https://www.businessingreenland.gl/~/media/Fiskeri%20og%20fangst/Fangst%20og%20jagt/Baeredygtig%20forvaltning%20af%20vores%20levende%20ressourcer_Fangerseminaravis%202008_final_er%20kun%20paa%20GRL.pdf?la=da ,Greenlandic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.148801803588867,-6.658606052398682
Brugseni,https://brugseni.gl/gl/csr/ https://brugseni.gl/wp-content/uploads/2020/04/CSR_2020_GL_Højopløs.pdf ,Greenlandic,0.0009132432574622,0.0009132432412593,0.0009132435459964,0.0009132449740056,0.0009132432654657,0.0009132432282089,0.0009132433944835,0.0009132432320069,0.0009132432118154,0.987214591983951,0.0009132433594117,0.0009132436670239,0.0009132431725856,0.0009132431750776,0.0009132432912457,1.8667809963226318,-7.404425144195557
Inunnguaq Hegelund: kok: lokal mad,https://knr.gl/kl/nutaarsiassat/nutaanik-malittarisassaqalernera-imminut-pilersorsinnaanitsinnut-iluaqutaassaaq https://visitgreenland.com/da/artikler/madrevolution-i-nuuk/ ,Greenlandic,0.0002721092040714,0.0002721092329434,0.0002721092143618,0.0002721095706721,0.000272109199209,0.0002721092072727,0.996190470729928,0.0002721091922821,0.0002721091947405,0.0002721092342495,0.000272109207876,0.000272109259648,0.0002721091479786,0.0002721092004299,0.0002721092043364,1.5233378410339355,-6.506457328796387
Vores fisk/aalisagaativut,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Fiskeri_Fangst_Landbrug/FiskerikommissionDK/DK%20Debatoplæg%20rev%201.pdf ,Greenlandic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1500672101974487,-6.569311141967773
